k,DGatingDNN,STG,LassoNet,XGBoost,Lasso,Pearson
1,0.4057806221239917,0.0028950352889800524,0.45953024079771443,0.45953024079771443,0.45953024079771443,0.45953024079771443
2,0.4920554513946046,0.40690579518781445,0.49138526662806936,0.5005416305472505,0.472010095027365,0.5005416305472505
3,0.530463396279598,0.4855285661121673,0.49285030470527,0.5068367287518976,0.4910052177176235,0.49319099251389975
4,0.5614510983268111,0.47316675979426215,0.5114734423812624,0.5434330090277296,0.4721668876286439,0.48783641944649203
5,0.5705823568153865,0.4964341192637609,0.5139498100249198,0.5661880021739076,0.474413653692466,0.4919557490842491
6,0.5811198460929976,0.47340457866138663,0.5201789512065607,0.5699276719887478,0.48428231534478583,0.5268183350762313
7,0.5981810581937417,0.48630884473524727,0.5199342825100166,0.5748815997618021,0.4881451559081582,0.5192172223024456
8,0.6122927424134195,0.4877416388842085,0.5577767044828824,0.5865123369551246,0.49502379471731583,0.5594888536381715
9,0.586604583878579,0.5446039884406333,0.5440726551205428,0.6196089485160625,0.4731385783015044,0.5037283061180278
10,0.5743167801173544,0.5747298049506835,0.5626188046382692,0.6314224925737713,0.4768029229281301,0.5190122444036389
11,0.6283944884396127,0.5580898952420124,0.5811610599594279,0.6264778351212215,0.4884982112260494,0.545640926281334
12,0.5883108533440575,0.5922792949790067,0.6169625981602584,0.6526530522089411,0.48881671163182405,0.5415770588397995
