方法,说明,n,前n个字段,target,中文名,budget,full_r2,n_pool,目标
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9791766121672558,area_1_fuel_coal_mw|area_1_fuel_wind_mw|area_1_fuel_nuclear_mw|area_1_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_1_fuel_hydro_mw|area_1_load_actual_mw,bus_115_va_deg,节点115电压相角,7,0.9865132612079666,46,bus_115_va_deg
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.969089467842626,area_1_fuel_coal_mw|area_1_fuel_wind_mw|area_1_fuel_hydro_mw|system_losses_mw|area_1_fuel_natural_gas_mw|gen_fuel_nuclear_mw|area_3_net_export_mw,bus_115_va_deg,节点115电压相角,7,0.9865132612079666,46,bus_115_va_deg
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9441019663268386,system_losses_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_3_net_export_mw|area_1_fuel_hydro_mw|area_1_fuel_nuclear_mw|gen_fuel_nuclear_mw,bus_115_va_deg,节点115电压相角,7,0.9865132612079666,46,bus_115_va_deg
XGBoost,树模型特征重要性（2016）,0.9715770932145895,system_losses_mw|area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_natural_gas_mw|area_1_fuel_coal_mw|area_1_load_day_ahead_mw,bus_115_va_deg,节点115电压相角,7,0.9865132612079666,46,bus_115_va_deg
Lasso,线性稀疏（1996）,0.9702233850886778,area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_fuel_natural_gas_mw|system_losses_mw|area_1_fuel_hydro_mw|area_3_net_export_mw|area_1_fuel_coal_mw,bus_115_va_deg,节点115电压相角,7,0.9865132612079666,46,bus_115_va_deg
Pearson,相关系数排序（只看两两关系）,0.8782003108534545,system_losses_mw|area_1_fuel_wind_mw|gen_fuel_wind_mw|area_3_fuel_wind_mw|reserve_reg_up_mw|area_2_net_export_mw|reserve_reg_down_mw,bus_115_va_deg,节点115电压相角,7,0.9865132612079666,46,bus_115_va_deg
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9685783147256419,area_1_fuel_coal_mw|area_1_load_actual_mw|area_3_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_1_fuel_solar_mw|system_losses_mw|area_3_fuel_coal_mw|area_3_fuel_solar_mw|area_3_net_export_mw,bus_215_va_deg,节点215电压相角,9,0.9900794622218906,46,bus_215_va_deg
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9773898217944691,area_1_fuel_coal_mw|system_losses_mw|area_1_fuel_solar_mw|gen_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_1_load_actual_mw|area_2_fuel_hydro_mw|area_3_net_export_mw|area_1_fuel_natural_gas_mw,bus_215_va_deg,节点215电压相角,9,0.9900794622218906,46,bus_215_va_deg
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9442643234549856,system_losses_mw|area_2_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_3_net_export_mw|area_1_fuel_natural_gas_mw|area_1_load_actual_mw|area_1_load_day_ahead_mw|reserve_spin_r1_mw|area_1_fuel_wind_mw,bus_215_va_deg,节点215电压相角,9,0.9900794622218906,46,bus_215_va_deg
XGBoost,树模型特征重要性（2016）,0.9564796285733603,system_losses_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_1_generation_mw|area_1_fuel_wind_mw|area_3_net_export_mw|reserve_spin_r3_mw|area_3_fuel_coal_mw,bus_215_va_deg,节点215电压相角,9,0.9900794622218906,46,bus_215_va_deg
