n,test_r2
1,0.040692074382316035
2,0.1945728360101865
3,0.8809099508514825
4,0.9122663311346307
5,0.9328005418728226
6,0.9383856390611947
7,0.9535015249084495
8,0.9559306732146461
9,0.9586674515279445
10,0.9610140099196923
