area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_nuclear_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_nuclear_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,month_of_year
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5276812,0.5723367,0.41281202,0.48510456,0.47025347,0.5540489,0.42230105,0.44543427,0.5815037,0.46038723,0.481419,0.5565187,0.4269195,0.5291913,0.4793008,0.50558174,0.539067,0.47881445,0.53917944,0.4776824,0.5724874,0.5859396,0.5391214,0.45779604,0.489012,0.4772833,0.5356362,0.41965634,0.45894602,0.4177633
0.5164613,0.60793686,0.338105,0.45814556,0.43385175,0.57004666,0.39327145,0.4329847,0.6110739,0.45139864,0.4563422,0.5922479,0.41909665,0.54074115,0.4541256,0.51469785,0.5399168,0.46526623,0.55133545,0.4471412,0.61178076,0.66417927,0.5866898,0.42251787,0.4566141,0.44203445,0.54324245,0.3626144,0.44243354,0.35281864
0.5042271,0.6369406,0.26509804,0.44823125,0.39347592,0.614099,0.35502008,0.3979455,0.63939995,0.42267114,0.44578597,0.6404157,0.39125654,0.5524991,0.42360094,0.5161835,0.53434485,0.45848605,0.55266434,0.41399005,0.65419686,0.72242326,0.63226986,0.38923535,0.41020626,0.39535278,0.5424427,0.30800846,0.4381234,0.29251647
0.49997795,0.66047674,0.18705302,0.43836543,0.35043576,0.63956654,0.29594794,0.35747492,0.6652362,0.39132014,0.42319384,0.6776169,0.3324208,0.55823064,0.39767537,0.5132969,0.527415,0.4215012,0.5455794,0.38522622,0.70057225,0.773419,0.6706021,0.35286078,0.3523729,0.33608848,0.542246,0.22330374,0.46691805,0.26056507
0.49832156,0.686104,0.103710026,0.43300864,0.30013055,0.6740921,0.23665735,0.33302128,0.6945514,0.3745806,0.41589013,0.7176562,0.27033123,0.5624992,0.3551333,0.52260864,0.50695103,0.39295045,0.54626936,0.34805757,0.740969,0.83111686,0.71694493,0.29742327,0.28976658,0.26494738,0.53791547,0.14956701,0.46804336,0.18905891
0.48635048,0.70302474,0.011607219,0.4131181,0.2432387,0.69305676,0.1775811,0.29779023,0.7131156,0.33295855,0.4019823,0.75968224,0.21028833,0.5512224,0.31018937,0.53139454,0.47950223,0.36461893,0.5535136,0.30711693,0.7735695,0.8975121,0.77045345,0.2405297,0.22930957,0.18473327,0.53374386,0.071315184,0.45244503,0.13853748
0.4734085,0.7454598,-0.08383503,0.3962939,0.19189188,0.71404034,0.10504246,0.25291872,0.73395514,0.29314747,0.38439935,0.79947734,0.1326942,0.53527004,0.2658363,0.53031677,0.46183568,0.32611543,0.5517103,0.2730533,0.80590886,0.94172895,0.8205046,0.18350153,0.15712965,0.08955812,0.52595884,-0.014245256,0.42493477,0.077370025
0.46138763,0.7654886,-0.17675908,0.37903064,0.14835814,0.7471119,0.01791307,0.2189699,0.747645,0.2466325,0.3604689,0.83224237,0.052137397,0.5219661,0.22511205,0.53202456,0.43563855,0.28008407,0.5577945,0.24139203,0.8236741,0.99271667,0.8713716,0.11184195,0.09152255,0.0006518682,0.51930505,-0.09599318,0.40905604,0.018289994
0.4463388,0.78367096,-0.24826045,0.36675146,0.10847126,0.7846841,-0.06364474,0.1944938,0.7583948,0.21265605,0.34219322,0.8653712,-0.0335659,0.5101384,0.17414549,0.5298101,0.41652825,0.24637927,0.55116284,0.19695796,0.8583244,1.0451145,0.927185,0.037309483,0.016496798,-0.088437356,0.50898075,-0.18063895,0.39730296,-0.04680202
0.4209146,0.8135037,-0.32528868,0.356595,0.060449824,0.8265076,-0.15210302,0.16283959,0.7737902,0.16954538,0.31811708,0.90303004,-0.12240875,0.486235,0.11898756,0.5134463,0.3841267,0.18025877,0.5478343,0.15636502,0.88953704,1.099496,0.9890828,-0.038153186,-0.06368724,-0.17906553,0.49775413,-0.2608433,0.38070533,-0.11066495
0.4008598,0.85709685,-0.36723,0.33203557,0.015124111,0.84941894,-0.22784698,0.1296944,0.786728,0.13760671,0.29011777,0.9300991,-0.21279906,0.46838954,0.052179903,0.51242083,0.36475816,0.12647991,0.5495617,0.0940674,0.9304522,1.148834,1.0371498,-0.1249428,-0.14540261,-0.27285236,0.48145592,-0.3324795,0.36357784,-0.17950684
0.38722467,0.90349257,-0.42772442,0.32140294,-0.024982855,0.8977979,-0.3076381,0.10672584,0.7936159,0.07709394,0.2625182,0.96692985,-0.30091628,0.44270375,-0.007976496,0.5046893,0.34293893,0.06921507,0.54021865,0.048971385,0.9838703,1.1756303,1.0893719,-0.19852813,-0.20016475,-0.35839763,0.46598262,-0.41291857,0.34310728,-0.266728
0.36175102,0.9349559,-0.48532987,0.3003666,-0.0774299,0.94315094,-0.3817594,0.082227714,0.8050384,0.014617732,0.2329849,1.0096729,-0.36930725,0.41007036,-0.06966102,0.49462444,0.31645852,0.0101024825,0.52431387,-0.0029907848,1.0184886,1.2181357,1.1320314,-0.2804393,-0.27199152,-0.42673323,0.44360423,-0.47721434,0.3352239,-0.31392252
0.3404596,0.970009,-0.5396326,0.27143043,-0.12075467,0.99167997,-0.44170856,0.044768594,0.81085193,-0.04855277,0.1975958,1.0532662,-0.4401848,0.37256038,-0.13330299,0.47655007,0.285128,-0.05163504,0.51206446,-0.07190805,1.07475,1.2553395,1.1794528,-0.34892848,-0.3488917,-0.4892319,0.41944814,-0.5368702,0.30699566,-0.38141713
0.3255294,1.0082572,-0.5763625,0.24276157,-0.16808556,1.0168378,-0.50304705,-0.0034792577,0.8246763,-0.10660305,0.15171187,1.0951307,-0.49560636,0.33944425,-0.20738778,0.46081856,0.24889117,-0.11843301,0.49982885,-0.11923993,1.1238407,1.2988786,1.2413574,-0.42423248,-0.41556075,-0.5634797,0.39907664,-0.5983535,0.29234457,-0.43115726
0.2930912,1.0315403,-0.61104554,0.20660414,-0.22092338,1.0452532,-0.5633406,-0.045662474,0.8281318,-0.17522164,0.1012524,1.1401061,-0.5622301,0.29388666,-0.26993302,0.43506217,0.19568533,-0.18554749,0.48075104,-0.17611395,1.1732786,1.3489711,1.2836004,-0.49493286,-0.4831323,-0.6225114,0.36222643,-0.6528776,0.28487587,-0.47681072
0.26913518,1.0651408,-0.65549666,0.17640176,-0.2719773,1.0833024,-0.60642254,-0.07482198,0.8282802,-0.23660046,0.04942058,1.1727222,-0.611398,0.25693336,-0.33535394,0.4112098,0.15457733,-0.25405958,0.45623943,-0.23334028,1.2261679,1.3804559,1.3185239,-0.5534707,-0.53340054,-0.67925227,0.32555068,-0.7001468,0.24724306,-0.5320759
0.23288622,1.1027237,-0.69202286,0.13803922,-0.32300973,1.1031799,-0.66098833,-0.124634765,0.8288118,-0.3033945,5.928005e-05,1.2075146,-0.65788716,0.20944132,-0.39358807,0.3959521,0.101708904,-0.32143876,0.43575907,-0.29526764,1.2904075,1.4111118,1.3735192,-0.61436594,-0.58631754,-0.7322956,0.30119058,-0.73403126,0.22722991,-0.5887651
0.20170408,1.141673,-0.7320301,0.088555485,-0.36986837,1.1444625,-0.7021397,-0.17002197,0.83092386,-0.3663909,-0.04732267,1.258283,-0.70790213,0.15849885,-0.45133463,0.3728544,0.05386006,-0.39202297,0.41707876,-0.3559527,1.339766,1.4507275,1.4259299,-0.66518015,-0.64095694,-0.7722356,0.26801664,-0.78014976,0.18460622,-0.63405794
0.16466245,1.1715589,-0.7757043,0.02869585,-0.41776288,1.1705883,-0.74595004,-0.21521625,0.8302384,-0.42523104,-0.094721176,1.2948503,-0.7480442,0.09514076,-0.5023806,0.34629616,-0.010322765,-0.4597623,0.3831987,-0.41233236,1.3792907,1.4866874,1.4544506,-0.7130925,-0.6883294,-0.81232625,0.22673008,-0.8253423,0.14922203,-0.67381686
