方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9692700106075873,metered_load_mw|gen_fuel_nuclear_pct|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gross_sched_interchange_mw|gen_fuel_hydro_mw|total_losses|prelim_load_avg_hourly|gen_fuel_wind_mw|da_as_as_mw_primary_reserve|gross_inadv_interchange_mw|da_as_as_mw_synchronized_reserve|gen_fuel_oil_mw|total_pjm_reg_purchases|gen_fuel_multiple_fuels_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9322945825317152,total_losses|marginal_loss_price_da|total_lmp_da|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_rmpcp_cr|total_pjm_assigned_reg|gross_sched_interchange_mw|gen_fuel_nuclear_pct|gen_fuel_multiple_fuels_pct|gen_fuel_coal_pct|gross_inadv_interchange_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_gas_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9074813333921445,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_losses|gen_fuel_nuclear_mw|total_pjm_rmpcp_cr|gen_fuel_storage_mw|congestion_price_rt|gen_fuel_solar_mw|da_as_ss_mw_primary_reserve|wind_generation_mw|gross_inadv_interchange_mw|total_lmp_da|gen_fuel_coal_mw
XGBoost,树模型特征重要性（2016）,0.906471158865696,da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_primary_reserve|gross_sched_interchange_mw|marginal_loss_price_da|gen_fuel_nuclear_mw|system_energy_price_da|total_pjm_reg_purchases|total_losses|total_lmp_da|total_pjm_assigned_reg|da_as_mcp_synchronized_reserve|gen_fuel_nuclear_pct|gen_fuel_other_renewables_pct|gen_fuel_coal_mw|marginal_loss_price_rt|da_as_as_mw_thirty_minutes_reserve
Lasso,线性稀疏（1996）,0.967985272661943,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_oil_mw|da_as_as_mw_synchronized_reserve|gen_fuel_coal_pct|da_as_as_mw_primary_reserve|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|total_pjm_reg_purchases|gross_sched_interchange_mw|total_losses
Pearson,相关系数排序（只看两两关系）,0.8846805971912006,gross_sched_interchange_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_assigned_reg|total_pjm_reg_purchases|gen_fuel_gas_pct|gen_fuel_other_renewables_mw|total_pjm_rmpcp_cr|gen_fuel_multiple_fuels_mw|gen_fuel_wind_pct|gen_fuel_coal_mw
