方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.975615758274529,area_1_fuel_natural_gas_mw|reserve_spin_r1_mw|area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_solar_mw|area_2_fuel_hydro_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9354435762380531,area_2_fuel_natural_gas_mw|area_1_fuel_solar_mw|area_1_fuel_wind_mw|area_1_fuel_coal_mw|reserve_spin_r1_mw|gen_fuel_coal_mw|area_1_load_actual_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9056837673735576,area_1_load_day_ahead_mw|reserve_spin_r1_mw|area_1_load_actual_mw|area_1_fuel_wind_mw|area_2_fuel_coal_mw|area_3_fuel_solar_mw|area_1_generation_mw
XGBoost,树模型特征重要性（2016）,0.8877389199613128,area_2_fuel_coal_mw|area_1_load_actual_mw|area_1_fuel_wind_mw|gen_fuel_coal_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|area_1_fuel_coal_mw
Lasso,线性稀疏（1996）,0.901036489324119,area_1_load_actual_mw|area_1_fuel_wind_mw|system_losses_mw|reserve_spin_r1_mw|area_2_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_load_day_ahead_mw
Pearson,相关系数排序（只看两两关系）,0.8205808536185017,system_losses_mw|area_1_generation_mw|area_1_load_day_ahead_mw|reserve_spin_r1_mw|area_1_load_actual_mw|system_generation_mw|area_2_generation_mw
