方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.6805695899156401,gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_gas_pct|gross_inadv_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|gross_sched_interchange_mw|gen_fuel_coal_mw|gen_fuel_multiple_fuels_pct|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_oil_pct|marginal_loss_price_rt|forecast_load_mw_latest_available|total_pjm_loc_credit|da_as_mcp_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_mcp_synchronized_reserve|total_lmp_rt|rmccp
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.6535059178492959,gen_fuel_gas_pct|gen_fuel_nuclear_mw|gross_inadv_interchange_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_solar_pct|gen_fuel_solar_mw|gen_fuel_multiple_fuels_pct|gen_fuel_oil_pct|gross_sched_interchange_mw|forecast_load_mw_latest_available|da_as_as_mw_synchronized_reserve|marginal_loss_price_rt|total_pjm_assigned_reg|gen_fuel_oil_mw|da_as_mcp_primary_reserve|total_pjm_loc_credit
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.7028012450506108,gen_fuel_oil_mw|marginal_loss_price_rt|forecast_load_mw_latest_available|gross_inadv_interchange_mw|da_as_mcp_primary_reserve|da_as_as_req_mw_primary_reserve|gen_fuel_nuclear_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_solar_pct|gen_fuel_other_renewables_mw|gen_fuel_oil_pct|da_as_as_mw_thirty_minutes_reserve|total_pjm_rt_load_mwh|gen_fuel_multiple_fuels_mw|total_pjm_loc_credit|total_pjm_rmpcp_cr|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw
XGBoost,树模型特征重要性（2016）,0.610296530379985,gen_fuel_oil_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|prelim_load_avg_hourly|gen_fuel_oil_pct|total_lmp_rt|da_as_as_mw_synchronized_reserve|forecast_load_mw_latest_available|gen_fuel_solar_mw|marginal_loss_price_rt|gross_inadv_interchange_mw|gen_fuel_solar_pct|system_energy_price_rt|da_as_mcp_primary_reserve|gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|total_pjm_rmccp_cr|gen_fuel_coal_pct|da_as_nsr_mw_primary_reserve
Lasso,线性稀疏（1996）,0.4516776891619957,gen_fuel_oil_mw|gen_fuel_coal_mw|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_rt|total_lmp_rt|marginal_loss_price_rt|total_pjm_loc_credit
Pearson,相关系数排序（只看两两关系）,0.5665346167912029,gen_fuel_oil_mw|gen_fuel_oil_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|total_lmp_rt|system_energy_price_rt|gross_inadv_interchange_mw|gen_fuel_nuclear_pct|gen_fuel_hydro_mw|gen_fuel_other_renewables_pct|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve
