epoch,train_loss,train_total_loss,train_r2,test_loss,test_r2
1,0.4390169461023862,0.6134360518655209,0.5609830021858215,0.4299469131244916,0.5709458589553833
2,0.3669228335612849,0.40178136951098703,0.6330771446228027,0.38177318491688056,0.6190195083618164
3,0.3382670432924544,0.361070852582109,0.6617329120635986,0.3573290800088889,0.6434128880500793
4,0.32122330537669735,0.339049622386728,0.6787766218185425,0.3457902563931463,0.6549277305603027
5,0.30821737868617793,0.31999941194030246,0.6917825937271118,0.3416172219397815,0.6590920686721802
6,0.3025307480594543,0.3080098195146072,0.6974692344665527,0.33731918741170674,0.6633812189102173
7,0.28352385890759424,0.29550198071793604,0.7164760828018188,0.3315918669104576,0.6690965890884399
8,0.2864584311307089,0.28535697833724216,0.7135415077209473,0.3383928737241656,0.6623097658157349
9,0.26298300106690764,0.27968446592711016,0.7370169758796692,0.3191393151300955,0.681523323059082
10,0.25634473803789104,0.27133044141842283,0.7436552047729492,0.3119868082951193,0.6886609792709351
11,0.26228399923471013,0.26465007820970393,0.7377159595489502,0.3186748755338802,0.6819868087768555
12,0.24684264215313273,0.25493832089466184,0.7531573176383972,0.30695077184944936,0.6936866044998169
13,0.2396596662878786,0.24943782442746915,0.7603402733802795,0.3116604898924425,0.6889866590499878
14,0.24138379116121628,0.24449985510495292,0.7586162090301514,0.31712450008822357,0.6835339069366455
15,0.24237997046157242,0.23992146134002296,0.7576199769973755,0.31993369999677623,0.6807305812835693
16,0.2296101264400433,0.2379711719897478,0.7703898549079895,0.29845056619886395,0.7021691799163818
17,0.22094394405027978,0.2313447443249563,0.7790560722351074,0.29569034843139996,0.7049236297607422
18,0.2155738972089164,0.22773037365633467,0.7844260931015015,0.2983472941945133,0.7022721767425537
19,0.20793780165652162,0.22249455182902414,0.7920621633529663,0.292545453479437,0.7080619931221008
20,0.20786609213169852,0.21562485620762184,0.7921338677406311,0.29777397732484284,0.7028442621231079
21,0.20043282677551313,0.21388596889550146,0.7995671629905701,0.2905316534856139,0.7100715637207031
22,0.197314685476374,0.21209357698452255,0.8026852607727051,0.2854982583558178,0.7150945663452148
23,0.19859867412426838,0.20505724275340093,0.8014013767242432,0.28921669226599067,0.7113838195800781
24,0.19181136198588497,0.20668546723193365,0.8081886172294617,0.2895115951765074,0.7110894918441772
25,0.1870042418627298,0.20680727274263422,0.8129957318305969,0.28647530417396055,0.714119553565979
26,0.18523626653775233,0.20054646097463832,0.8147637248039246,0.27838437458219595,0.7221936583518982
27,0.18291789009001905,0.19340486138991025,0.8170820474624634,0.28050616033137116,0.7200762629508972
28,0.18034558990740612,0.19514977860745025,0.8196543455123901,0.278597019459695,0.721981406211853
29,0.18315722898805523,0.1921346521847052,0.8168427348136902,0.29128184176335054,0.709322988986969
30,0.1807708155223462,0.19050974571720175,0.8192291259765625,0.2765083201909991,0.7240657806396484
31,0.17645532639535594,0.1872955438315222,0.8235446810722351,0.2808851207091928,0.7196981310844421
32,0.17797053999535434,0.18509421282613728,0.8220294713973999,0.2840793450707442,0.716510534286499
33,0.16831395338974112,0.18056321281676083,0.8316860198974609,0.27750239866577325,0.7230738401412964
34,0.16820791583576294,0.17738581435822937,0.8317921161651611,0.273228840468681,0.7273384928703308
35,0.16911128817602447,0.17958855530093998,0.8308886885643005,0.284685458902899,0.7159056663513184
36,0.16207628708426333,0.17403063588227108,0.8379237055778503,0.2765095231195563,0.7240645885467529
37,0.1644106010787325,0.1725014374127875,0.8355894088745117,0.27802956476807594,0.7225477695465088
38,0.16413478811003573,0.17278188596305238,0.8358651995658875,0.28409274490592684,0.7164971232414246
39,0.15687429341466325,0.17164518434307688,0.8431257009506226,0.2784331573777275,0.7221449613571167
40,0.15465152098852547,0.1662006463778958,0.8453484773635864,0.27275312583060024,0.7278132438659668
41,0.15947484974345388,0.1654890775701805,0.8405250906944275,0.271736374473599,0.7288278341293335
42,0.1541950921166569,0.16613737498006048,0.8458048701286316,0.2675496445603022,0.7330058813095093
43,0.1611320829044466,0.16344838923897986,0.8388679027557373,0.281269828801694,0.7193141579627991
44,0.14942381580968359,0.16075151379445576,0.8505761623382568,0.2704995680583394,0.7300621271133423
45,0.1535079417235673,0.15952371825893583,0.8464920520782471,0.270887525947807,0.7296749353408813
46,0.14843109817154806,0.1607230020789047,0.851568877696991,0.26819175929171307,0.7323651313781738
47,0.14454005513612403,0.15731392574037284,0.8554599285125732,0.27140330713769617,0.7291601896286011
48,0.15437897558209218,0.15137013199326654,0.8456209897994995,0.27516591635673016,0.7254054546356201
49,0.13908403382113535,0.15460073022962842,0.8609159588813782,0.2690537730189355,0.7315049171447754
50,0.13937919920089242,0.154376088905246,0.8606207966804504,0.26382728890605167,0.7367205619812012
51,0.14412344486524933,0.15037305678398302,0.8558765649795532,0.27724127308146596,0.7233344316482544
52,0.13857591325272572,0.14927891162160326,0.8614240884780884,0.27217332894603413,0.7283918261528015
53,0.1409016024559464,0.14732803894232396,0.8590984344482422,0.26627098199099164,0.7342818975448608
54,0.1331251008567915,0.14508080801216366,0.8668749332427979,0.2704952182290761,0.7300664186477661
55,0.14251839494349683,0.1464345927294939,0.8574815988540649,0.28353227970943057,0.7170564532279968
56,0.13522410912855984,0.1463709525449295,0.8647758960723877,0.26828813739971485,0.7322689294815063
57,0.1281883001080863,0.14269272087048315,0.8718116879463196,0.2639743814151309,0.7365736961364746
58,0.14009856175393137,0.14513889597686322,0.8599014282226562,0.27975197908676924,0.7208288908004761
59,0.13347885083220049,0.13762888100134318,0.8665211200714111,0.280667428199423,0.7199153304100037
60,0.13536743351925998,0.13957477352245962,0.8646325469017029,0.27240358366201456,0.7281620502471924
61,0.12504641476648617,0.14048912985883993,0.87495356798172,0.2729121444057928,0.7276545763015747
62,0.1354377671383049,0.13653165889376578,0.8645622134208679,0.2851863685638121,0.7154058218002319
63,0.13033976491549176,0.13860508649435627,0.8696601986885071,0.2786646607633867,0.7219139337539673
64,0.12659315851444727,0.14121863508350366,0.8734068274497986,0.27622766551225697,0.7243459224700928
65,0.12609784161357301,0.13460221599583347,0.8739021420478821,0.2778883722683066,0.722688615322113
66,0.13019032010247242,0.13389468818826422,0.869809627532959,0.28390682538010215,0.7166826725006104
67,0.12854184096117746,0.13325708474300496,0.8714581727981567,0.28207357831673535,0.7185120582580566
68,0.1307747664874139,0.13664367374194336,0.8692252039909363,0.2840268972529668,0.7165628671646118
69,0.1229421756204779,0.13372967648851478,0.8770577907562256,0.27074079809191565,0.7298213839530945
70,0.12266024457690515,0.13030923495587965,0.8773397207260132,0.27779942323968293,0.7227773666381836
71,0.12145666062159965,0.13111276421525844,0.8785433173179626,0.2759188851299079,0.7246540188789368
72,0.12968781479681124,0.13198156501102734,0.8703121542930603,0.28387921550162304,0.7167102098464966
73,0.11625694263552115,0.12947155707770933,0.8837430477142334,0.27478999821426664,0.7257806062698364
74,0.12694694889607291,0.1279825883955784,0.8730530142784119,0.28944227391998517,0.7111587524414062
75,0.12207018488967052,0.12672837656289,0.8779298067092896,0.28684592073502607,0.7137496471405029
76,0.11422037803801839,0.12720869642099766,0.885779619216919,0.2774922489677662,0.7230839133262634
77,0.11733690120777344,0.1264191277593068,0.8826630711555481,0.28416574751473456,0.716424286365509
78,0.11762383944231626,0.12547256080773936,0.8823761343955994,0.2821273831948298,0.7184584140777588
79,0.11120157848010222,0.1251828758807249,0.8887984156608582,0.27614454115362475,0.7244288325309753
80,0.11349969808135572,0.12479995115400722,0.8865002989768982,0.2747136696186512,0.7258567810058594
81,0.12218117920180026,0.1233979143057716,0.8778188228607178,0.28594364761693836,0.7146500945091248
82,0.12039584407293702,0.12305423712727856,0.8796041011810303,0.28499152599812644,0.7156002521514893
83,0.12414899957047341,0.12214447173702458,0.8758509755134583,0.28415458686819905,0.716435432434082
84,0.10925292139915435,0.12240018516664125,0.8907470703125,0.27668612368711054,0.7238883972167969
85,0.11482543332213069,0.12002253695922695,0.885174572467804,0.2801784210621494,0.7204033136367798
86,0.11179924341233353,0.12696000411213465,0.8882007598876953,0.27419995911181244,0.7263693809509277
87,0.12076364463348299,0.11833704405434464,0.8792363405227661,0.2941901662714405,0.7064206600189209
88,0.10934687870954372,0.11978738463045732,0.890653133392334,0.2796424956456439,0.7209381461143494
89,0.10478857620172713,0.11794056993649771,0.895211398601532,0.2813217256337268,0.7192623615264893
90,0.10880811813449036,0.114594775866547,0.8911918997764587,0.2859602868386872,0.7146334648132324
91,0.10825494110273819,0.11695152865595197,0.8917450904846191,0.28408445894173834,0.7165054082870483
92,0.10859890449494464,0.11575826041434453,0.8914010524749756,0.2832440754492261,0.7173440456390381
93,0.11383138547574922,0.11556595467566831,0.8861685991287231,0.28123431379766495,0.7193496227264404
94,0.11426187701710419,0.11333523452447804,0.8857381343841553,0.2805807475153714,0.7200018167495728
95,0.105249213966962,0.11352053071270148,0.8947507739067078,0.2877952207951513,0.7128023505210876
96,0.1191920844421267,0.1161206601417228,0.8808078765869141,0.2951695503641481,0.7054433822631836
97,0.11260464775788526,0.11686282800127791,0.8873953819274902,0.2940427369212723,0.7065678238868713
98,0.10891297565386142,0.11517128030680222,0.8910870552062988,0.28665071200222186,0.7139445543289185
99,0.09918102569831323,0.11585407540495571,0.900818943977356,0.27939317950375003,0.7211869955062866
100,0.10079234737805069,0.1131922070534483,0.8992076516151428,0.2754345751074079,0.7251373529434204
101,0.1006809185348349,0.11011899254374104,0.899319052696228,0.28241052839173575,0.7181758880615234
102,0.1072685323362175,0.1117859548095988,0.8927314281463623,0.28772213837327476,0.712875247001648
103,0.10043451599734218,0.10844736754762425,0.8995654582977295,0.2877801342709968,0.7128174304962158
104,0.09872085985740366,0.1084479811796961,0.901279091835022,0.2776509591433556,0.7229255437850952
105,0.09923020380200419,0.11316648695924103,0.9007697701454163,0.2756066797088543,0.7249655723571777
106,0.11164461210535916,0.11016699140912696,0.8883553743362427,0.2909768864036151,0.7096272706985474
107,0.09768611175373842,0.10920285706548657,0.9023138880729675,0.28063426478064224,0.719948410987854
108,0.09845255463613733,0.10661311484086561,0.9015474319458008,0.28336159019097346,0.7172267436981201
109,0.107335906902107,0.10698780746700999,0.8926640748977661,0.2965384836236364,0.7040772438049316
110,0.10069440788011062,0.10672269420183719,0.8993055820465088,0.27853355762552995,0.722044825553894
111,0.0968795887728277,0.10686551979062527,0.9031203985214233,0.28383826921995914,0.7167510986328125
112,0.10266668694178875,0.10763090591958499,0.8973332643508911,0.28283999741213506,0.7177472710609436
113,0.09702694474625907,0.10649987388525549,0.9029730558395386,0.28268053236345175,0.7179064154624939
114,0.10591608418372872,0.10814257383082895,0.8940839171409607,0.299254387498038,0.7013670206069946
115,0.11038786892302879,0.10654373615810044,0.8896121382713318,0.2992580630837782,0.7013633251190186
116,0.09898283990359436,0.10611111217084847,0.9010171294212341,0.2833541227360022,0.7172342538833618
117,0.10112401080577205,0.1016687476873551,0.8988759517669678,0.296416339979052,0.7041991353034973
118,0.0957557489727645,0.10429632967257166,0.9042442440986633,0.2845745286202594,0.7160162925720215
119,0.09924069723033571,0.10157054383732957,0.9007592797279358,0.2942551279346965,0.70635586977005
120,0.09653812108059588,0.10216015442508404,0.9034618735313416,0.2945764830939846,0.7060351371765137
121,0.09570258186777127,0.10233480520184964,0.904297411441803,0.27234673573206003,0.7282187938690186
122,0.09162398498424554,0.10227895005219127,0.9083759784698486,0.2847254662923345,0.7158657312393188
123,0.09065741119953084,0.10101159886652646,0.9093425869941711,0.27979591024452694,0.7207850217819214
124,0.09213066598311169,0.10107599521166385,0.9078693389892578,0.27741191184071645,0.7231640815734863
125,0.0908206325485775,0.1014864962531007,0.9091793298721313,0.28237141845705305,0.7182148694992065
126,0.09020765085139026,0.0986870379382787,0.9097923636436462,0.2844840657629379,0.716106653213501
127,0.09173568714618445,0.10137373388778911,0.9082642793655396,0.2750552246627742,0.7255159020423889
128,0.09679717176432241,0.10046077394840992,0.9032028317451477,0.2901983580564799,0.7104041576385498
129,0.08820693587169867,0.10041308790109371,0.911793053150177,0.281550141400126,0.7190344929695129
130,0.08981809971564914,0.10086522475586668,0.9101818799972534,0.28820961846472465,0.712388813495636
131,0.08623787633049808,0.09829688437078914,0.913762092590332,0.2801345963898587,0.7204470634460449
132,0.09068841444536806,0.09680547347700555,0.9093115925788879,0.2959862430686276,0.7046283483505249
133,0.08958853050730442,0.09691981334434864,0.9104114770889282,0.2828803867203732,0.7177069187164307
134,0.09572856068998133,0.09704867014385012,0.9042714238166809,0.2913676272720507,0.7092373371124268
135,0.08643184561329174,0.09619781267340188,0.9135681390762329,0.28029136038193964,0.7202906608581543
136,0.09140184513807773,0.09569226967736433,0.9085981249809265,0.276904344082423,0.7236706018447876
137,0.0963278838845829,0.09680794104274583,0.9036720991134644,0.3008934583974211,0.6997313499450684
138,0.0965705101163505,0.10631835011905696,0.9034295082092285,0.29315533310379066,0.7074533700942993
139,0.08765980644262136,0.09868017951936618,0.9123401641845703,0.27478364075972067,0.7257869243621826
140,0.0856663703240165,0.09571942572851908,0.9143335819244385,0.2780670564468593,0.7225103378295898
141,0.08783131022724965,0.09405384132038955,0.9121686816215515,0.2798105060850104,0.7207704782485962
142,0.08568515610715298,0.0954158355686048,0.914314866065979,0.2753642119093028,0.7252075672149658
143,0.09025742132727006,0.09415597064722517,0.9097425937652588,0.28088992000578744,0.7196933031082153
144,0.08937540280921852,0.09489735432147775,0.910624623298645,0.28619741529362386,0.7143968343734741
145,0.08431618385331612,0.09504503715511191,0.9156838059425354,0.2906338914752551,0.7099695801734924
146,0.0875325457694766,0.0925987767030115,0.9124674201011658,0.28878090459190003,0.7118186950683594
147,0.08219254640734767,0.09145966142662652,0.9178074598312378,0.27818579185907155,0.7223917841911316
148,0.09164423853601222,0.092254790286087,0.9083557724952698,0.29006838635222554,0.710533857345581
149,0.08197693148900044,0.09289992390068665,0.9180230498313904,0.27742806527780617,0.723147988319397
150,0.0844924166600845,0.09200331700655322,0.9155075550079346,0.28027976394448106,0.720302164554596
