target,中文名,排除关注字段,初筛,候选数,选中数,全量R2,选中再训练R2,未选中R2,替身字段数,选中字段,run,剥离第一类
net_actual_interchange_mw,净实际交换功率,否,否,58,1,0.9999856408917503,0.9987278489634772,0.9981426594566511,0,net_sched_interchange_mw,pjm_2025/04_source_location/no_screening/target_net_actual_interchange_mw/DGatingDNN/run_20260810_032324,
net_actual_interchange_mw,净实际交换功率,否,是,39,1,0.9986934205406256,0.9987278489634772,0.923918188253193,0,net_sched_interchange_mw,pjm_2025/04_source_location/with_screening/target_net_actual_interchange_mw/DGatingDNN/run_20260810_032537,
net_actual_interchange_mw,净实际交换功率,是,否,49,19,0.9674418753965092,0.96966236537682,0.820358214098785,5,prelim_load_avg_hourly|gen_fuel_gas_mw|total_pjm_rt_load_mwh|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_pct|gen_fuel_wind_mw|gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_oil_mw|da_as_as_mw_primary_reserve|gross_inadv_interchange_mw|da_as_as_mw_synchronized_reserve|total_pjm_reg_purchases,pjm_2025/04b_source_location_excl_targets/no_screening/target_net_actual_interchange_mw/DGatingDNN/run_20260810_032736,
net_actual_interchange_mw,净实际交换功率,是,是,33,18,0.9019507440038256,0.9075551540400444,0.6105301743169284,1,system_energy_price_da|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|gen_fuel_other_renewables_mw|gross_sched_interchange_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_coal_pct|gen_fuel_gas_mw|wind_generation_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_gas_pct|system_energy_price_rt|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|gen_fuel_storage_mw,pjm_2025/04b_source_location_excl_targets/with_screening/target_net_actual_interchange_mw/DGatingDNN/run_20260810_033009,
gross_actual_interchange_mw,总实际交换功率,否,否,58,22,0.8738996010588354,0.881409842870218,0.6389834568467699,3,gross_inadv_interchange_mw|gross_sched_interchange_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|net_actual_interchange_mw|gen_fuel_coal_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_wind_pct|gen_fuel_hydro_pct|gen_fuel_solar_mw|total_losses|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_gas_mw|total_lmp_da|gen_fuel_nuclear_pct|congestion_price_da|da_as_ss_mw_primary_reserve|total_pjm_reg_purchases|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|total_pjm_assigned_reg,pjm_2025/04_source_location/no_screening/target_gross_actual_interchange_mw/DGatingDNN/run_20260810_033237,
gross_actual_interchange_mw,总实际交换功率,否,是,47,19,0.8841481085909447,0.8845211411443584,0.6393095233563378,2,gross_inadv_interchange_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gross_sched_interchange_mw|gen_fuel_other_renewables_mw|net_actual_interchange_mw|gen_fuel_multiple_fuels_pct|metered_load_mw|total_losses|gen_fuel_oil_pct|da_as_as_req_mw_synchronized_reserve|gen_fuel_solar_pct|gen_fuel_hydro_mw|marginal_loss_price_da|da_as_ss_mw_primary_reserve|congestion_price_da|total_pjm_reg_purchases|congestion_price_rt,pjm_2025/04_source_location/with_screening/target_gross_actual_interchange_mw/DGatingDNN/run_20260810_033519,
gross_actual_interchange_mw,总实际交换功率,是,否,49,20,0.8660128621665223,0.8620029743444508,0.6096869597121755,4,gross_inadv_interchange_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gross_sched_interchange_mw|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_pct|gen_fuel_wind_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_hydro_pct|solar_generation_mw|da_as_ss_mw_primary_reserve|total_pjm_reg_purchases|marginal_loss_price_rt|gen_fuel_oil_mw|total_pjm_rmpcp_cr|total_pjm_rt_load_mwh|total_pjm_self_sched_reg|da_as_as_mw_primary_reserve|gen_fuel_storage_mw,pjm_2025/04b_source_location_excl_targets/no_screening/target_gross_actual_interchange_mw/DGatingDNN/run_20260810_033756,
gross_actual_interchange_mw,总实际交换功率,是,是,38,16,0.8665549333724907,0.8767898779238338,0.5454672475917783,2,gross_inadv_interchange_mw|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_mw|gross_sched_interchange_mw|gen_fuel_other_renewables_mw|gen_fuel_gas_pct|gen_fuel_coal_pct|da_as_as_req_mw_synchronized_reserve|gen_fuel_nuclear_pct|solar_generation_mw|system_energy_price_da|gen_fuel_hydro_mw|gen_fuel_oil_mw|da_as_ss_mw_primary_reserve|total_pjm_assigned_reg|total_pjm_reg_purchases,pjm_2025/04b_source_location_excl_targets/with_screening/target_gross_actual_interchange_mw/DGatingDNN/run_20260810_034032,
net_sched_interchange_mw,净计划交换功率,否,否,58,1,0.999987192755912,0.998724900336,0.998520893286538,0,net_actual_interchange_mw,pjm_2025/04_source_location/no_screening/target_net_sched_interchange_mw/DGatingDNN/run_20260810_034307,
net_sched_interchange_mw,净计划交换功率,否,是,38,1,0.9986641876867376,0.998724900336,0.9215448054537274,0,net_actual_interchange_mw,pjm_2025/04_source_location/with_screening/target_net_sched_interchange_mw/DGatingDNN/run_20260810_034514,
