total_losses,wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_multiple_fuels_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,total_lmp_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,gross_sched_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.57203096,0.42290372,0.521778,0.5608283,0.4623519,0.4891063,0.47742015,0.44308448,0.41968155,0.42003664,0.49261835,0.500274,0.55535316,0.42594218,0.3783186,0.39932054,0.5133097,0.53331476,0.40837348,0.49486628,0.4381132,0.48118886,0.51382333,0.4425483,0.48021808,0.532462,0.5194303,0.5077782,0.51136166,0.44628584,0.44439533,0.48630747,0.4796162,0.5785936
0.6409137,0.39743406,0.59054387,0.629743,0.44318476,0.5165782,0.46977448,0.43555105,0.40274748,0.38399932,0.5115772,0.5145176,0.5873428,0.38277215,0.29279277,0.32947025,0.53868836,0.6008239,0.3536991,0.5147707,0.38898543,0.49192575,0.54511267,0.46248332,0.4986166,0.5455976,0.55284786,0.53884673,0.55061466,0.40146685,0.42000085,0.47384042,0.48531812,0.67538506
0.68552005,0.39204916,0.6344746,0.6790244,0.4197713,0.53897953,0.45515168,0.44385052,0.36642525,0.37577614,0.54474247,0.54276776,0.6218507,0.34202382,0.20637342,0.2663154,0.53742117,0.63870287,0.3115454,0.54274035,0.3593924,0.50465566,0.5742905,0.44751978,0.49528417,0.56308985,0.5841471,0.53648,0.5911336,0.36571717,0.369555,0.46133265,0.49102324,0.74444187
0.7467609,0.4003903,0.6778267,0.715188,0.4132484,0.57310903,0.44515607,0.45938206,0.33504662,0.36204377,0.5869242,0.55337524,0.65445477,0.30012426,0.1294671,0.2091972,0.54498047,0.65909517,0.27808642,0.5858663,0.34454137,0.5012332,0.5868573,0.4346934,0.47992125,0.59308773,0.62771434,0.5642728,0.6176597,0.3187932,0.32616234,0.44853196,0.48293108,0.8044078
0.7962946,0.42254815,0.719526,0.7637606,0.3977545,0.6062638,0.43330255,0.48757,0.3210473,0.3471318,0.634873,0.56693906,0.6825567,0.27892047,0.047086406,0.14822714,0.54151404,0.6877964,0.22876802,0.6269211,0.32228902,0.5084965,0.6030188,0.40676484,0.47628167,0.6413414,0.6443207,0.58240414,0.64753723,0.27971503,0.3123242,0.44285426,0.4744409,0.8628122
0.842722,0.4135779,0.76930827,0.79580647,0.37923795,0.6271943,0.41217822,0.51168084,0.27063668,0.32812232,0.6803021,0.5886382,0.7223403,0.24855208,0.0,0.09445307,0.52666634,0.70551616,0.16066015,0.67032844,0.30653796,0.5169311,0.6224119,0.38759175,0.46512723,0.66343206,0.66277575,0.59362954,0.65527856,0.23506518,0.2714431,0.43823478,0.47659704,0.9178284
0.901027,0.41077197,0.79771686,0.84005016,0.34630412,0.6508742,0.40420482,0.5599798,0.24247323,0.31176636,0.71994877,0.59996235,0.7518258,0.22703373,0.0,0.036069885,0.513078,0.73989344,0.098050416,0.7022529,0.2736758,0.5227472,0.63620335,0.35442662,0.47224838,0.70025104,0.69462,0.62961316,0.67449963,0.18677567,0.21989459,0.43321535,0.4885037,0.97442013
0.946868,0.41530004,0.82231545,0.8899119,0.33379206,0.67993444,0.39441797,0.59765136,0.21310079,0.318149,0.76594865,0.5994491,0.7786534,0.20015232,0.0,0.0,0.49958557,0.7695766,0.03253917,0.7310781,0.2603067,0.53578126,0.6585634,0.3210034,0.46580237,0.7511749,0.7301166,0.6468818,0.6908961,0.14532825,0.18034719,0.41800687,0.49119118,1.0
0.9836892,0.4284865,0.8631033,0.9332544,0.30324903,0.7064336,0.37618646,0.63206875,0.17680521,0.2941537,0.812873,0.5966049,0.8085633,0.16217142,0.0,0.0,0.49577942,0.7931454,0.0,0.75071394,0.24593368,0.55723584,0.677506,0.28114387,0.4583325,0.79595387,0.7529238,0.66927934,0.7068906,0.101250395,0.13783737,0.40748847,0.49180782,1.0
