k,DGatingDNN,STG,LassoNet,XGBoost,Lasso,Pearson
1,0.36434921973952683,0.04328018391154542,0.4836671140762512,0.4792990085936868,0.4836671140762512,0.4836671140762512
2,0.6332905718802722,0.08992785430419525,0.5738790470886163,0.5112708525490647,0.5738790470886163,0.5301297987343193
3,0.6581916332694837,0.21388559441499455,0.5843970721876063,0.6070417947951876,0.5843970721876063,0.6045050331055135
4,0.6901247580444467,0.4150226834796896,0.6627986836640783,0.6149717535625712,0.6627986836640783,0.6598406089062374
5,0.72213190106611,0.5726587629716557,0.7302016029283778,0.6280764871219396,0.7291531589175984,0.6507923816043015
6,0.7536213492128646,0.7367625570711284,0.7740503363945342,0.6633263650527048,0.7591025887083604,0.6745741491343373
7,0.7592359756878279,0.7518316972142277,0.7605180975315462,0.7676236490825387,0.788461315779809,0.7197178733837821
8,0.7752515358089628,0.8075064871185041,0.7817074323942562,0.7587086795999068,0.7882922071031253,0.7075192873838267
9,0.8217586523062809,0.8318756721840176,0.7692416365300463,0.7927123462403303,0.7845555798390877,0.7201991225165472
10,0.8417839603220217,0.8510349571048035,0.7769818480833023,0.7807293633107898,0.7779302102537632,0.7037760587432119
