字段数,均值,标准差,极差,各种子
1,-0.319156244521405,0.025528082549844785,0.07848820977863857,"[-0.312, -0.3183, -0.3134, -0.2868, -0.3652]"
1,-0.03430018169801454,0.01175832609491582,0.029077101237362513,"[-0.0236, -0.0515, -0.0224, -0.0291, -0.045]"
1,-0.31971017283416925,0.018671004532933577,0.05867490301359313,"[-0.3214, -0.3214, -0.3158, -0.3493, -0.2906]"
2,0.32342347314959874,0.01241592560495464,0.03806826359335158,"[0.3183, 0.3272, 0.342, 0.3257, 0.3039]"
2,-0.03690779009684397,0.011018473607914626,0.03153018526153062,"[-0.0453, -0.035, -0.0309, -0.0525, -0.021]"
2,0.21553693306630714,0.022811555688580645,0.06392826263965412,"[0.24, 0.2187, 0.208, 0.1761, 0.235]"
3,0.5782267195935191,0.03652656545013086,0.0953357628461422,"[0.5842, 0.6011, 0.5979, 0.6016, 0.5063]"
3,0.3695434570574672,0.08153932933469593,0.22574892517823908,"[0.4384, 0.4443, 0.3801, 0.3663, 0.2186]"
3,-0.07588215060946779,0.04388097737760691,0.12527161618437765,"[-0.032, -0.0502, -0.0833, -0.1572, -0.0567]"
5,0.5458164726771773,0.007883833236728647,0.023178042133889076,"[0.5335, 0.5489, 0.5489, 0.5566, 0.5411]"
5,0.6226303820141583,0.03629010296039134,0.08574603250200052,"[0.6614, 0.5854, 0.6258, 0.5774, 0.6631]"
5,-0.16233490341938023,0.11284870124673725,0.27218362695814835,"[-0.1932, -0.0235, -0.0371, -0.2622, -0.2957]"
8,0.41031037796904013,0.009162438830461101,0.027373991626942873,"[0.4097, 0.4069, 0.4001, 0.4073, 0.4275]"
8,0.6047381830762053,0.041987128073248677,0.12732920911687173,"[0.596, 0.6682, 0.5409, 0.5921, 0.6265]"
8,0.6745813875373683,0.016981082692295174,0.040503497469770555,"[0.6587, 0.6496, 0.6881, 0.6865, 0.6901]"
12,0.7501002286109808,0.01494687362941628,0.04336936534384994,"[0.7655, 0.7595, 0.7531, 0.7503, 0.7221]"
12,0.6786385446519719,0.028558468894566983,0.07737982967044266,"[0.709, 0.6704, 0.7079, 0.6317, 0.6741]"
12,0.7335087108618756,0.006287801424640373,0.017733449648055788,"[0.7283, 0.7342, 0.7429, 0.737, 0.7252]"
18,0.5342374265674606,0.09082707097002636,0.2521330770993926,"[0.6724, 0.4604, 0.4203, 0.5943, 0.5238]"
18,-0.03860267066858558,0.20543110079122753,0.6429523037391855,"[0.2819, -0.0882, -0.361, -0.0292, 0.0035]"
18,0.925365954795304,0.00395468172876895,0.012411803290831913,"[0.9312, 0.9263, 0.9188, 0.9253, 0.9252]"
26,0.9622120184601869,0.0032399334888334004,0.010146427873843011,"[0.9622, 0.9567, 0.9668, 0.9625, 0.9629]"
26,0.823351727339387,0.045593647443688656,0.12821352488007332,"[0.8341, 0.8576, 0.8202, 0.8665, 0.7383]"
26,0.9554458515243119,0.0026742429293622957,0.007618615062482514,"[0.9567, 0.9568, 0.9589, 0.9512, 0.9537]"
34,0.9229578014667326,0.018700632619057786,0.05531446747848512,"[0.9492, 0.8939, 0.9337, 0.9132, 0.9247]"
34,0.837613866920691,0.02202463235481702,0.054647326369877236,"[0.8649, 0.8198, 0.8617, 0.8102, 0.8315]"
34,0.9694397333411636,0.004057619996883862,0.011991171627176556,"[0.9627, 0.9677, 0.9747, 0.9704, 0.9718]"
46,0.8578630598216751,0.03950869594745133,0.11061773961651133,"[0.9128, 0.8247, 0.8721, 0.8022, 0.8775]"
46,0.8578630598216751,0.03950869594745133,0.11061773961651133,"[0.9128, 0.8247, 0.8721, 0.8022, 0.8775]"
46,0.8578630598216751,0.03950869594745133,0.11061773961651133,"[0.9128, 0.8247, 0.8721, 0.8022, 0.8775]"
