field,中文名
area_1_load_actual_mw,区域1实时负荷
area_2_load_actual_mw,区域2实时负荷
area_3_load_actual_mw,区域3实时负荷
system_load_actual_mw,系统实时负荷
area_1_load_day_ahead_mw,区域1日前负荷
area_2_load_day_ahead_mw,区域2日前负荷
area_3_load_day_ahead_mw,区域3日前负荷
system_load_day_ahead_mw,系统日前负荷
system_generation_mw,系统发电量
system_losses_mw,系统网损
area_1_net_export_mw,区域1净送出
area_2_net_export_mw,区域2净送出
area_3_net_export_mw,区域3净送出
reserve_reg_up_mw,调频上备用
reserve_reg_down_mw,调频下备用
reserve_spin_r1_mw,区域1旋转备用
reserve_spin_r2_mw,区域2旋转备用
reserve_spin_r3_mw,区域3旋转备用
gen_fuel_coal_mw,燃煤出力
gen_fuel_natural_gas_mw,燃气出力
gen_fuel_nuclear_mw,核电出力
gen_fuel_hydro_mw,水电出力
gen_fuel_wind_mw,风电出力
gen_fuel_solar_mw,光伏出力
