方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9449895258638975,area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|gen_fuel_wind_mw|area_3_fuel_solar_mw|reserve_spin_r3_mw|area_1_fuel_natural_gas_mw|area_2_fuel_hydro_mw|system_losses_mw|area_2_fuel_coal_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9323844623278215,area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|gen_fuel_coal_mw|area_2_fuel_hydro_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8977193048707504,system_losses_mw|area_1_fuel_coal_mw|area_3_fuel_solar_mw|gen_fuel_wind_mw|area_2_fuel_natural_gas_mw|hour_of_day|area_1_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_coal_mw
XGBoost,树模型特征重要性（2016）,0.8913150228599286,area_1_fuel_coal_mw|gen_fuel_solar_mw|area_3_fuel_solar_mw|system_losses_mw|reserve_spin_r1_mw|area_1_generation_mw|area_2_fuel_natural_gas_mw|hour_of_day|area_2_generation_mw
Lasso,线性稀疏（1996）,0.7794921418776244,area_1_generation_mw|system_losses_mw|area_2_fuel_coal_mw|area_1_load_actual_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_solar_mw|area_2_fuel_natural_gas_mw
Pearson,相关系数排序（只看两两关系）,0.6658126652310099,area_1_generation_mw|area_1_load_actual_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|area_2_generation_mw|system_generation_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw
