stage,lambda,epochs,final_test_r2,r2_after_freeze,active_count,newly_exited
1,0.0005,200,0.969297,0.969297,55,
2,0.001,80,0.972131,0.972108,49,da_as_mcp_primary_reserve;forecast_load_mw_day_ahead;forecast_load_mw_latest_available;gen_fuel_wind_pct;total_lmp_da;total_lmp_rt
3,0.002,80,0.974259,0.974233,46,da_as_as_mw_synchronized_reserve;da_as_total_mw_primary_reserve;total_pjm_rmccp_cr
4,0.004,80,0.975211,0.974587,38,da_as_as_req_mw_synchronized_reserve;da_as_ss_mw_synchronized_reserve;gen_fuel_coal_pct;gen_fuel_multiple_fuels_pct;marginal_loss_price_rt;rmpcp;system_energy_price_rt;total_pjm_loc_credit
5,0.008,80,0.975247,0.937027,25,da_as_as_mw_primary_reserve;da_as_as_req_mw_thirty_minutes_reserve;da_as_mcp_synchronized_reserve;da_as_ss_mw_primary_reserve;da_as_total_mw_synchronized_reserve;gen_fuel_gas_pct;marginal_loss_price_da;net_inadv_interchange_mw;rmccp;total_pjm_assigned_reg;total_pjm_reg_purchases;total_pjm_rmpcp_cr;wind_generation_mw
6,0.016,80,0.974778,0.954913,16,congestion_price_da;congestion_price_rt;da_as_as_mw_thirty_minutes_reserve;da_as_nsr_mw_primary_reserve;da_as_total_mw_thirty_minutes_reserve;metered_load_mw;system_energy_price_da;total_pjm_rt_load_mwh;total_pjm_self_sched_reg
7,0.032,80,0.971349,0.875594,10,da_as_ss_mw_thirty_minutes_reserve;gen_fuel_oil_mw;gen_fuel_other_renewables_mw;gross_actual_interchange_mw;gross_inadv_interchange_mw;total_losses
