stage,lambda,epoch,test_r2
1,0.0005,1,0.662218
1,0.0005,2,0.770976
1,0.0005,3,0.813844
1,0.0005,4,0.829852
1,0.0005,5,0.845789
1,0.0005,6,0.86106
1,0.0005,7,0.870242
1,0.0005,8,0.874515
1,0.0005,9,0.889571
1,0.0005,10,0.896936
1,0.0005,11,0.899396
1,0.0005,12,0.908026
1,0.0005,13,0.912598
1,0.0005,14,0.915559
1,0.0005,15,0.920011
1,0.0005,16,0.920335
1,0.0005,17,0.921296
1,0.0005,18,0.926788
1,0.0005,19,0.932069
1,0.0005,20,0.929015
1,0.0005,21,0.935978
1,0.0005,22,0.93359
1,0.0005,23,0.93308
1,0.0005,24,0.939915
1,0.0005,25,0.935809
1,0.0005,26,0.941636
1,0.0005,27,0.943733
1,0.0005,28,0.943727
1,0.0005,29,0.943517
1,0.0005,30,0.945565
1,0.0005,31,0.943701
1,0.0005,32,0.948113
1,0.0005,33,0.947995
1,0.0005,34,0.950477
1,0.0005,35,0.942214
1,0.0005,36,0.948537
1,0.0005,37,0.953049
1,0.0005,38,0.952406
1,0.0005,39,0.953743
1,0.0005,40,0.953961
1,0.0005,41,0.953629
1,0.0005,42,0.954411
1,0.0005,43,0.952283
1,0.0005,44,0.953408
1,0.0005,45,0.956801
1,0.0005,46,0.956375
1,0.0005,47,0.957332
1,0.0005,48,0.953227
1,0.0005,49,0.956124
1,0.0005,50,0.956581
1,0.0005,51,0.950211
1,0.0005,52,0.958664
1,0.0005,53,0.960242
1,0.0005,54,0.956295
1,0.0005,55,0.957042
1,0.0005,56,0.961002
1,0.0005,57,0.960271
1,0.0005,58,0.960064
1,0.0005,59,0.959424
1,0.0005,60,0.955382
1,0.0005,61,0.960078
1,0.0005,62,0.960423
1,0.0005,63,0.961993
1,0.0005,64,0.961718
1,0.0005,65,0.963508
1,0.0005,66,0.961381
1,0.0005,67,0.959858
1,0.0005,68,0.961531
1,0.0005,69,0.962691
1,0.0005,70,0.962731
1,0.0005,71,0.963343
1,0.0005,72,0.962849
1,0.0005,73,0.961113
1,0.0005,74,0.961777
1,0.0005,75,0.963529
1,0.0005,76,0.961393
1,0.0005,77,0.963769
1,0.0005,78,0.961065
1,0.0005,79,0.96218
1,0.0005,80,0.96566
1,0.0005,81,0.965064
1,0.0005,82,0.966201
1,0.0005,83,0.960251
1,0.0005,84,0.965529
1,0.0005,85,0.964473
1,0.0005,86,0.9652
1,0.0005,87,0.966208
1,0.0005,88,0.961995
1,0.0005,89,0.965824
1,0.0005,90,0.960149
1,0.0005,91,0.96446
1,0.0005,92,0.966945
1,0.0005,93,0.965652
1,0.0005,94,0.966048
1,0.0005,95,0.966033
1,0.0005,96,0.966699
1,0.0005,97,0.96449
1,0.0005,98,0.967842
1,0.0005,99,0.963305
1,0.0005,100,0.967529
1,0.0005,101,0.967136
1,0.0005,102,0.967224
1,0.0005,103,0.965675
1,0.0005,104,0.96591
1,0.0005,105,0.960481
1,0.0005,106,0.967809
1,0.0005,107,0.967718
1,0.0005,108,0.966351
1,0.0005,109,0.965407
1,0.0005,110,0.967693
1,0.0005,111,0.966971
1,0.0005,112,0.967964
1,0.0005,113,0.966411
1,0.0005,114,0.966021
1,0.0005,115,0.968692
1,0.0005,116,0.967961
1,0.0005,117,0.968948
1,0.0005,118,0.968273
1,0.0005,119,0.967516
1,0.0005,120,0.967609
1,0.0005,121,0.968271
1,0.0005,122,0.966887
1,0.0005,123,0.966762
1,0.0005,124,0.967612
1,0.0005,125,0.968741
1,0.0005,126,0.967953
1,0.0005,127,0.966276
1,0.0005,128,0.967655
1,0.0005,129,0.968523
1,0.0005,130,0.969291
1,0.0005,131,0.969758
1,0.0005,132,0.967797
1,0.0005,133,0.967362
1,0.0005,134,0.968893
1,0.0005,135,0.968758
1,0.0005,136,0.968327
1,0.0005,137,0.969152
1,0.0005,138,0.968242
1,0.0005,139,0.967493
1,0.0005,140,0.969655
1,0.0005,141,0.969333
1,0.0005,142,0.96899
1,0.0005,143,0.967601
1,0.0005,144,0.969414
1,0.0005,145,0.969255
1,0.0005,146,0.969191
1,0.0005,147,0.96903
1,0.0005,148,0.968347
1,0.0005,149,0.970016
1,0.0005,150,0.968442
1,0.0005,151,0.969514
1,0.0005,152,0.969506
1,0.0005,153,0.967813
1,0.0005,154,0.968831
1,0.0005,155,0.96913
1,0.0005,156,0.967699
1,0.0005,157,0.970013
1,0.0005,158,0.968593
1,0.0005,159,0.970204
1,0.0005,160,0.969591
1,0.0005,161,0.970513
1,0.0005,162,0.96856
1,0.0005,163,0.970329
1,0.0005,164,0.970065
1,0.0005,165,0.970872
1,0.0005,166,0.971094
1,0.0005,167,0.969055
1,0.0005,168,0.970119
1,0.0005,169,0.969318
1,0.0005,170,0.97089
1,0.0005,171,0.968558
1,0.0005,172,0.970384
1,0.0005,173,0.968993
1,0.0005,174,0.97024
1,0.0005,175,0.969514
1,0.0005,176,0.970661
1,0.0005,177,0.969545
1,0.0005,178,0.970446
1,0.0005,179,0.970684
1,0.0005,180,0.970353
1,0.0005,181,0.971198
1,0.0005,182,0.969672
1,0.0005,183,0.97033
1,0.0005,184,0.9702
1,0.0005,185,0.969748
1,0.0005,186,0.972351
1,0.0005,187,0.971526
1,0.0005,188,0.972279
1,0.0005,189,0.969921
1,0.0005,190,0.971755
1,0.0005,191,0.970586
1,0.0005,192,0.970991
1,0.0005,193,0.969935
1,0.0005,194,0.971094
1,0.0005,195,0.968389
1,0.0005,196,0.969379
1,0.0005,197,0.971142
1,0.0005,198,0.969493
1,0.0005,199,0.971879
1,0.0005,200,0.969297
2,0.001,1,0.970332
2,0.001,2,0.970481
2,0.001,3,0.970237
2,0.001,4,0.970502
2,0.001,5,0.972378
2,0.001,6,0.971628
2,0.001,7,0.972741
2,0.001,8,0.973081
2,0.001,9,0.972097
2,0.001,10,0.970821
2,0.001,11,0.97133
2,0.001,12,0.97207
2,0.001,13,0.971181
2,0.001,14,0.97158
2,0.001,15,0.973273
2,0.001,16,0.973007
2,0.001,17,0.972521
2,0.001,18,0.972826
2,0.001,19,0.97297
2,0.001,20,0.972319
2,0.001,21,0.973629
2,0.001,22,0.972064
2,0.001,23,0.97376
2,0.001,24,0.972758
2,0.001,25,0.973768
2,0.001,26,0.973165
2,0.001,27,0.973993
2,0.001,28,0.9737
2,0.001,29,0.974474
2,0.001,30,0.973413
2,0.001,31,0.973229
2,0.001,32,0.972327
2,0.001,33,0.974194
2,0.001,34,0.973464
2,0.001,35,0.97216
2,0.001,36,0.973229
2,0.001,37,0.973491
2,0.001,38,0.973735
2,0.001,39,0.972426
2,0.001,40,0.974621
2,0.001,41,0.973595
2,0.001,42,0.973111
2,0.001,43,0.973372
2,0.001,44,0.97402
2,0.001,45,0.97184
2,0.001,46,0.972668
2,0.001,47,0.973762
2,0.001,48,0.973366
2,0.001,49,0.974819
2,0.001,50,0.974488
2,0.001,51,0.974815
2,0.001,52,0.975012
2,0.001,53,0.973062
2,0.001,54,0.972973
2,0.001,55,0.972701
2,0.001,56,0.974477
2,0.001,57,0.97337
2,0.001,58,0.974004
2,0.001,59,0.974999
2,0.001,60,0.974381
2,0.001,61,0.974823
2,0.001,62,0.974111
2,0.001,63,0.974176
2,0.001,64,0.975228
2,0.001,65,0.974555
2,0.001,66,0.974559
2,0.001,67,0.973741
2,0.001,68,0.974038
2,0.001,69,0.974288
2,0.001,70,0.974712
2,0.001,71,0.971717
2,0.001,72,0.974668
2,0.001,73,0.974199
2,0.001,74,0.974341
2,0.001,75,0.974808
2,0.001,76,0.974932
2,0.001,77,0.974626
2,0.001,78,0.973928
2,0.001,79,0.973913
2,0.001,80,0.972131
3,0.002,1,0.974517
3,0.002,2,0.97481
3,0.002,3,0.974865
3,0.002,4,0.974567
3,0.002,5,0.974998
3,0.002,6,0.975596
3,0.002,7,0.97603
3,0.002,8,0.973777
3,0.002,9,0.97611
3,0.002,10,0.974658
3,0.002,11,0.976115
3,0.002,12,0.973306
3,0.002,13,0.975934
3,0.002,14,0.974975
3,0.002,15,0.975883
3,0.002,16,0.975747
3,0.002,17,0.975676
3,0.002,18,0.973924
3,0.002,19,0.974728
3,0.002,20,0.97448
3,0.002,21,0.976138
3,0.002,22,0.975171
3,0.002,23,0.976121
3,0.002,24,0.975962
3,0.002,25,0.97561
3,0.002,26,0.973981
3,0.002,27,0.973768
3,0.002,28,0.974293
3,0.002,29,0.974109
