stage,lambda,epoch,feature,gate
1,0.0005,1,da_as_as_mw_thirty_minutes_reserve,0.9835264682769775
1,0.0005,1,da_as_total_mw_thirty_minutes_reserve,1.013045310974121
1,0.0005,1,gross_sched_interchange_mw,1.07831609249115
1,0.0005,1,gen_fuel_nuclear_mw,1.0284024477005005
1,0.0005,1,gen_fuel_gas_mw,1.0460408926010132
1,0.0005,1,da_as_as_req_mw_thirty_minutes_reserve,1.028003215789795
1,0.0005,1,da_as_as_req_mw_primary_reserve,1.0091156959533691
1,0.0005,1,da_as_as_req_mw_synchronized_reserve,1.0170764923095703
1,0.0005,1,total_pjm_assigned_reg,1.0246912240982056
1,0.0005,1,da_as_as_mw_primary_reserve,1.0162075757980347
1,0.0005,1,da_as_total_mw_primary_reserve,1.0131982564926147
1,0.0005,1,da_as_as_mw_synchronized_reserve,1.0227395296096802
1,0.0005,1,total_pjm_reg_purchases,1.0311309099197388
1,0.0005,1,gen_fuel_other_renewables_mw,1.0184935331344604
1,0.0005,1,total_lmp_da,1.0052474737167358
1,0.0005,1,total_pjm_rmpcp_cr,1.015567660331726
1,0.0005,1,forecast_load_mw_day_ahead,1.0351759195327759
1,0.0005,1,total_pjm_rmccp_cr,0.9975457191467285
1,0.0005,1,gen_fuel_wind_mw,1.020279884338379
1,0.0005,1,da_as_total_mw_synchronized_reserve,0.9956629276275635
1,0.0005,1,system_energy_price_da,1.0407321453094482
1,0.0005,1,gen_fuel_multiple_fuels_pct,1.0320631265640259
1,0.0005,1,gen_fuel_multiple_fuels_mw,1.0023821592330933
1,0.0005,1,marginal_loss_price_rt,0.9856200218200684
1,0.0005,1,gen_fuel_gas_pct,1.0364357233047485
1,0.0005,1,marginal_loss_price_da,1.0357192754745483
1,0.0005,1,total_lmp_rt,0.9910556077957153
1,0.0005,1,rmccp,0.9883676171302795
1,0.0005,1,system_energy_price_rt,1.009030818939209
1,0.0005,1,rmpcp,1.0074623823165894
1,0.0005,1,gen_fuel_wind_pct,1.014007329940796
1,0.0005,1,gen_fuel_coal_mw,1.05122709274292
1,0.0005,1,wind_generation_mw,1.0333619117736816
1,0.0005,1,gross_inadv_interchange_mw,1.0163381099700928
1,0.0005,1,gen_fuel_oil_mw,1.022302508354187
1,0.0005,1,da_as_mcp_primary_reserve,0.9895982146263123
1,0.0005,1,total_pjm_rt_load_mwh,1.0166020393371582
1,0.0005,1,metered_load_mw,0.9940496683120728
1,0.0005,1,forecast_load_mw_latest_available,0.9962054491043091
