stage,lambda,feature,gate_mean_window,gate_std_window,active
1,0.0005,da_as_as_mw_thirty_minutes_reserve,0.347931,0.009019,1
1,0.0005,da_as_total_mw_thirty_minutes_reserve,0.332105,0.008045,1
1,0.0005,gross_sched_interchange_mw,0.56784,0.011274,1
1,0.0005,gen_fuel_nuclear_mw,0.859399,0.009424,1
1,0.0005,gen_fuel_gas_mw,1.215923,0.003503,1
1,0.0005,da_as_as_req_mw_thirty_minutes_reserve,0.393469,0.012238,1
1,0.0005,da_as_as_req_mw_primary_reserve,0.35856,0.009372,1
1,0.0005,da_as_as_req_mw_synchronized_reserve,0.297942,0.009675,1
1,0.0005,total_pjm_assigned_reg,0.247499,0.009265,1
1,0.0005,da_as_as_mw_primary_reserve,0.3062,0.006371,1
1,0.0005,da_as_total_mw_primary_reserve,0.193728,0.010826,1
1,0.0005,da_as_as_mw_synchronized_reserve,0.179449,0.007968,1
1,0.0005,total_pjm_reg_purchases,0.242616,0.007119,1
1,0.0005,gen_fuel_other_renewables_mw,0.462651,0.010737,1
1,0.0005,total_lmp_da,0.142127,0.011479,1
1,0.0005,total_pjm_rmpcp_cr,0.153972,0.004801,1
1,0.0005,forecast_load_mw_day_ahead,0.084699,0.015542,1
1,0.0005,total_pjm_rmccp_cr,0.288277,0.025304,1
1,0.0005,gen_fuel_wind_mw,0.569052,0.00854,1
1,0.0005,da_as_total_mw_synchronized_reserve,0.211821,0.005519,1
1,0.0005,system_energy_price_da,0.374078,0.008727,1
1,0.0005,gen_fuel_multiple_fuels_pct,0.374662,0.013525,1
1,0.0005,gen_fuel_multiple_fuels_mw,0.564739,0.011253,1
1,0.0005,marginal_loss_price_rt,0.276634,0.012174,1
1,0.0005,gen_fuel_gas_pct,0.832159,0.010321,1
1,0.0005,marginal_loss_price_da,0.278808,0.008321,1
1,0.0005,total_lmp_rt,0.090615,0.011419,1
1,0.0005,rmccp,0.301946,0.019475,1
1,0.0005,system_energy_price_rt,0.250911,0.010476,1
1,0.0005,rmpcp,0.19503,0.005357,1
1,0.0005,gen_fuel_wind_pct,0.104332,0.009424,1
1,0.0005,gen_fuel_coal_mw,1.14591,0.0043,1
1,0.0005,wind_generation_mw,0.645089,0.010888,1
1,0.0005,gross_inadv_interchange_mw,0.391985,0.007457,1
1,0.0005,gen_fuel_oil_mw,0.584919,0.010332,1
1,0.0005,da_as_mcp_primary_reserve,0.121741,0.007532,1
1,0.0005,total_pjm_rt_load_mwh,1.117378,0.005463,1
1,0.0005,metered_load_mw,0.982254,0.005753,1
1,0.0005,forecast_load_mw_latest_available,0.300637,0.019652,1
1,0.0005,prelim_load_avg_hourly,1.071601,0.003729,1
1,0.0005,gross_actual_interchange_mw,0.440017,0.007945,1
1,0.0005,gen_fuel_hydro_mw,0.778809,0.012421,1
1,0.0005,total_pjm_loc_credit,0.178768,0.004296,1
1,0.0005,total_losses,0.59207,0.009811,1
1,0.0005,net_inadv_interchange_mw,0.173922,0.00477,1
1,0.0005,da_as_nsr_mw_primary_reserve,0.098547,0.005478,1
1,0.0005,total_pjm_self_sched_reg,0.292244,0.005481,1
1,0.0005,da_as_ss_mw_synchronized_reserve,0.25524,0.010477,1
1,0.0005,da_as_ss_mw_thirty_minutes_reserve,0.273843,0.01026,1
1,0.0005,da_as_ss_mw_primary_reserve,0.259435,0.011957,1
1,0.0005,gen_fuel_solar_mw,0.999164,0.009945,1
1,0.0005,gen_fuel_coal_pct,0.677481,0.01343,1
1,0.0005,congestion_price_rt,0.291481,0.005991,1
1,0.0005,da_as_mcp_synchronized_reserve,0.122443,0.004697,1
1,0.0005,congestion_price_da,0.318888,0.010551,1
2,0.001,da_as_as_mw_thirty_minutes_reserve,0.181426,0.007364,1
2,0.001,da_as_total_mw_thirty_minutes_reserve,0.19137,0.006893,1
2,0.001,gross_sched_interchange_mw,0.354404,0.011359,1
2,0.001,gen_fuel_nuclear_mw,0.65001,0.014374,1
2,0.001,gen_fuel_gas_mw,1.122342,0.007437,1
2,0.001,da_as_as_req_mw_thirty_minutes_reserve,0.203821,0.00689,1
2,0.001,da_as_as_req_mw_primary_reserve,0.205913,0.005799,1
2,0.001,da_as_as_req_mw_synchronized_reserve,0.141887,0.006032,1
2,0.001,total_pjm_assigned_reg,0.124557,0.003892,1
2,0.001,da_as_as_mw_primary_reserve,0.195086,0.002962,1
2,0.001,da_as_total_mw_primary_reserve,0.040985,0.006012,1
2,0.001,da_as_as_mw_synchronized_reserve,0.067876,0.004557,1
2,0.001,total_pjm_reg_purchases,0.132661,0.002733,1
2,0.001,gen_fuel_other_renewables_mw,0.291212,0.007554,1
2,0.001,total_lmp_da,0.001583,0.001285,0
2,0.001,total_pjm_rmpcp_cr,0.074156,0.002498,1
2,0.001,forecast_load_mw_day_ahead,0.001048,0.000965,0
2,0.001,total_pjm_rmccp_cr,0.063008,0.006045,1
2,0.001,gen_fuel_wind_mw,0.404853,0.010099,1
2,0.001,da_as_total_mw_synchronized_reserve,0.117772,0.004302,1
2,0.001,system_energy_price_da,0.219341,0.007818,1
2,0.001,gen_fuel_multiple_fuels_pct,0.166727,0.008177,1
2,0.001,gen_fuel_multiple_fuels_mw,0.355909,0.01038,1
2,0.001,marginal_loss_price_rt,0.114357,0.003961,1
2,0.001,gen_fuel_gas_pct,0.590987,0.017612,1
2,0.001,marginal_loss_price_da,0.147449,0.005831,1
2,0.001,total_lmp_rt,0.001903,0.001563,0
2,0.001,rmccp,0.101154,0.003314,1
2,0.001,system_energy_price_rt,0.093906,0.006024,1
2,0.001,rmpcp,0.107703,0.004676,1
2,0.001,gen_fuel_wind_pct,0.000893,0.000779,0
2,0.001,gen_fuel_coal_mw,1.028018,0.00928,1
2,0.001,wind_generation_mw,0.428793,0.013161,1
2,0.001,gross_inadv_interchange_mw,0.2321,0.005834,1
2,0.001,gen_fuel_oil_mw,0.363144,0.011577,1
2,0.001,da_as_mcp_primary_reserve,0.018579,0.004091,0
2,0.001,total_pjm_rt_load_mwh,0.994796,0.00976,1
2,0.001,metered_load_mw,0.850853,0.010173,1
2,0.001,forecast_load_mw_latest_available,0.001174,0.001587,0
2,0.001,prelim_load_avg_hourly,0.977504,0.007544,1
2,0.001,gross_actual_interchange_mw,0.286415,0.005353,1
2,0.001,gen_fuel_hydro_mw,0.547734,0.013014,1
2,0.001,total_pjm_loc_credit,0.093128,0.004307,1
2,0.001,total_losses,0.383613,0.009193,1
2,0.001,net_inadv_interchange_mw,0.102547,0.002509,1
2,0.001,da_as_nsr_mw_primary_reserve,0.05994,0.001594,1
2,0.001,total_pjm_self_sched_reg,0.173158,0.004861,1
2,0.001,da_as_ss_mw_synchronized_reserve,0.108535,0.005272,1
2,0.001,da_as_ss_mw_thirty_minutes_reserve,0.151639,0.005021,1
2,0.001,da_as_ss_mw_primary_reserve,0.117861,0.0045,1
2,0.001,gen_fuel_solar_mw,0.779823,0.015397,1
2,0.001,gen_fuel_coal_pct,0.374613,0.019391,1
2,0.001,congestion_price_rt,0.151677,0.004127,1
2,0.001,da_as_mcp_synchronized_reserve,0.082559,0.00254,1
2,0.001,congestion_price_da,0.184883,0.005281,1
3,0.002,da_as_as_mw_thirty_minutes_reserve,0.083354,0.004267,1
3,0.002,da_as_total_mw_thirty_minutes_reserve,0.09445,0.003648,1
3,0.002,gross_sched_interchange_mw,0.191396,0.006161,1
3,0.002,gen_fuel_nuclear_mw,0.38822,0.012884,1
3,0.002,gen_fuel_gas_mw,0.962547,0.011517,1
3,0.002,da_as_as_req_mw_thirty_minutes_reserve,0.098619,0.003732,1
3,0.002,da_as_as_req_mw_primary_reserve,0.12347,0.002457,1
3,0.002,da_as_as_req_mw_synchronized_reserve,0.053783,0.002952,1
3,0.002,total_pjm_assigned_reg,0.063345,0.002982,1
3,0.002,da_as_as_mw_primary_reserve,0.098965,0.004936,1
3,0.002,da_as_total_mw_primary_reserve,0.001776,0.001546,0
3,0.002,da_as_as_mw_synchronized_reserve,0.010494,0.002241,0
3,0.002,total_pjm_reg_purchases,0.06053,0.00305,1
3,0.002,gen_fuel_other_renewables_mw,0.158108,0.005752,1
3,0.002,total_lmp_da,0.0,0.0,0
3,0.002,total_pjm_rmpcp_cr,0.040143,0.002377,1
3,0.002,forecast_load_mw_day_ahead,0.0,0.0,0
3,0.002,total_pjm_rmccp_cr,0.002006,0.001486,0
3,0.002,gen_fuel_wind_mw,0.234868,0.007541,1
3,0.002,da_as_total_mw_synchronized_reserve,0.071235,0.00187,1
3,0.002,system_energy_price_da,0.10722,0.003389,1
3,0.002,gen_fuel_multiple_fuels_pct,0.047232,0.003504,1
3,0.002,gen_fuel_multiple_fuels_mw,0.205491,0.00529,1
3,0.002,marginal_loss_price_rt,0.039919,0.003183,1
3,0.002,gen_fuel_gas_pct,0.262858,0.017294,1
3,0.002,marginal_loss_price_da,0.073386,0.003418,1
3,0.002,total_lmp_rt,0.0,0.0,0
3,0.002,rmccp,0.053454,0.002156,1
3,0.002,system_energy_price_rt,0.022366,0.001133,1
3,0.002,rmpcp,0.046,0.002697,1
3,0.002,gen_fuel_wind_pct,0.0,0.0,0
3,0.002,gen_fuel_coal_mw,0.808629,0.016194,1
3,0.002,wind_generation_mw,0.208243,0.009819,1
3,0.002,gross_inadv_interchange_mw,0.126793,0.004042,1
3,0.002,gen_fuel_oil_mw,0.182359,0.006201,1
3,0.002,da_as_mcp_primary_reserve,0.0,0.0,0
3,0.002,total_pjm_rt_load_mwh,0.79184,0.014481,1
3,0.002,metered_load_mw,0.639926,0.014467,1
3,0.002,forecast_load_mw_latest_available,0.0,0.0,0
3,0.002,prelim_load_avg_hourly,0.826551,0.009806,1
3,0.002,gross_actual_interchange_mw,0.158042,0.004841,1
3,0.002,gen_fuel_hydro_mw,0.328607,0.010138,1
3,0.002,total_pjm_loc_credit,0.036941,0.002786,1
3,0.002,total_losses,0.208976,0.005613,1
3,0.002,net_inadv_interchange_mw,0.052589,0.001903,1
3,0.002,da_as_nsr_mw_primary_reserve,0.045999,0.000944,1
3,0.002,total_pjm_self_sched_reg,0.088925,0.00288,1
3,0.002,da_as_ss_mw_synchronized_reserve,0.031553,0.003469,1
