area_3_load_actual_mw,area_1_load_day_ahead_mw,area_3_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r3_mw,area_1_fuel_natural_gas_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_generation_mw,hour_of_day,month_of_year
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.44467992,0.5301773,0.41288903,0.49353015,0.572266,0.5537707,0.5424261,0.40045655,0.48297286,0.5584935,0.4564898,0.39805552,0.46885395,0.5905808,0.5596998,0.56877714,0.5328518,0.43069682,0.5293713,0.53295934,0.52250946,0.5608698,0.5287895,0.46468008,0.45222592,0.44689545
0.4007524,0.57299536,0.40487477,0.5294247,0.60684156,0.57586056,0.5697132,0.41921502,0.50908667,0.6374265,0.4024823,0.33346763,0.46576163,0.65727407,0.6298106,0.6077505,0.56975853,0.42669165,0.5744612,0.53107566,0.53211063,0.5862733,0.5570263,0.40981355,0.44692928,0.41140398
0.3560366,0.597195,0.37967867,0.58312553,0.6613913,0.59301084,0.59524435,0.42595845,0.53568214,0.7004344,0.34946507,0.30980936,0.44198182,0.7166299,0.6875408,0.6362361,0.60467863,0.41800922,0.59870905,0.5424631,0.55614305,0.5968419,0.5861021,0.3716931,0.4269569,0.38703117
0.31876314,0.64654523,0.35696357,0.61225545,0.6845448,0.5899491,0.6040638,0.444781,0.55101967,0.7612004,0.31065693,0.2815899,0.42800462,0.76618147,0.7217715,0.6488731,0.6383006,0.40827024,0.63367045,0.5454666,0.5569914,0.5949047,0.59313935,0.33481705,0.41063228,0.3615766
0.2811511,0.69021064,0.33824518,0.64493954,0.70716244,0.5895471,0.6114037,0.4481186,0.57886916,0.8146113,0.2629901,0.25657454,0.43301535,0.821037,0.77400875,0.65575105,0.6492249,0.3938831,0.6516141,0.5314736,0.55301803,0.59707534,0.6030336,0.2952442,0.38343766,0.34109116
0.2574509,0.73148715,0.32939547,0.66672695,0.73316765,0.60192597,0.6499527,0.43968937,0.5967711,0.8621446,0.223857,0.2382689,0.4277696,0.8729713,0.8175564,0.662658,0.66648984,0.38272563,0.6750187,0.5284345,0.55990803,0.5967949,0.6086065,0.24613757,0.3739005,0.31582525
0.22549847,0.7631111,0.29916304,0.69049144,0.7468991,0.60705435,0.6583235,0.4512082,0.6162014,0.91124403,0.18337369,0.2212804,0.430102,0.9008381,0.883686,0.67390233,0.6823174,0.3561855,0.6939377,0.5181068,0.5565287,0.59451634,0.592675,0.20178713,0.3645869,0.28977603
0.19109659,0.79262596,0.27162436,0.7310348,0.762649,0.60506046,0.6574383,0.45892498,0.6269319,0.9563672,0.14322776,0.2116043,0.43691143,0.9575898,0.9279779,0.68192357,0.7051481,0.33646384,0.7167566,0.5132568,0.55402124,0.5918657,0.57742345,0.17340763,0.3468735,0.25993624
0.1509393,0.83250886,0.23653738,0.771025,0.7726461,0.60139024,0.6707729,0.45950344,0.6261565,0.9990935,0.10129747,0.17498599,0.4693965,0.99912596,0.9761093,0.68679696,0.71508235,0.3167788,0.73565525,0.5024244,0.5482157,0.5913717,0.5715007,0.12448014,0.3329673,0.23418449
0.1203199,0.8759413,0.21692547,0.7963794,0.77897966,0.58876467,0.6719846,0.45989826,0.6335795,1.0331883,0.043318957,0.15025905,0.4880132,1.0515423,1.0160253,0.6911758,0.7308646,0.29346818,0.74305016,0.49829313,0.542264,0.58623725,0.5620188,0.06537565,0.3237534,0.20349541
0.078406446,0.9073566,0.18940207,0.8157061,0.784772,0.5852103,0.67244875,0.45525518,0.64534205,1.0836393,-0.0053011775,0.121637195,0.504349,1.111078,1.0576998,0.6905913,0.7394177,0.27780432,0.7599648,0.48436743,0.5313162,0.58740854,0.56010234,0.017283283,0.3026959,0.17567289
0.035376746,0.93638563,0.16000451,0.83788866,0.7986083,0.5884739,0.68239725,0.45219547,0.6678858,1.119916,-0.05635509,0.07733748,0.5224254,1.1740257,1.103554,0.6900132,0.73906,0.25636384,0.7718742,0.4648983,0.5135466,0.57682884,0.5542703,-0.043198135,0.26634577,0.13628952
0.0009572522,0.9627554,0.11969633,0.86970305,0.8038052,0.5786919,0.69227856,0.4610409,0.67445046,1.1703436,-0.11219722,0.06115318,0.53721714,1.219893,1.1379411,0.69823915,0.7446281,0.22739686,0.77533495,0.44622132,0.5079727,0.5682112,0.5383142,-0.10133778,0.25003138,0.09597125
-0.05615305,0.99323595,0.08700447,0.8875803,0.813939,0.5783152,0.6990537,0.46107766,0.67999256,1.2107694,-0.17290707,0.03259836,0.55455637,1.2715917,1.1687771,0.70920086,0.75936264,0.18009514,0.77779406,0.43081248,0.500862,0.56285757,0.52957475,-0.1480086,0.23816822,0.057189282
-0.109565385,1.024815,0.036149047,0.90463924,0.8248811,0.5739379,0.7064008,0.47721466,0.6939602,1.2288578,-0.22992358,-0.01220216,0.5790517,1.3074137,1.2103462,0.7104823,0.7717277,0.14148943,0.77896136,0.41283834,0.48970336,0.55603045,0.5076046,-0.20608786,0.21703367,0.014181179
-0.16469108,1.0501602,-0.013532776,0.9054077,0.83482194,0.56930906,0.71289825,0.4756877,0.703389,1.2713257,-0.27328664,-0.04135064,0.61730933,1.3416393,1.2561386,0.7076498,0.78165704,0.10986724,0.7775706,0.38467273,0.4787823,0.55373454,0.49437654,-0.263448,0.20336618,-0.028284112
-0.18992344,1.0595087,-0.058992293,0.9226041,0.85152245,0.56373644,0.7120479,0.48975134,0.72192353,1.2937651,-0.3391732,-0.085964106,0.6393607,1.3771404,1.290289,0.71369916,0.7818479,0.07111231,0.76627606,0.36089215,0.46031266,0.5491184,0.48235348,-0.32044816,0.1916482,-0.07088315
-0.23454022,1.0697012,-0.0984492,0.9399849,0.8598288,0.5645425,0.7233955,0.4879809,0.73050576,1.3168823,-0.3867037,-0.12063744,0.6973776,1.424381,1.336587,0.71785146,0.7862253,0.023427524,0.774647,0.33667764,0.43996564,0.5522495,0.47465777,-0.37162563,0.16043448,-0.1217452
-0.2801961,1.0992012,-0.14170095,0.9367096,0.86338556,0.5455137,0.7215621,0.4902068,0.73192537,1.3402643,-0.4364924,-0.1609513,0.7486928,1.4391358,1.3755903,0.7101011,0.787873,-0.01760107,0.7744865,0.31584442,0.42263588,0.54173386,0.45289165,-0.4205736,0.13140196,-0.1728423
-0.33100596,1.1242557,-0.18852131,0.93239945,0.86530304,0.5318638,0.7147964,0.48944882,0.7409912,1.3790447,-0.4873776,-0.1983248,0.7996806,1.4676616,1.4112417,0.7077254,0.7942687,-0.062000353,0.76777947,0.28974274,0.4059342,0.5340853,0.43540683,-0.47340456,0.09424058,-0.22731352
-0.38407937,1.1600062,-0.2373466,0.9384528,0.8657382,0.5161076,0.7066129,0.48187613,0.7438749,1.4184116,-0.5380302,-0.2448657,0.8473271,1.5081626,1.4353323,0.71001446,0.80218273,-0.11500264,0.7703416,0.2579884,0.3791861,0.5311757,0.41925213,-0.5222092,0.060263738,-0.27204677
-0.42421556,1.1870095,-0.28152937,0.9435531,0.8680733,0.5020177,0.70663595,0.4775049,0.73988074,1.4443438,-0.5867952,-0.28419462,0.8817015,1.5426025,1.4814959,0.69906336,0.8084298,-0.16003232,0.771623,0.22836706,0.35316253,0.5245154,0.3971209,-0.56676066,0.017009407,-0.3271364
-0.4726575,1.2119195,-0.33604494,0.9455315,0.870379,0.47793093,0.6967401,0.45830688,0.7404871,1.4624091,-0.6312412,-0.32504547,0.92025095,1.5650047,1.5131907,0.6947049,0.8040079,-0.21204007,0.76732343,0.18634003,0.32670665,0.50929976,0.36469233,-0.6090078,-0.031984385,-0.37595415
-0.51968104,1.2329305,-0.3949367,0.93967867,0.8740135,0.4589201,0.68851155,0.4483942,0.74036527,1.5004864,-0.6739541,-0.36593592,0.97645396,1.5840245,1.5459176,0.6913916,0.8031879,-0.25587088,0.7694774,0.15168913,0.29206002,0.49204424,0.3395663,-0.6481876,-0.076388255,-0.42110813
-0.5466184,1.255878,-0.4469987,0.9387925,0.8693108,0.4326939,0.66985035,0.44130096,0.7360776,1.5441583,-0.7011361,-0.41132334,1.0151672,1.6204439,1.5613987,0.68389726,0.812249,-0.30379656,0.7637293,0.09938689,0.25459588,0.47876862,0.31414542,-0.6881408,-0.117630854,-0.4703346
-0.58614737,1.2772096,-0.4980178,0.9452303,0.8734528,0.40506768,0.6597316,0.43231827,0.7406602,1.5789078,-0.74814045,-0.45335352,1.0565184,1.6532426,1.5710948,0.6754106,0.81436235,-0.34437767,0.7564847,0.05343134,0.2191394,0.45378095,0.28002968,-0.72755677,-0.15072583,-0.52045286
-0.6280987,1.2991228,-0.5439867,0.9416164,0.87174946,0.38464412,0.64985734,0.41810602,0.7444827,1.608702,-0.7854411,-0.49293253,1.0933849,1.6790794,1.5954131,0.6634437,0.81124467,-0.3963222,0.74259216,0.0049526584,0.18113075,0.43321434,0.24435376,-0.761457,-0.19814621,-0.5718722
-0.6762003,1.3192023,-0.587096,0.9386196,0.8698985,0.35271797,0.63893366,0.39391237,0.732552,1.632119,-0.8158871,-0.53634876,1.1512268,1.6943653,1.6234846,0.6472289,0.80305386,-0.4443283,0.736115,-0.05289446,0.13712166,0.40303966,0.20557392,-0.7951939,-0.24354367,-0.6183574
-0.7072156,1.3357779,-0.62681323,0.9385058,0.8728465,0.3259533,0.6251437,0.364611,0.72635746,1.6562718,-0.8514867,-0.57534206,1.180856,1.7140249,1.6619494,0.62583375,0.7915253,-0.49039298,0.7222781,-0.10655207,0.09318551,0.37813777,0.16609806,-0.82319796,-0.30505553,-0.65719914
-0.7388812,1.354994,-0.66871053,0.940278,0.8724174,0.29503843,0.60363144,0.32938302,0.71924007,1.6775746,-0.88389885,-0.6147507,1.2315764,1.750174,1.6928244,0.609498,0.7895156,-0.5312434,0.7066291,-0.16918154,0.03846452,0.34652808,0.12541369,-0.8557944,-0.35415038,-0.69448465
-0.77008873,1.3924773,-0.70477676,0.93069285,0.87347037,0.25403708,0.5929986,0.29228872,0.7141705,1.716375,-0.9101661,-0.64984775,1.2663375,1.7754915,1.7215967,0.59101534,0.78704095,-0.5782152,0.6928497,-0.22682776,-0.015276083,0.3051894,0.07933568,-0.8873508,-0.40843597,-0.733067
-0.8029456,1.4269922,-0.74517846,0.93014455,0.8720191,0.20685889,0.58145404,0.25835666,0.71467566,1.7358102,-0.9356187,-0.68588287,1.3084755,1.8021718,1.7495731,0.57868254,0.77888966,-0.62042874,0.67854863,-0.28126317,-0.06611633,0.26143903,0.03485123,-0.90856516,-0.45644662,-0.76629025
-0.83033615,1.4526552,-0.7822688,0.92528045,0.86979353,0.16297288,0.56118786,0.21445484,0.70933473,1.7637566,-0.9494179,-0.7212499,1.3386331,1.8199624,1.7674524,0.56634796,0.7789986,-0.6613649,0.6585971,-0.33328605,-0.11761865,0.2278016,-0.01703344,-0.92807764,-0.5021436,-0.79933584
-0.85649425,1.4686958,-0.8166249,0.91887033,0.8686235,0.11320321,0.54107386,0.16852874,0.6884486,1.779505,-0.9735599,-0.7529438,1.3705031,1.8354272,1.7865807,0.54212785,0.7706224,-0.70462775,0.63632226,-0.388666,-0.17484239,0.1854561,-0.07438436,-0.96929497,-0.5434594,-0.8334003
-0.88341343,1.4809192,-0.84954584,0.9057989,0.8622659,0.058496412,0.5162706,0.118089914,0.6674505,1.8041083,-0.9980658,-0.78358203,1.391697,1.8438127,1.7987158,0.51488304,0.7615792,-0.7412223,0.6079349,-0.443385,-0.2332049,0.12652172,-0.13406669,-0.98470867,-0.5871138,-0.8652628
-0.9075405,1.5118636,-0.8814128,0.90432876,0.85385644,0.0071735103,0.4855543,0.0646133,0.6511966,1.8373755,-1.0225666,-0.814946,1.4287243,1.8508611,1.8133789,0.48212138,0.74979436,-0.76980424,0.57713014,-0.496779,-0.2937613,0.07254595,-0.19190185,-1.0062108,-0.6324389,-0.8946009
-0.9324771,1.5263407,-0.91025734,0.8927474,0.8453189,-0.056093022,0.44834918,0.0006774252,0.62788737,1.8593895,-1.0455667,-0.8448372,1.4648489,1.8702797,1.8293746,0.44380772,0.7364394,-0.7965289,0.5439064,-0.5467579,-0.3504878,0.020328533,-0.24880674,-1.0298442,-0.673452,-0.92516536
-0.9558845,1.5389467,-0.93799573,0.87493825,0.83765614,-0.11447894,0.41288513,-0.06663091,0.60306835,1.8741661,-1.0676743,-0.87364054,1.4866467,1.8831943,1.8337718,0.39639175,0.7235866,-0.83127695,0.50624925,-0.5947223,-0.4058531,-0.040636167,-0.30602628,-1.0504289,-0.70886433,-0.95347285
-0.9792684,1.5665699,-0.96659,0.859949,0.8272862,-0.17438215,0.37110758,-0.1337906,0.5702331,1.879917,-1.0920274,-0.90185964,1.5175576,1.892846,1.8548942,0.34845594,0.7080613,-0.86905473,0.457523,-0.6391922,-0.4594871,-0.1093436,-0.36640435,-1.0725336,-0.74444073,-0.98130995
-1.0024585,1.5883948,-0.99270254,0.8460479,0.8178005,-0.23823869,0.32245678,-0.19938368,0.5300098,1.8964895,-1.0882051,-0.92879814,1.5446631,1.9080142,1.8593348,0.28867075,0.69088286,-0.8964456,0.4029348,-0.6845879,-0.50975287,-0.17585419,-0.42662656,-1.0933162,-0.7794965,-1.0085334
-1.0262471,1.5989442,-1.0175871,0.8349047,0.81036675,-0.30014315,0.26513767,-0.26466838,0.4909932,1.905617,-1.1030143,-0.9554227,1.5578717,1.9299238,1.8798684,0.22323996,0.669103,-0.92510545,0.3377584,-0.7239017,-0.5617343,-0.23964046,-0.47822398,-1.1145067,-0.81181467,-1.0333388
-1.0482699,1.6036218,-1.0424421,0.8191377,0.8006657,-0.36064765,0.20103855,-0.33025977,0.44048887,1.9204322,-1.11988,-0.9809062,1.573784,1.9392772,1.920332,0.15312338,0.6425468,-0.9510171,0.26972243,-0.7621303,-0.60849357,-0.3058917,-0.5278006,-1.1374586,-0.84344333,-1.0569006
-1.0708086,1.6132579,-1.0654882,0.7973601,0.78948903,-0.42052045,0.1336167,-0.3952544,0.37905604,1.9346151,-1.1447362,-1.0051543,1.5947485,1.9462923,1.9229152,0.074682795,0.61352354,-0.9758988,0.19229478,-0.79815143,-0.6547092,-0.37256995,-0.57510227,-1.1563003,-0.87500405,-1.0773923
-1.0927137,1.6311055,-1.0889252,0.7695732,0.78549635,-0.4777625,0.059146542,-0.4553031,0.33022487,1.9585787,-1.1643724,-1.0292376,1.6230102,1.9876121,1.9320539,-0.006137235,0.58378536,-1.0007349,0.10606823,-0.8341494,-0.6970459,-0.4298627,-0.6188154,-1.1793464,-0.9055482,-1.0997303
