目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
branch_ca_1_loading_pct,线路CA-1负载率,95%,5,DGatingDNN,DGatingDNN,0.9337615005518051,0.9592316923613244,20,gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|reserve_spin_r1_mw|gen_fuel_natural_gas_mw
branch_ca_1_loading_pct,线路CA-1负载率,95%,5,DGatingDNN,STG,0.8924367440796188,0.9592316923613244,20,gen_fuel_coal_mw|gen_fuel_natural_gas_mw|reserve_spin_r1_mw|gen_fuel_solar_mw|gen_fuel_nuclear_mw
branch_ca_1_loading_pct,线路CA-1负载率,95%,5,DGatingDNN,LassoNet,0.862372194536375,0.9592316923613244,20,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|reserve_reg_down_mw|gen_fuel_nuclear_mw
branch_ca_1_loading_pct,线路CA-1负载率,95%,5,DGatingDNN,XGBoost,0.8747773510021067,0.9592316923613244,20,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw
branch_ca_1_loading_pct,线路CA-1负载率,95%,5,DGatingDNN,Lasso,0.9215025504737306,0.9592316923613244,20,gen_fuel_solar_mw|gen_fuel_coal_mw|area_1_load_actual_mw|system_losses_mw|gen_fuel_wind_mw
branch_ca_1_loading_pct,线路CA-1负载率,95%,5,DGatingDNN,Pearson,0.8517133174431629,0.9592316923613244,20,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|reserve_reg_up_mw|reserve_reg_down_mw
branch_ca_1_loading_pct,线路CA-1负载率,97%,5,DGatingDNN,DGatingDNN,0.9337615005518051,0.9592316923613244,20,gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|reserve_spin_r1_mw|gen_fuel_natural_gas_mw
branch_ca_1_loading_pct,线路CA-1负载率,97%,5,DGatingDNN,STG,0.8924367440796188,0.9592316923613244,20,gen_fuel_coal_mw|gen_fuel_natural_gas_mw|reserve_spin_r1_mw|gen_fuel_solar_mw|gen_fuel_nuclear_mw
branch_ca_1_loading_pct,线路CA-1负载率,97%,5,DGatingDNN,LassoNet,0.862372194536375,0.9592316923613244,20,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|reserve_reg_down_mw|gen_fuel_nuclear_mw
branch_ca_1_loading_pct,线路CA-1负载率,97%,5,DGatingDNN,XGBoost,0.8747773510021067,0.9592316923613244,20,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw
branch_ca_1_loading_pct,线路CA-1负载率,97%,5,DGatingDNN,Lasso,0.9215025504737306,0.9592316923613244,20,gen_fuel_solar_mw|gen_fuel_coal_mw|area_1_load_actual_mw|system_losses_mw|gen_fuel_wind_mw
branch_ca_1_loading_pct,线路CA-1负载率,97%,5,DGatingDNN,Pearson,0.8517133174431629,0.9592316923613244,20,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|reserve_reg_up_mw|reserve_reg_down_mw
