area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,month_of_year
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.52055687,0.4902217,0.45705086,0.48818484,0.5400332,0.47418067,0.46527085,0.5290677,0.49744967,0.55029714,0.510424,0.52008826,0.43531913,0.44962156,0.47455904,0.42248625,0.4983706,0.530948,0.5558744,0.57705754,0.39400464,0.5063734,0.4730169,0.5015551,0.5356078,0.5301224,0.50100726,0.46302873,0.55249685,0.48107088,0.41314608,0.5473167,0.48587653,0.43526208,0.46242762,0.40986633
0.53682876,0.4613525,0.38575643,0.4700243,0.56345147,0.43055162,0.4028312,0.51813704,0.4705322,0.6227711,0.51310384,0.4968114,0.37848863,0.5229816,0.48454118,0.38368672,0.4974428,0.6093773,0.5779521,0.67437756,0.34371048,0.4721743,0.43980247,0.5020422,0.5740746,0.5446152,0.52195376,0.47067302,0.56568664,0.4328274,0.36079136,0.6357378,0.52033657,0.39069086,0.43113524,0.3372274
0.5623488,0.4366375,0.33727372,0.44651878,0.5873239,0.38239512,0.34247628,0.5050886,0.45929652,0.650389,0.52266073,0.4789897,0.30813038,0.5643205,0.50465274,0.3382827,0.5061914,0.64421564,0.6047271,0.7402123,0.30225366,0.4318159,0.44054654,0.5040491,0.59562534,0.5447167,0.56682324,0.47167638,0.5720115,0.41590592,0.31195447,0.68401307,0.5535901,0.33975056,0.41322848,0.2864031
0.5792646,0.41859064,0.26822966,0.4191943,0.6094062,0.3222123,0.30189708,0.47517687,0.43841872,0.6712842,0.5433907,0.46021935,0.26359707,0.6026598,0.51641965,0.2853445,0.5142734,0.6874596,0.6315349,0.8222317,0.27077317,0.38708174,0.43256548,0.49645016,0.6001085,0.5261933,0.6232716,0.47611928,0.58989525,0.38885477,0.27464175,0.71985835,0.59645736,0.27259523,0.3821394,0.22704166
0.5963145,0.39399976,0.21783696,0.3813476,0.64428157,0.30617613,0.25031424,0.45986614,0.42038673,0.7015618,0.556603,0.44092125,0.19406249,0.64812577,0.53553694,0.24765213,0.5045222,0.72862494,0.6621009,0.90385294,0.2720089,0.34429514,0.4126953,0.4851622,0.61861914,0.51654243,0.6613258,0.46239805,0.5906608,0.36479956,0.2256377,0.75385296,0.61916554,0.21228687,0.37342983,0.1855178
0.6012564,0.37112555,0.14768627,0.34837312,0.66690624,0.2719007,0.20502645,0.4338627,0.39732382,0.72210836,0.56206363,0.42043158,0.13485612,0.68404037,0.5538324,0.20217186,0.50679725,0.76241404,0.6863621,0.97154135,0.30852643,0.28830317,0.40745607,0.47988474,0.62821966,0.5135619,0.73160976,0.47045204,0.60768235,0.33081827,0.17910528,0.78103197,0.64029294,0.14696005,0.34722638,0.13910073
0.6017862,0.35018885,0.08826878,0.29992092,0.679287,0.24515443,0.16747826,0.41338125,0.38010713,0.7322847,0.5810516,0.39424428,0.08986666,0.722379,0.57201105,0.1529089,0.4919648,0.79867524,0.7141289,1.0280104,0.30358133,0.23965381,0.3949815,0.48840973,0.6363159,0.4896598,0.79909605,0.4712534,0.6220416,0.31493446,0.14207777,0.8019355,0.6660394,0.094724186,0.33697602,0.0837966
0.61494935,0.32662755,0.04601487,0.2472864,0.6971324,0.20622592,0.1267829,0.39631793,0.3655128,0.73956156,0.59030074,0.36723316,0.034250982,0.76282233,0.6092918,0.092286825,0.48755136,0.8395694,0.74403846,1.0840251,0.30875346,0.17610253,0.37970507,0.4831953,0.6398378,0.5012653,0.87844616,0.47906485,0.63559663,0.28359437,0.106204115,0.8059792,0.70007133,0.034575913,0.32591632,0.052888755
0.63026047,0.31459484,-0.017696682,0.2047559,0.7031358,0.17474622,0.067506365,0.3566184,0.3460509,0.74636483,0.5962584,0.34655306,-0.018398669,0.7805974,0.64459246,0.044565167,0.48968658,0.8596848,0.7774806,1.1397632,0.34054255,0.10624165,0.35059556,0.47021735,0.64419705,0.49131975,0.93693537,0.48829153,0.64621925,0.25086862,0.06716907,0.8167868,0.73796725,-0.02952721,0.29761025,-0.0168349
