target,中文名,n_pool,n_kept,n_dropped,dropped,thr_pearson,thr_spearman,thr_kendall,thr_nmi,thr_distance_corr,thr_hsic
net_actual_interchange_mw,净实际交换功率,58,50,8,da_as_ss_mw_primary_reserve|total_pjm_self_sched_reg|gen_fuel_solar_pct|gen_fuel_hydro_pct|net_inadv_interchange_mw|gen_fuel_hydro_mw|solar_generation_mw|total_pjm_loc_credit,0.124468699891104,0.13341777086107182,0.09578689758165111,0.019009366831054315,0.1597162538766086,0.018213567414661073
gross_actual_interchange_mw,总实际交换功率,58,48,10,total_pjm_rmpcp_cr|total_pjm_self_sched_reg|gen_fuel_wind_mw|rmpcp|da_as_mcp_primary_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_wind_pct|net_inadv_interchange_mw|wind_generation_mw|total_pjm_loc_credit,0.1186316549886992,0.13396507471947053,0.09208361202354902,0.014573469149595435,0.13793894063633125,0.015158388472418217
net_sched_interchange_mw,净计划交换功率,58,52,6,net_inadv_interchange_mw|solar_generation_mw|total_pjm_self_sched_reg|gen_fuel_hydro_pct|gen_fuel_solar_pct|total_pjm_loc_credit,0.12332682676841843,0.13040975782891365,0.09632174036752998,0.018210249242660584,0.16232086485055944,0.0179501123483992
total_gen,总发电量,58,45,13,da_as_ss_mw_primary_reserve|gen_fuel_wind_mw|total_pjm_rmpcp_cr|total_pjm_rmccp_cr|total_pjm_assigned_reg|total_pjm_self_sched_reg|wind_generation_mw|total_pjm_loc_credit|rmpcp|rmccp|net_inadv_interchange_mw|solar_generation_mw|gen_fuel_multiple_fuels_pct,0.2238365679090535,0.2531729931696355,0.17079849924962487,0.03315200043909213,0.22536396529145936,0.031747708286575874
metered_load_mw,计量负荷,58,44,14,wind_generation_mw|gross_sched_interchange_mw|net_inadv_interchange_mw|net_sched_interchange_mw|net_actual_interchange_mw|total_pjm_self_sched_reg|rmccp|rmpcp|gen_fuel_wind_mw|total_pjm_assigned_reg|da_as_ss_mw_primary_reserve|gen_fuel_multiple_fuels_pct|total_pjm_rmpcp_cr|total_pjm_loc_credit,0.22845730355938323,0.2677744426493868,0.18621385116096298,0.03329924002979022,0.23896381203860687,0.03670161824370123
total_losses,总网损,58,51,7,total_pjm_rmpcp_cr|gen_fuel_multiple_fuels_pct|total_pjm_self_sched_reg|da_as_mcp_synchronized_reserve|rmpcp|net_inadv_interchange_mw|da_as_mcp_primary_reserve,0.12463551896096797,0.14063706268830897,0.09884738111904463,0.021481021828979676,0.15016760293204037,0.02227235759440873
congestion_price_da,日前阻塞价,58,50,8,rmpcp|net_inadv_interchange_mw|solar_generation_mw|wind_generation_mw|total_pjm_self_sched_reg|gen_fuel_wind_pct|da_as_ss_mw_primary_reserve|gen_fuel_wind_mw,0.0841751010425495,0.12605517655388038,0.09944302460792162,0.019489793232805287,0.15479487175238896,0.021954699290041124
congestion_price_rt,实时阻塞价,58,46,12,wind_generation_mw|net_inadv_interchange_mw|gross_sched_interchange_mw|gen_fuel_wind_mw|gen_fuel_wind_pct|rmpcp|da_as_as_mw_synchronized_reserve|da_as_as_mw_primary_reserve|gen_fuel_other_renewables_mw|total_pjm_rmpcp_cr|total_pjm_self_sched_reg|da_as_ss_mw_primary_reserve,0.10222616637549096,0.12732498647515292,0.09596997811515057,0.013156843311975613,0.13570703859048766,0.012408435832304936
marginal_loss_price_da,日前边际损耗价,58,44,14,da_as_as_mw_primary_reserve|wind_generation_mw|gross_sched_interchange_mw|gen_fuel_other_renewables_mw|net_inadv_interchange_mw|gen_fuel_wind_pct|gen_fuel_multiple_fuels_pct|gen_fuel_gas_pct|da_as_as_mw_synchronized_reserve|rmpcp|gen_fuel_wind_mw|total_pjm_rmpcp_cr|da_as_ss_mw_primary_reserve|total_pjm_self_sched_reg,0.16581659108336422,0.21460057834191268,0.15130264130460408,0.023360531834634626,0.19190608246377297,0.02910024428573773
total_lmp_da,日前总电价,58,48,10,da_as_ss_mw_primary_reserve|da_as_as_mw_primary_reserve|gen_fuel_wind_pct|gen_fuel_other_renewables_mw|wind_generation_mw|gen_fuel_wind_mw|total_pjm_self_sched_reg|net_inadv_interchange_mw|rmpcp|gross_sched_interchange_mw,0.1902561231764609,0.28933298105610067,0.2082292548632412,0.027634012789535728,0.2704366659030504,0.049990386347127755
da_as_total_mw_primary_reserve,日前主用备用总量,58,47,11,total_pjm_rmccp_cr|marginal_loss_price_rt|solar_generation_mw|net_inadv_interchange_mw|total_lmp_rt|congestion_price_rt|system_energy_price_rt|marginal_loss_price_da|gen_fuel_solar_pct|rmccp|total_pjm_loc_credit,0.10513835948221924,0.10865044308079184,0.0750226960911752,0.02388892220783273,0.12487338856060795,0.014207241370928776
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,58,44,14,net_inadv_interchange_mw|gross_actual_interchange_mw|total_pjm_loc_credit|da_as_ss_mw_primary_reserve|total_pjm_assigned_reg|total_pjm_self_sched_reg|total_losses|gen_fuel_wind_pct|gen_fuel_solar_pct|gen_fuel_wind_mw|gen_fuel_solar_mw|solar_generation_mw|wind_generation_mw|gross_inadv_interchange_mw,0.1805877185418181,0.18234141726595582,0.13628633930960046,0.028461448509289614,0.19906400686976122,0.026894617218003066
