area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_solar_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4551215,0.44152725,0.48443836,0.4640626,0.4658684,0.4570993,0.42651844,0.4585574,0.59055173,0.55337775,0.5845128,0.51494086,0.52666694,0.5687964,0.4464969,0.40499556,0.4409189,0.52006125,0.593873,0.5174674,0.5515519,0.5981814
0.4255303,0.41875038,0.47257575,0.43607864,0.44635895,0.44170642,0.39412984,0.41903573,0.6478407,0.56040853,0.59820956,0.5309488,0.56171304,0.5952727,0.40297753,0.37649724,0.42724022,0.54475945,0.65146005,0.515689,0.59841746,0.6476838
0.3929895,0.3940824,0.4598743,0.40012953,0.41485697,0.42486843,0.37912035,0.37422708,0.7040006,0.57236665,0.60731214,0.54500943,0.6067218,0.62176424,0.3647098,0.33534247,0.4127318,0.5764065,0.69893765,0.5352189,0.6377167,0.7116444
0.37367514,0.3510768,0.45685747,0.36178812,0.36554882,0.4014829,0.3459206,0.35390708,0.7565567,0.5792024,0.6231545,0.6014355,0.63768584,0.65626454,0.31984553,0.29368582,0.41083425,0.6041739,0.7470736,0.54884696,0.66905224,0.78108007
0.33616844,0.32275146,0.4455714,0.33016318,0.3375709,0.37956032,0.32449976,0.32149208,0.8119592,0.58796644,0.63595575,0.6497896,0.67638856,0.69359666,0.27664664,0.26049402,0.3887214,0.62806445,0.81422,0.5644801,0.69993675,0.8387191
0.31230485,0.29773232,0.4396686,0.28049272,0.29741922,0.35029554,0.2806709,0.2758653,0.8456841,0.5991249,0.64721614,0.6921992,0.7039965,0.7117183,0.23680471,0.22236954,0.3585658,0.65156883,0.8666975,0.5814552,0.7555372,0.9028775
0.26795626,0.27666867,0.44382033,0.22890836,0.26226673,0.324751,0.23549783,0.23688407,0.88812053,0.5944924,0.65582865,0.74841326,0.72990644,0.7485206,0.18640365,0.18488747,0.34055325,0.6668489,0.9290028,0.5873139,0.7878857,0.95423025
0.2274747,0.23379485,0.43048283,0.17369261,0.23032036,0.2963894,0.21559216,0.2093105,0.9257703,0.59427494,0.6673825,0.79886305,0.75488734,0.7721551,0.13730998,0.14715967,0.30960104,0.6779295,0.97400457,0.59812987,0.81614846,1.0051903
0.19233191,0.19242771,0.41820812,0.13078374,0.19064271,0.26270825,0.18502904,0.15695143,0.9557063,0.58521664,0.6730988,0.8353414,0.78618777,0.80508995,0.0856721,0.10303244,0.2783394,0.70421094,1.0258895,0.5956468,0.8482703,1.0439576
0.15551876,0.15634127,0.3968772,0.080207154,0.14585833,0.23474848,0.14934175,0.09604579,1.0037434,0.5742079,0.6911972,0.8814816,0.807816,0.8276842,0.016697062,0.062173743,0.25151584,0.7330516,1.0702369,0.6057922,0.8658202,1.085371
0.12017207,0.11663449,0.37031296,0.029916124,0.09933822,0.18287317,0.10577909,0.040421844,1.0465727,0.5721599,0.70287484,0.94684815,0.8390588,0.8680548,-0.06043607,0.02338402,0.20817527,0.7511163,1.113327,0.6166178,0.89985144,1.135667
0.07557234,0.09398201,0.37098497,-0.012947294,0.06534352,0.15125917,0.06023509,0.0053246995,1.0841652,0.5753935,0.7238254,0.97176343,0.8569807,0.8894298,-0.12409263,-0.0075964606,0.1809609,0.7525803,1.1754216,0.62385017,0.93874943,1.1705494
0.020771494,0.07302314,0.35213172,-0.0704945,0.021364186,0.109575324,0.026349004,-0.026423011,1.1204975,0.559012,0.7247621,1.0360966,0.8696312,0.91467357,-0.19775218,-0.048733555,0.15301238,0.7693908,1.2154207,0.6283464,0.9678156,1.2051891
-0.035888635,0.0321293,0.34137055,-0.12840568,-0.008604161,0.09229034,-0.022299625,-0.07213627,1.1572955,0.54314506,0.74116826,1.0800693,0.890197,0.9447326,-0.25470784,-0.08348802,0.1261783,0.7761182,1.2533029,0.64077294,1.0017546,1.2347736
-0.0816476,-0.010629381,0.32721972,-0.18195575,-0.04502212,0.052561227,-0.050893113,-0.10927736,1.1820338,0.522411,0.7755389,1.1178355,0.9132095,0.965506,-0.30639493,-0.123572305,0.086391054,0.78137714,1.283222,0.6395167,1.0311829,1.2743888
-0.12883559,-0.0651458,0.3240798,-0.2497936,-0.090346195,0.016263563,-0.09135197,-0.15175919,1.2125992,0.50249255,0.8032174,1.1697537,0.9368899,0.98297954,-0.36170125,-0.17608614,0.06820871,0.7912983,1.313846,0.62992346,1.0613209,1.3062384
-0.17961901,-0.10868121,0.32185504,-0.31144768,-0.12378526,-0.011673083,-0.13059053,-0.20944625,1.2496474,0.4766634,0.8285811,1.2022666,0.95811087,0.99382925,-0.40678796,-0.21011147,0.045960166,0.8026294,1.3473793,0.62340397,1.0872982,1.3362483
-0.22958893,-0.15630737,0.31551194,-0.3711141,-0.17220347,-0.04821439,-0.16957189,-0.24622932,1.2749364,0.46116447,0.86939484,1.2341334,0.9835241,1.0114492,-0.4526102,-0.25542572,0.010986677,0.80637604,1.3801806,0.61263645,1.1317456,1.3620687
-0.27647337,-0.20888583,0.3255431,-0.43196115,-0.22144064,-0.07337941,-0.20975114,-0.29086727,1.3198235,0.43259928,0.89284563,1.2561169,0.9982295,1.0352517,-0.5052739,-0.3018676,0.0036589166,0.80778855,1.4205279,0.61040235,1.1511241,1.3933032
-0.33010286,-0.25570711,0.30552834,-0.48168316,-0.27300057,-0.118123315,-0.25361663,-0.33051896,1.3449996,0.4091033,0.93594253,1.2887938,1.0093136,1.0603952,-0.5480862,-0.3368244,-0.0282747,0.81343573,1.4441038,0.6059036,1.1844497,1.4111824
-0.3797869,-0.30253106,0.30243677,-0.52169985,-0.31083116,-0.15018678,-0.2957436,-0.37723342,1.3702664,0.3931221,0.96586525,1.3114281,1.0338331,1.0922145,-0.58443755,-0.37702915,-0.061370734,0.83092636,1.504655,0.6164992,1.2235484,1.4375468
