total_gen,total_losses,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_inadv_interchange_mw
0.0,0.26859692,7.905704e-11,0.0,0.0,0.15753603,0.07496846,0.21222411,0.08835792,0.0,0.18588002,0.2509891,0.2520891,0.0,0.18690693,0.0,0.23744948,0.112894855,0.23986052,0.0,0.0,0.119102724,0.17126907,1e-45,0.17629708,0.0,0.13213986,0.107338056,0.08802875,0.15038829,0.0052495543,0.0,0.21424675,0.2108732,0.059970655,0.19390157,2.9252862e-05,0.26307496,0.23296438,0.34415045,0.36324906,0.0,0.22701882,0.18074298,0.12843697
0.0,0.26171458,1.5104085e-11,0.0,0.0,0.16102012,0.07331462,0.21001585,0.08514963,0.0,0.17218575,0.24629536,0.24693365,0.0,0.18501191,0.0,0.23075797,0.1225497,0.23455638,0.0,0.0,0.11898754,0.17523715,0.0,0.17620432,0.0,0.12975483,0.10302442,0.090718135,0.14912368,0.004149644,0.0,0.21024874,0.21395712,0.05412662,0.19001679,1.6128331e-05,0.2589813,0.22313727,0.34733108,0.36565274,0.0,0.22377723,0.19026044,0.12769
0.0,0.2672243,2.5436107e-12,0.0,0.0,0.15849069,0.07158329,0.21036144,0.0826325,0.0,0.17570025,0.2483373,0.2492747,0.0,0.18051496,0.0,0.23066837,0.11365602,0.23349054,0.0,0.0,0.12183518,0.16713978,0.0,0.17100747,0.0,0.1289101,0.10982578,0.093087934,0.15059544,0.0031985492,0.0,0.20658703,0.20788375,0.06015437,0.19170742,8.488447e-06,0.25781357,0.22313431,0.3379216,0.35724154,0.0,0.21996431,0.17769083,0.121230125
0.0,0.27328947,3.7379044e-13,0.0,0.0,0.15648884,0.07073648,0.20272131,0.081544794,0.0,0.17895138,0.24171247,0.24285737,0.0,0.18474016,0.0,0.235652,0.11375127,0.23195845,0.0,0.0,0.1150272,0.16322653,0.0,0.17309093,0.0,0.1255099,0.10593476,0.09092721,0.15087947,0.0024894467,0.0,0.20759785,0.20778574,0.05833287,0.18769056,4.2727866e-06,0.25285134,0.2253745,0.34015465,0.34936866,0.0,0.22163004,0.18082058,0.12042316
0.0,0.25890163,4.740894e-14,0.0,0.0,0.14911695,0.06829181,0.207287,0.0805132,0.0,0.17316835,0.23999502,0.24144992,0.0,0.18021746,0.0,0.23471652,0.116864264,0.2341515,0.0,0.0,0.10858455,0.1568975,0.0,0.17208992,0.0,0.12527329,0.09866358,0.091047294,0.14604394,0.0018130795,0.0,0.202867,0.20560701,0.05752374,0.18735354,2.0445289e-06,0.25929007,0.22284493,0.3343254,0.3540696,0.0,0.21571067,0.17581794,0.12144867
0.0,0.25363982,5.128079e-15,0.0,0.0,0.15202948,0.06482098,0.20471852,0.07769735,0.0,0.17136312,0.24059139,0.2390311,0.0,0.17359413,0.0,0.22675394,0.11318787,0.23322663,0.0,0.0,0.11124343,0.16036496,0.0,0.16866173,0.0,0.12677087,0.10250636,0.09137655,0.14153099,0.0013424743,0.0,0.20505013,0.20109269,0.058062214,0.18680729,9.238341e-07,0.24717352,0.22306992,0.33570296,0.34555075,0.0,0.2182031,0.18174036,0.1261156
0.0,0.25715023,4.6692554e-16,0.0,0.0,0.14845796,0.06491213,0.19776258,0.07716171,0.0,0.16761553,0.24087387,0.23572297,0.0,0.1801983,0.0,0.22546948,0.11217168,0.22627905,0.0,0.0,0.110427275,0.1521141,0.0,0.17387518,0.0,0.12778449,0.09846735,0.087438405,0.13882272,0.0009450845,0.0,0.20359604,0.20740145,0.05626594,0.18197864,3.9413231e-07,0.24161094,0.22004955,0.33109885,0.34910238,0.0,0.21154112,0.16993693,0.13312566
0.0,0.2543989,3.5281695e-17,0.0,0.0,0.1510662,0.062088564,0.20123045,0.07565878,0.0,0.17924602,0.23559211,0.23260447,0.0,0.17717598,0.0,0.22495188,0.1137755,0.23461679,0.0,0.0,0.10824944,0.15279143,0.0,0.17301896,0.0,0.12027983,0.098802745,0.08701037,0.13933964,0.00064814655,0.0,0.20936559,0.20519641,0.057686675,0.17788506,1.5769372e-07,0.23802611,0.2215231,0.32687476,0.340173,0.0,0.21344662,0.17510165,0.12660766
0.0,0.24870513,2.1781376e-18,0.0,0.0,0.14918329,0.06033055,0.19295208,0.07512643,0.0,0.1659014,0.23368193,0.23227721,0.0,0.17619994,0.0,0.22706021,0.11161173,0.22820075,0.0,0.0,0.10790081,0.15496927,0.0,0.17560136,0.0,0.12501717,0.09334819,0.089218594,0.14036593,0.0004319246,0.0,0.19900678,0.20508003,0.056403726,0.18079652,5.8953738e-08,0.23438443,0.2209298,0.31755233,0.33724305,0.0,0.21615121,0.16803655,0.12168603
0.0,0.24498382,1.0800033e-19,0.0,0.0,0.15066268,0.06044356,0.202092,0.07453363,0.0,0.166906,0.22971171,0.22695667,0.0,0.17515826,0.0,0.23122354,0.11566692,0.22322246,0.0,0.0,0.10645937,0.14863637,0.0,0.16924067,0.0,0.11819454,0.0903696,0.08388854,0.13410679,0.00028307995,0.0,0.2038378,0.1948921,0.061313245,0.17820956,2.046323e-08,0.23785198,0.22332883,0.3186292,0.33554673,0.0,0.21530876,0.1705175,0.120619886
0.0,0.24784486,4.2208575e-21,0.0,0.0,0.143219,0.05866073,0.19360214,0.07049641,0.0,0.16492333,0.23407114,0.23136881,0.0,0.17666024,0.0,0.22080508,0.10811167,0.21608147,0.0,0.0,0.10178746,0.15204807,0.0,0.16726102,0.0,0.11910669,0.08547715,0.08366692,0.13310695,0.00017656604,0.0,0.19842258,0.19814537,0.057838675,0.17633323,6.5610077e-09,0.23857258,0.21637832,0.31458408,0.33688545,0.0,0.21176223,0.17229335,0.11603463
