area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.796036,0.70795876,0.6921339,0.7550594,0.9084289,0.7657155,0.67694837,0.6911228,0.80634564,0.97091067,0.6705461,0.7040817,0.84232664,0.78060853,0.6678977,1.1289052,0.7739,0.8709967,0.7195674,1.0867206
0.7246116,0.55007166,0.50812113,0.5538408,0.85693157,0.5952627,0.54089856,0.46974623,0.54925394,0.8444766,0.4924486,0.5087744,0.79006386,0.66263175,0.46877313,1.1893517,0.607794,0.68739104,0.54271734,0.94634885
0.6561871,0.45182127,0.3733427,0.3928452,0.8049226,0.46586215,0.45710972,0.31192085,0.38563266,0.7209549,0.3566176,0.33848333,0.7365367,0.58569795,0.34000716,1.1670756,0.5139771,0.55197227,0.4185983,0.84273624
0.5860139,0.38208023,0.27307174,0.26746267,0.74526083,0.3604899,0.38353738,0.20242393,0.2629289,0.6381435,0.25220507,0.23057216,0.6825254,0.53232175,0.23979197,1.1373144,0.45035157,0.45192254,0.33349138,0.7838892
0.52590686,0.3291802,0.19730358,0.1816128,0.6982776,0.27761114,0.3248649,0.1326244,0.17760609,0.5653907,0.17415915,0.15536982,0.6348074,0.49000147,0.16421552,1.1057016,0.39706877,0.3695828,0.26666394,0.7301739
0.4710177,0.28895068,0.140123,0.121165335,0.6549457,0.21529199,0.27457994,0.08590158,0.11708585,0.5101586,0.11818511,0.10361853,0.59204787,0.46079636,0.10799208,1.0573239,0.36945528,0.3169265,0.21810357,0.69140613
0.42282036,0.25514743,0.097636685,0.07900283,0.61695355,0.16531342,0.23648098,0.0531347,0.07480953,0.4680914,0.077876076,0.06830551,0.55463403,0.43668368,0.0691608,1.0297753,0.34403646,0.27501294,0.1858844,0.6543319
0.37951443,0.23048165,0.06881157,0.051005527,0.58074045,0.12830348,0.20591481,0.031615846,0.045572497,0.42470375,0.048493817,0.04403833,0.51757777,0.42246953,0.04296626,0.99452174,0.32588512,0.24189192,0.16240449,0.61503136
0.34410006,0.20462586,0.04737974,0.031994626,0.55222994,0.097413614,0.18024309,0.018035837,0.026783723,0.39086065,0.0284066,0.027256712,0.48470482,0.40190634,0.02551515,0.96475863,0.32726446,0.2105816,0.1453206,0.5753038
