目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,DGatingDNN,0.9407313581066428,0.9619991833873299,24,area_1_load_actual_mw|gen_fuel_coal_mw|system_losses_mw|area_2_net_export_mw|gen_fuel_solar_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,STG,0.934816072155696,0.9619991833873299,24,area_1_load_actual_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,LassoNet,0.9127961384897773,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|area_3_net_export_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|area_3_load_actual_mw
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,XGBoost,0.9033421925692661,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|area_1_net_export_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,Lasso,0.9253820699162009,0.9619991833873299,24,system_losses_mw|gen_fuel_coal_mw|area_1_load_actual_mw|gen_fuel_natural_gas_mw|area_3_net_export_mw|gen_fuel_nuclear_mw
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,Pearson,0.8473109312916228,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|reserve_reg_up_mw|area_2_net_export_mw|reserve_reg_down_mw|area_1_net_export_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,DGatingDNN,0.9407313581066428,0.9619991833873299,24,area_1_load_actual_mw|gen_fuel_coal_mw|system_losses_mw|area_2_net_export_mw|gen_fuel_solar_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,STG,0.934816072155696,0.9619991833873299,24,area_1_load_actual_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,LassoNet,0.9127961384897773,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|area_3_net_export_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|area_3_load_actual_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,XGBoost,0.9033421925692661,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|area_1_net_export_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,Lasso,0.9253820699162009,0.9619991833873299,24,system_losses_mw|gen_fuel_coal_mw|area_1_load_actual_mw|gen_fuel_natural_gas_mw|area_3_net_export_mw|gen_fuel_nuclear_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,Pearson,0.8473109312916228,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|reserve_reg_up_mw|area_2_net_export_mw|reserve_reg_down_mw|area_1_net_export_mw
