目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
branch_ab3_loading_pct,线路AB3负载率,95%,7,DGatingDNN,DGatingDNN,0.9369212890579971,0.9606136728795094,36,area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|gen_fuel_wind_mw|area_3_fuel_solar_mw|reserve_spin_r3_mw|area_1_fuel_natural_gas_mw|area_2_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,95%,7,DGatingDNN,STG,0.9302883875617312,0.9606136728795094,36,area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|gen_fuel_coal_mw|area_2_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,95%,7,DGatingDNN,LassoNet,0.8730240091237012,0.9606136728795094,36,system_losses_mw|area_3_fuel_solar_mw|area_1_fuel_coal_mw|gen_fuel_wind_mw|area_2_fuel_solar_mw|gen_fuel_solar_mw|area_2_fuel_natural_gas_mw
branch_ab3_loading_pct,线路AB3负载率,95%,7,DGatingDNN,XGBoost,0.8816004074350512,0.9606136728795094,36,area_1_fuel_coal_mw|gen_fuel_solar_mw|area_3_fuel_solar_mw|system_losses_mw|reserve_spin_r1_mw|area_1_generation_mw|area_2_fuel_natural_gas_mw
branch_ab3_loading_pct,线路AB3负载率,95%,7,DGatingDNN,Lasso,0.7266929541351537,0.9606136728795094,36,area_1_generation_mw|system_losses_mw|area_2_fuel_coal_mw|area_1_load_actual_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,95%,7,DGatingDNN,Pearson,0.6428014325749177,0.9606136728795094,36,area_1_generation_mw|area_1_load_actual_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|area_2_generation_mw|system_generation_mw|reserve_spin_r2_mw
branch_ab3_loading_pct,线路AB3负载率,97%,7,DGatingDNN,DGatingDNN,0.9369212890579971,0.9606136728795094,36,area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|gen_fuel_wind_mw|area_3_fuel_solar_mw|reserve_spin_r3_mw|area_1_fuel_natural_gas_mw|area_2_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,97%,7,DGatingDNN,STG,0.9302883875617312,0.9606136728795094,36,area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|gen_fuel_coal_mw|area_2_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,97%,7,DGatingDNN,LassoNet,0.8730240091237012,0.9606136728795094,36,system_losses_mw|area_3_fuel_solar_mw|area_1_fuel_coal_mw|gen_fuel_wind_mw|area_2_fuel_solar_mw|gen_fuel_solar_mw|area_2_fuel_natural_gas_mw
branch_ab3_loading_pct,线路AB3负载率,97%,7,DGatingDNN,XGBoost,0.8816004074350512,0.9606136728795094,36,area_1_fuel_coal_mw|gen_fuel_solar_mw|area_3_fuel_solar_mw|system_losses_mw|reserve_spin_r1_mw|area_1_generation_mw|area_2_fuel_natural_gas_mw
branch_ab3_loading_pct,线路AB3负载率,97%,7,DGatingDNN,Lasso,0.7266929541351537,0.9606136728795094,36,area_1_generation_mw|system_losses_mw|area_2_fuel_coal_mw|area_1_load_actual_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,97%,7,DGatingDNN,Pearson,0.6428014325749177,0.9606136728795094,36,area_1_generation_mw|area_1_load_actual_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|area_2_generation_mw|system_generation_mw|reserve_spin_r2_mw
