index,role,name
0,center,da_as_total_mw_primary_reserve
1,feature,da_as_as_req_mw_primary_reserve
2,feature,da_as_as_req_mw_synchronized_reserve
3,feature,da_as_as_req_mw_thirty_minutes_reserve
4,feature,da_as_nsr_mw_primary_reserve
5,feature,da_as_total_mw_synchronized_reserve
6,feature,da_as_as_mw_synchronized_reserve
7,feature,da_as_total_mw_thirty_minutes_reserve
8,feature,da_as_as_mw_thirty_minutes_reserve
9,feature,gen_fuel_nuclear_mw
10,feature,net_sched_interchange_mw
11,feature,net_actual_interchange_mw
12,feature,da_as_mcp_primary_reserve
13,feature,gen_fuel_gas_mw
14,feature,total_gen
15,feature,metered_load_mw
16,feature,gen_fuel_coal_mw
17,feature,total_losses
18,feature,forecast_load_mw_day_ahead
19,feature,gen_fuel_gas_pct
20,feature,total_pjm_rt_load_mwh
21,feature,forecast_load_mw_latest_available
22,feature,prelim_load_avg_hourly
23,feature,gen_fuel_hydro_pct
24,feature,gen_fuel_coal_pct
25,feature,gross_sched_interchange_mw
26,feature,gen_fuel_multiple_fuels_pct
27,feature,total_pjm_rmpcp_cr
28,feature,gen_fuel_other_renewables_mw
29,feature,gen_fuel_nuclear_pct
30,feature,rmpcp
31,feature,congestion_price_da
32,feature,gen_fuel_other_renewables_pct
33,feature,gross_actual_interchange_mw
34,feature,gen_fuel_multiple_fuels_mw
35,feature,da_as_mcp_synchronized_reserve
36,feature,gen_fuel_storage_mw
37,feature,total_pjm_self_sched_reg
38,feature,gen_fuel_hydro_mw
39,feature,gross_inadv_interchange_mw
40,feature,da_as_ss_mw_synchronized_reserve
41,feature,gen_fuel_wind_pct
42,feature,total_pjm_loc_credit
43,feature,total_pjm_reg_purchases
44,feature,gen_fuel_oil_pct
45,feature,gen_fuel_oil_mw
46,feature,da_as_ss_mw_thirty_minutes_reserve
47,feature,gen_fuel_wind_mw
48,feature,wind_generation_mw
49,feature,total_pjm_rmccp_cr
50,feature,net_inadv_interchange_mw
51,feature,system_energy_price_da
52,feature,total_pjm_assigned_reg
53,feature,da_as_ss_mw_primary_reserve
54,feature,rmccp
55,feature,marginal_loss_price_rt
56,feature,total_lmp_rt
57,feature,gen_fuel_solar_mw
58,feature,total_lmp_da
59,feature,system_energy_price_rt
60,feature,solar_generation_mw
