solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.72317743,1.0107027,0.87960345,0.8736768,0.82210505,0.911908,1.0814301,0.7627194,0.8250579,0.9771807,0.8674906,0.85120463,1.068113,0.78248805,0.74465674,1.0340708,0.83215207,0.91202664,1.0308596,0.9741919,0.72739923,0.8880521,1.0321437,1.0496466,0.8026091,0.70117944,0.7350448,0.7207236,0.74452335,1.2544736,0.99151844,0.9149146,0.9533211,0.9098757
0.528877,0.9153021,0.9507094,0.81683445,0.66867316,0.90752083,1.0351796,0.62355494,0.7068926,0.9092613,0.8259004,0.7587406,1.0083692,0.6471975,0.5479583,1.0315937,0.7108528,0.80286247,0.96273637,0.92056644,0.546469,0.7894156,0.9186663,1.0027369,0.6602159,0.50144935,0.5987789,0.57888746,0.5727417,1.3363566,0.91824645,0.83120286,0.8641959,0.82587427
0.37825882,0.8036282,0.96259564,0.73065,0.59416926,0.87407464,0.99972034,0.52193344,0.61970663,0.8332737,0.76900303,0.6484471,0.9495958,0.5606369,0.38633204,1.0103769,0.60279584,0.72040904,0.86327946,0.8621667,0.43057683,0.72494256,0.80976784,0.9675643,0.5366909,0.36437222,0.49520004,0.53275585,0.46903798,1.3398273,0.8651062,0.7667275,0.8114147,0.7271798
0.27032396,0.6821887,0.964444,0.6595104,0.5452221,0.83950454,0.9556901,0.4408701,0.5248618,0.74043167,0.7270261,0.5586461,0.9059544,0.4751255,0.2721565,0.9908744,0.51071525,0.64563,0.77156067,0.7967001,0.35057336,0.6701829,0.75729585,0.9410825,0.46156698,0.2763079,0.440976,0.48286968,0.3804836,1.3399239,0.8257065,0.7143115,0.75175476,0.65690094
0.19430728,0.61689794,0.9651032,0.6050207,0.5070017,0.8280275,0.909388,0.39115295,0.44069332,0.67284685,0.69555444,0.50626856,0.8417963,0.41907573,0.19398196,1.002403,0.4455609,0.5360948,0.71517026,0.7218986,0.2906344,0.55955493,0.73477626,0.9640178,0.4051457,0.2043874,0.41331252,0.43417454,0.3162407,1.331464,0.7423431,0.6698815,0.72764754,0.6152073
0.1388604,0.534865,0.9538091,0.5744745,0.47414693,0.8227751,0.8890993,0.35682094,0.38470367,0.6170835,0.65891105,0.43780434,0.79384905,0.36318588,0.13584806,0.994692,0.37568098,0.4756454,0.6691526,0.6810812,0.2582134,0.50854236,0.67471516,0.9063744,0.35099092,0.15132919,0.385049,0.41214278,0.2682351,1.3213248,0.7257172,0.62371176,0.69602114,0.56419456
0.0983308,0.49620804,0.9468331,0.533594,0.46602625,0.8094544,0.8720254,0.33399278,0.3303209,0.5686704,0.635884,0.3859918,0.74927497,0.31516516,0.091845796,0.9809707,0.3160066,0.41986415,0.63503337,0.65659195,0.22315153,0.46238685,0.64570916,0.8765809,0.31435478,0.10931112,0.37119415,0.3906205,0.22567461,1.3176992,0.70940924,0.603216,0.68822074,0.53748465
0.06696341,0.44464722,0.9359213,0.4986542,0.4510948,0.8082852,0.8389707,0.31973377,0.27957216,0.52802706,0.60086614,0.3405765,0.7001614,0.2780976,0.06006744,0.96607137,0.2601636,0.37610286,0.5962358,0.6270242,0.19866101,0.41080907,0.6178786,0.85010207,0.27709347,0.074946575,0.3558741,0.38406333,0.18989265,1.2984483,0.677842,0.56855357,0.6577258,0.5189289
0.04425133,0.4066724,0.928165,0.47083908,0.4456407,0.79851854,0.81416255,0.30764768,0.23663363,0.4852487,0.5816387,0.304157,0.6302894,0.2485151,0.037231024,0.9502184,0.21485256,0.33828306,0.5602288,0.60097426,0.17504933,0.3685511,0.5989659,0.83012325,0.24271631,0.049462415,0.345504,0.3686884,0.15818922,1.2823881,0.65076923,0.54560626,0.64940125,0.49414602
0.02764278,0.38014963,0.9151683,0.44114923,0.44283757,0.7874038,0.8013718,0.2957294,0.20875777,0.46581802,0.5517792,0.27168038,0.58950496,0.22245751,0.021729525,0.9378061,0.17967516,0.30152068,0.53362167,0.56805706,0.16168782,0.3409219,0.5708708,0.8121084,0.21592575,0.031105338,0.3475875,0.35837585,0.13114421,1.274057,0.63064533,0.5176349,0.6292806,0.4931982
0.016413607,0.35031256,0.91191906,0.4273858,0.43979305,0.7798368,0.7592547,0.29174575,0.16906649,0.4323108,0.5291967,0.2433236,0.55134696,0.19766231,0.011741916,0.9120349,0.14604865,0.26522082,0.49153724,0.5507733,0.1443418,0.31335315,0.5675145,0.79965895,0.18570362,0.018655475,0.3335803,0.35377222,0.107311845,1.2367718,0.6033772,0.49154347,0.6175073,0.46203706
0.009221497,0.32710817,0.8913016,0.38578635,0.4478726,0.7743559,0.7448473,0.2860198,0.14339101,0.4047364,0.50302505,0.21547042,0.50635254,0.17759219,0.0058660535,0.90332997,0.11962185,0.23140453,0.47035497,0.513976,0.12875274,0.2775738,0.54840344,0.79353327,0.16122746,0.010561211,0.33384484,0.33997032,0.086248375,1.2305285,0.5772093,0.4694637,0.6064765,0.45422786
0.004864087,0.3058467,0.87981933,0.3670794,0.44812062,0.7463342,0.73355895,0.28373924,0.12232547,0.38821936,0.4786583,0.19376364,0.469649,0.15631069,0.002703861,0.8878516,0.09622088,0.20021519,0.4503692,0.4808484,0.11478644,0.25869176,0.5312352,0.7550177,0.14264888,0.005765316,0.34666607,0.3317803,0.06738874,1.2228028,0.5585653,0.4429942,0.58351845,0.4237837
0.0024176484,0.29498497,0.882592,0.34476423,0.4318664,0.7525365,0.7157688,0.28790835,0.102763444,0.36512786,0.45526424,0.17872661,0.42380598,0.13749255,0.0011470745,0.8710371,0.07719867,0.17551728,0.42755073,0.45993152,0.107360736,0.21461768,0.51816756,0.7429896,0.124573104,0.002922364,0.35788968,0.32828525,0.04859995,1.2056795,0.5218278,0.42367634,0.56965464,0.4130066
0.001116949,0.27734414,0.87311155,0.33128035,0.43241835,0.74849415,0.6917849,0.28484786,0.08652663,0.3461545,0.4448573,0.16340144,0.39317718,0.1264521,0.00044777401,0.8579792,0.0620197,0.15088175,0.40422577,0.4426373,0.09615908,0.19773015,0.50843114,0.7301552,0.10305369,0.0013811229,0.35494235,0.3249139,0.03608489,1.1833379,0.4982305,0.39997286,0.54767144,0.4008743
0.0004793478,0.26636046,0.8616316,0.30459765,0.4320579,0.73445016,0.67091644,0.27983725,0.07133248,0.3380784,0.41199842,0.14896676,0.3633798,0.111729346,0.00016026362,0.843759,0.047918204,0.13098314,0.38340628,0.44704682,0.08899092,0.17925291,0.48731294,0.7064578,0.086489245,0.0006161114,0.36277136,0.32599923,0.025156207,1.1716782,0.46055725,0.3643806,0.5232562,0.39589885
0.0001925094,0.24810797,0.8504985,0.29346353,0.4344068,0.73458844,0.66193235,0.2889746,0.059465453,0.31740198,0.39395157,0.13422988,0.33181185,0.10070695,5.2603795e-05,0.82807845,0.0371405,0.11389563,0.36087978,0.4266586,0.08042361,0.1715124,0.47188452,0.68241113,0.07091961,0.00025614156,0.36585832,0.32344612,0.017215684,1.1593169,0.4460668,0.34036863,0.5012487,0.3772288
7.119902e-05,0.23454756,0.84412104,0.27498785,0.4337269,0.7136011,0.6474649,0.2832332,0.048452646,0.3098633,0.3828721,0.12113129,0.30400506,0.090572625,1.566248e-05,0.81957126,0.028439334,0.09953242,0.3482943,0.41129935,0.073572636,0.15610127,0.45158386,0.64750046,0.05733647,9.87724e-05,0.37492594,0.31268063,0.011252199,1.1502346,0.4255123,0.3283186,0.49932244,0.36971727
2.4298392e-05,0.22218063,0.83421427,0.26236984,0.4273559,0.7050568,0.63912547,0.28579885,0.04061673,0.29223016,0.36871445,0.11010087,0.27677593,0.08057039,4.221114e-06,0.8081281,0.020967837,0.08913342,0.33140546,0.3991097,0.06531299,0.14043461,0.4306779,0.63885313,0.044893935,3.522705e-05,0.37248474,0.30609003,0.0070285057,1.1515865,0.39634502,0.31128955,0.494185,0.3587863
7.5986395e-06,0.21435307,0.8235854,0.2506866,0.4324716,0.69073504,0.61774385,0.27360693,0.03245459,0.28582904,0.3519309,0.1018463,0.2580669,0.073526286,1.0218436e-06,0.787323,0.0152902845,0.07694097,0.3103187,0.38620305,0.059867304,0.13222738,0.42524317,0.6350179,0.034721106,1.155991e-05,0.37430692,0.30692968,0.0040817293,1.1283102,0.37385878,0.288063,0.4793982,0.3583345
2.1640942e-06,0.20443814,0.80884904,0.24261272,0.4326112,0.6785327,0.60478485,0.27289325,0.025176363,0.2803924,0.34783632,0.092863776,0.2419178,0.06368908,2.2055816e-07,0.77671856,0.010967202,0.06468361,0.2978351,0.3846088,0.053023927,0.119492576,0.41222617,0.6214322,0.025922636,3.4679585e-06,0.37085578,0.30421853,0.0022225694,1.1208558,0.36244208,0.27729753,0.47040653,0.34836704
5.5753503e-07,0.19704914,0.7992894,0.22611588,0.43283933,0.68018,0.5935652,0.2656546,0.019058136,0.27419817,0.3330891,0.084505245,0.22144337,0.05818064,4.2086022e-08,0.767705,0.007625926,0.054486237,0.28522968,0.36108756,0.046400625,0.10917257,0.40745822,0.62632704,0.018938195,9.453304e-07,0.3715631,0.2998939,0.001152942,1.1107178,0.34175065,0.2578764,0.45111406,0.33444154
1.290026e-07,0.19107151,0.79171616,0.21562482,0.43327206,0.66951716,0.59423685,0.26174405,0.013624224,0.26946738,0.31913826,0.07906225,0.20582248,0.051922124,7.034205e-09,0.7530881,0.0051528774,0.044901904,0.2737389,0.34867117,0.041868698,0.09769884,0.38356543,0.6039977,0.013595483,2.3248452e-07,0.37903914,0.29647136,0.00056085066,1.1022555,0.32370177,0.23927376,0.44059774,0.32638186
2.6586926e-08,0.19016369,0.78812116,0.20739074,0.4241137,0.6578648,0.5797286,0.25503373,0.009470005,0.27322254,0.30685708,0.072870955,0.19195268,0.04561147,1.0193674e-09,0.7362319,0.0033776797,0.037558395,0.25989276,0.3393026,0.03624704,0.09050468,0.38079742,0.5909956,0.009318185,5.1178613e-08,0.3683931,0.29573378,0.000257405,1.0846506,0.30731833,0.22689232,0.43058422,0.33047625
