field,gate_seed_42,gate_seed_43,gate_seed_44,gate_mean,gate_std,selection_frequency,consensus_active
system_losses_mw,0.12975066900253296,0.11124402284622192,0.12877671420574188,0.12325713783502579,0.008503854274749756,3,1
gen_fuel_coal_mw,0.12933337688446045,0.10303965955972672,0.12295675277709961,0.11844325810670853,0.011198767460882664,3,1
gen_fuel_natural_gas_mw,0.09442966431379318,0.06913413852453232,0.08378157019615173,0.08244846016168594,0.01036978978663683,3,1
gen_fuel_wind_mw,0.0486358106136322,0.047765523195266724,0.05149584263563156,0.04929906129837036,0.0015934751136228442,3,1
area_2_net_export_mw,0.048861559480428696,0.04398380592465401,0.05367458611726761,0.0488399863243103,0.003956274129450321,3,1
area_3_net_export_mw,0.045685265213251114,0.041909441351890564,0.0466470867395401,0.04474726319313049,0.002044701250270009,3,1
gen_fuel_hydro_mw,0.03861643373966217,0.03759080171585083,0.04926488548517227,0.04182404279708862,0.005278106778860092,3,1
area_1_load_actual_mw,0.17742294073104858,0.00021161246695555747,0.19279831647872925,0.12347761541604996,0.08738795667886734,2,1
area_2_load_day_ahead_mw,0.020488973706960678,0.0,0.10100370645523071,0.0404975600540638,0.04359430447220802,2,1
reserve_spin_r3_mw,0.0,0.02285958081483841,0.02573387138545513,0.016197817400097847,0.011513537727296352,2,1
gen_fuel_nuclear_mw,0.009689616970717907,0.011132543906569481,0.011187690310180187,0.010669950395822525,0.000693565874826163,2,1
reserve_spin_r1_mw,7.53609072035033e-07,0.13564996421337128,0.0,0.04521690681576729,0.06394582986831665,1,0
area_2_load_actual_mw,2.3465520497397373e-16,0.087888702750206,0.0,0.029296234250068665,0.041431132704019547,1,0
reserve_spin_r2_mw,0.06368035823106766,0.0,0.0,0.021226786077022552,0.030019208788871765,1,0
area_1_load_day_ahead_mw,2.057879910921656e-08,0.03966410458087921,0.0,0.013221375644207,0.01869783364236355,1,0
area_3_load_day_ahead_mw,0.022903574630618095,0.0,0.0,0.007634524721652269,0.010796848684549332,1,0
reserve_reg_down_mw,0.006342494394630194,0.005547620356082916,0.006925063207745552,0.006271725986152887,0.0005645608180202544,0,0
area_3_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_load_day_ahead_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_generation_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_1_net_export_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_reg_up_mw,0.0,0.0,0.0,0.0,0.0,0,0
gen_fuel_solar_mw,0.0,0.0,0.0,0.0,0.0,0,0
