网络,轮次上限,实跑轮次,最佳轮次,验证损失,平均绝对偏差,中位绝对偏差,系统性偏差,相关系数,秩相关,差值平均绝对偏差,差值相关系数,差值符号一致率,耗时秒
384-256-192-128,1000,1000,926,0.12697505950927734,0.06771104171903022,0.04878589939073158,-0.02039434256777129,0.9793119501471025,0.9489808415711662,0.04945519631753386,0.918863064268143,0.55,43.3
384-256-192-128,1500,1077,926,0.12697505950927734,0.06771104171903022,0.04878589939073158,-0.02039434256777129,0.9793119501471025,0.9489808415711662,0.04945519631753386,0.918863064268143,0.55,46.5
256-192-128,1000,985,834,0.12950114905834198,0.06629733846045602,0.04904455124718349,-0.00440201554254938,0.9861091278665978,0.947126235674919,0.0534613425737195,0.9172404755637389,0.55,31.5
256-192-128,1500,985,834,0.12950114905834198,0.06629733846045602,0.04904455124718349,-0.00440201554254938,0.9861091278665978,0.947126235674919,0.0534613425737195,0.9172404755637389,0.55,32.1
128-96-64,1000,680,529,0.13164909183979034,0.07617340905705669,0.05438113780625786,-0.025924601299079957,0.976466333216944,0.9428571428571428,0.05471934537353089,0.901127465643466,0.6,14.8
128-96-64,200,200,187,0.15017069876194,0.13177025533652711,0.11517012875266297,-0.07804276095214795,0.9483728508709941,0.8712273641851106,0.06209410266922388,0.8551360558726956,0.6,4.3
64-48,200,200,186,0.16685006022453308,0.1144268324603523,0.11219043737358259,-0.09903280638088675,0.9759193981755495,0.9440118974717873,0.06333779669666666,0.9021605520480254,0.55,3.8
256-192-128,500,500,495,0.13611836731433868,0.07595799492629207,0.0455377108657577,-0.014708804331115146,0.9715247101016512,0.9429971131134633,0.06960221754972643,0.8919472535131323,0.65,16.1
128-96-64,500,500,482,0.1344584971666336,0.08188967627700666,0.056678977817965104,-0.03863333724204118,0.9647907776617415,0.9587437669495231,0.07313288941986708,0.8491156972357143,0.5,10.4
