epoch,train_r2,test_r2,n_active
1,0.7260200866508104,0.6895511649596369,49
2,0.7492969122367623,0.7227789597482429,49
3,0.7830165986063563,0.7574694567815731,49
4,0.8107438276366824,0.7802758571174969,49
5,0.820228176635174,0.7891945619265106,49
6,0.8278079543154134,0.8022040737229837,49
7,0.8272774690223771,0.7964053094112625,42
8,0.7957077310929825,0.7624709468449111,38
9,0.8334867348593729,0.8054689547840075,35
10,0.8432347658303678,0.8108525143457097,32
11,0.8476463460940327,0.8134103492366566,31
12,0.8491051187061947,0.8151856357823517,30
13,0.8526329081762829,0.8135858688599885,30
14,0.8568716013977975,0.8220455088642642,29
15,0.8626062815586883,0.8262873493700953,29
16,0.8581925876536857,0.8251619886687139,28
17,0.859851141633187,0.8246991072732894,27
18,0.8679930447094489,0.8299480390877438,26
19,0.865011035820828,0.8334011995051915,25
20,0.8704354548113487,0.8277809899440393,25
21,0.8677289908661444,0.8400544267292784,25
22,0.8708128441560755,0.8347616760019965,25
23,0.8753990084459394,0.847832260669151,25
24,0.8733613335404339,0.8382406089000402,24
25,0.8716784170187939,0.837045567077666,24
26,0.8784282570592377,0.8415307259437618,26
27,0.8833359361613432,0.8481054716443022,25
28,0.8875905723473391,0.8433385169374895,23
29,0.8915068599306138,0.8478981498970981,26
30,0.8850565273176311,0.8489371433040099,25
31,0.8963883676157391,0.8547805675538043,26
32,0.8916232357315823,0.8500402214414977,26
33,0.8894220546861563,0.8494664818303023,25
34,0.8879931296550317,0.8511318015615383,25
35,0.8989655710379808,0.8638447657229239,25
36,0.8963647216436788,0.8578396428286614,25
37,0.8995434745376659,0.8549863019866022,25
38,0.9066264919757865,0.8571649926540961,27
39,0.9061739269280177,0.8640609477468385,27
40,0.9006731927800975,0.8540185341675319,26
41,0.9073447357245465,0.8709118481637598,26
42,0.9115271074660004,0.8703380800025401,26
43,0.9115204466427692,0.8668055714488392,27
44,0.9152381014909594,0.8683073602954562,26
45,0.9144480680692175,0.869751212444258,27
46,0.9148888783931972,0.8687619666504987,27
47,0.9124863631925446,0.8768974945476689,27
48,0.9023161511104962,0.8664177395881469,26
49,0.912643727845363,0.8748673027475794,25
50,0.9151073572454461,0.8603899849878,26
51,0.923415396394424,0.8828479598861929,26
52,0.9189244997018817,0.8705454102862558,26
53,0.9227846976495223,0.8766406548631481,27
54,0.924449621675256,0.8777070593605102,26
55,0.9262863268380538,0.8858144452855455,26
56,0.9251154463986668,0.8807166485525555,25
57,0.9268069839625168,0.8853958624118855,26
58,0.9253455678972075,0.8779991891399652,26
59,0.9246232948588238,0.881599594670113,27
60,0.9175037775072845,0.8686828923207836,25
61,0.8500690130197549,0.8037266077955402,24
62,0.9094054738877017,0.8605859541401658,25
63,0.9294370549543498,0.8851451647146807,23
64,0.9291634576958515,0.8852684656804413,23
65,0.9345633627165982,0.8863250491235809,24
66,0.9306245809433075,0.881947193510051,25
67,0.9230531099100647,0.8756510448541921,24
68,0.9298386128173102,0.8888137992267735,25
69,0.9367554367430149,0.8878593355361212,24
70,0.9287353148073161,0.8790429205544344,25
71,0.93276883318373,0.8855301519518413,25
72,0.9294128369443939,0.8755483715527249,24
