epoch,train_r2,test_r2,n_active
1,0.66457205057989,0.6439045320611991,31
2,0.7530186151267594,0.7407833187676107,31
3,0.7941114202495139,0.782026443547333,31
4,0.7900173295444723,0.7748704088791928,31
5,0.8210756743072403,0.802868110358607,31
6,0.8316926792433479,0.8123997616968575,31
7,0.8414105355402015,0.8219359565207853,31
8,0.8399890609466873,0.8149159977093654,31
9,0.8511134373594984,0.826257050795076,29
10,0.851912956876443,0.8301915247243472,29
11,0.8487830191141941,0.8232394298318007,27
12,0.8637463181893914,0.8414766368606307,25
13,0.8586530510437183,0.8346660044589805,25
14,0.8616405400246626,0.8392466524256545,24
15,0.8702975239484372,0.8460733967377969,24
16,0.8713272802427582,0.8500566134711067,22
17,0.8674575435995981,0.8382130745365404,22
18,0.8731591563921556,0.8517722881250795,23
19,0.8706710683603403,0.8471433471769071,21
20,0.8784196527615034,0.8515886429664565,21
21,0.8793300526493325,0.8514478583955688,19
22,0.8723166070734656,0.83912006646338,20
23,0.878979326026056,0.8520351500535509,20
24,0.8778902481273266,0.8499586849257499,19
25,0.8878597198651617,0.8610640294024208,20
26,0.8842630153128204,0.8575104651692101,20
27,0.8912910416814903,0.8640404765750778,20
28,0.8903592221588792,0.8610672454273822,21
29,0.8911886215639008,0.8591289659590979,20
30,0.8897407986882437,0.856592515777577,19
31,0.8869517311253604,0.8587872893446606,18
32,0.883280523886887,0.8422675157497456,19
33,0.8775686353251035,0.8420486861875682,19
34,0.9009572930754105,0.8648930363848624,19
35,0.9031520012189875,0.8695748707362696,18
36,0.8988660289879021,0.8681990478821126,19
37,0.8992410833769475,0.8623186113814262,18
38,0.9057838354927736,0.8741759652598307,19
39,0.9003209383319464,0.8630819429163729,20
40,0.9037031699534606,0.8763167031827058,19
41,0.8926628853315652,0.8483627625505252,19
42,0.9039168610576901,0.8694477312302676,20
43,0.8996551751414295,0.8602046614668682,19
44,0.9113323559773896,0.8752422787613001,19
45,0.9055146525978914,0.8676317940256737,19
46,0.9140640080733508,0.8767479949488673,20
47,0.9135892302254826,0.8781218603439465,20
48,0.910961966674601,0.873562247264705,20
49,0.9167117111369097,0.8780435757377487,20
50,0.9062178465347127,0.8620540579007585,20
51,0.9141758251648728,0.8710218129282379,20
52,0.9116947191769172,0.8717568134904689,21
53,0.9147079994281997,0.8709321750506179,20
54,0.9167925465987988,0.8774003568718273,20
55,0.9148890843944877,0.8768223356728277,21
56,0.9141941518240373,0.8740746978641903,20
57,0.9151431024882969,0.8743117751428278,20
58,0.9139613403161108,0.8695078036916016,21
59,0.9173390076293906,0.877693200544329,20
60,0.9194264989932472,0.878090585351957,20
61,0.9229286783720972,0.8783040567174666,20
62,0.9170939399797549,0.8766634520089046,20
63,0.9226376374142073,0.8820278928560202,20
64,0.9229143392670975,0.8802957173729985,22
65,0.9194879547948189,0.8739514816794548,21
66,0.9177766985839684,0.8743331621241691,21
67,0.9262616027329827,0.8835370984343917,22
68,0.9260018391587743,0.875058001324285,21
69,0.9269522828398903,0.8807463818229722,21
70,0.9280305702444059,0.8784571080128254,21
71,0.9265566217554223,0.8837776360777919,22
72,0.9249229920319614,0.872477672188705,22
73,0.9248808683528005,0.876277834625816,22
