epoch,train_standardized_mse,validation_standardized_mse,validation_macro_r2,validation_median_r2
1,0.8264670531588401,0.4668096899986267,0.4295784352662068,0.4656594693660736
2,0.39928747850264834,0.26029661297798157,0.6758783690526452,0.7177698612213135
3,0.2753468251841054,0.20001371204853058,0.7412147954316206,0.7746577858924866
4,0.2035890364790397,0.15029533207416534,0.7958625023004035,0.8784963488578796
5,0.16020138013475346,0.1252841353416443,0.8230224197179499,0.9199597239494324
6,0.13591189742592455,0.1178065687417984,0.8316518478620221,0.9236627817153931
7,0.12436653667347107,0.10188217461109161,0.8535573402760734,0.9386276602745056
8,0.11306543466947105,0.09518547356128693,0.8610456260577054,0.9447060823440552
9,0.10379879271627325,0.0873233750462532,0.8734828365940444,0.9505783915519714
10,0.09479248994887457,0.08149902522563934,0.8676520871444487,0.9555746912956238
11,0.09195050905975492,0.07482434809207916,0.8848239565399331,0.9629344940185547
12,0.08383557466558612,0.06794969737529755,0.8949435642907317,0.9652048945426941
13,0.07823672824737385,0.06602983921766281,0.892634179810403,0.9679107069969177
14,0.07586941264070468,0.06204963102936745,0.9030661700477063,0.9680049419403076
15,0.07197438121307338,0.05660557374358177,0.9096387003509092,0.9700678586959839
16,0.06860887331714782,0.053609926253557205,0.9146432288935487,0.9690334796905518
17,0.06631237511549123,0.053021304309368134,0.9135188393189874,0.9707569479942322
18,0.06600423139764182,0.05182640999555588,0.9181310547069764,0.9735625982284546
19,0.06356712368425411,0.04858273267745972,0.921263381628923,0.9759820103645325
20,0.061130589381994636,0.04574725031852722,0.9251635628686824,0.9764312505722046
21,0.05786884939158669,0.04331141337752342,0.9267914895440491,0.9753651022911072
22,0.05585374346726423,0.043013181537389755,0.9307777757795763,0.9793621301651001
23,0.0549320263367585,0.040817487984895706,0.9324733193071795,0.9742428064346313
24,0.05333741904323025,0.04033864289522171,0.9328543247891145,0.9767692685127258
25,0.051753679946035865,0.04038888216018677,0.9350121418984843,0.9693225622177124
26,0.05177867023314294,0.0403459295630455,0.9285702856493668,0.9785346984863281
27,0.0519986279701442,0.03872762620449066,0.9369323719555224,0.9773874878883362
28,0.04939804388793087,0.03722632676362991,0.9381154441917446,0.979971170425415
29,0.049576346145030266,0.03604380786418915,0.9383222401981622,0.979375422000885
30,0.04732703394998803,0.03416913375258446,0.9429515838413172,0.9806278347969055
31,0.045407534770245825,0.03456329181790352,0.9420901905273048,0.9819220304489136
32,0.04615068321753107,0.033560872077941895,0.9436048926182197,0.9818530678749084
33,0.04723815150830408,0.03227881342172623,0.9453362474139307,0.9827800989151001
34,0.043294901715406134,0.0416812039911747,0.9195992644404022,0.9761197566986084
35,0.0498653492340715,0.03293712064623833,0.9438240790451077,0.9800253510475159
36,0.04294972067544929,0.03072080947458744,0.9488850510875944,0.9837532639503479
37,0.041491354544808824,0.02917110174894333,0.9496848015770526,0.9846913814544678
38,0.04022325429381898,0.028196221217513084,0.9515418134052569,0.9839776158332825
39,0.03938807337681194,0.028174007311463356,0.9529397317641218,0.9841321706771851
40,0.03902234423180912,0.033723779022693634,0.943365704740437,0.9837075471878052
41,0.040636992444349096,0.029190219938755035,0.9512372129190136,0.9807098507881165
42,0.03933430393999012,0.02924172207713127,0.9531776309013367,0.9780504703521729
