target_label,DNN_AllFeatures,ElasticNet,L1GateDNN,Lasso,NMI,Pearson,RandomForest,Spearman,XGBoost
congestion_price_da,0.9407544732093811,0.9953500628471375,0.9953500628471375,0.9953500628471375,0.17332786321640015,0.2578301429748535,0.9953500628471375,0.3458625078201294,0.2316361665725708
congestion_price_rt,0.7255069017410278,0.5912782549858093,0.6961325407028198,0.5624282956123352,0.6261767148971558,0.5851618647575378,0.6659987568855286,0.5886321067810059,0.6367721557617188
da_as_total_mw_primary_reserve,0.8494500517845154,0.35084205865859985,0.8718720078468323,0.2814188599586487,0.7463006973266602,0.7081348299980164,0.8163279294967651,0.7081348299980164,0.8176724910736084
da_as_total_mw_thirty_minutes_reserve,0.8967359662055969,0.8670496344566345,0.8923580646514893,0.7827049493789673,0.7947207093238831,0.8322475552558899,0.8684400320053101,0.8306808471679688,0.8625688552856445
gross_actual_interchange_mw,0.8499119877815247,0.7904454469680786,0.8364913463592529,0.7279045581817627,0.7139093279838562,0.775285005569458,0.8045847415924072,0.7642793655395508,0.7769606113433838
marginal_loss_price_da,0.8936111927032471,0.8396004438400269,0.8490232229232788,0.8546152710914612,0.7660004496574402,0.7752143740653992,0.8532971143722534,0.8159937858581543,0.8524096608161926
metered_load_mw,0.9157376885414124,0.837892472743988,0.8897529244422913,0.8660092353820801,0.7318519353866577,0.8272026181221008,0.8771283626556396,0.8497069478034973,0.872900128364563
net_actual_interchange_mw,0.967963695526123,0.9245570302009583,0.9395973682403564,0.924821138381958,0.6973661780357361,0.7630340456962585,0.8705075979232788,0.7941582202911377,0.8121622800827026
net_sched_interchange_mw,0.9691498875617981,0.8647462725639343,0.9288196563720703,0.8599040508270264,0.508677065372467,0.7552587389945984,0.8466688990592957,0.7496001720428467,0.8079473972320557
total_gen,0.9252952337265015,0.8598896265029907,0.8940691947937012,0.8785281777381897,0.6806048154830933,0.8231605291366577,0.8816012144088745,0.8439655303955078,0.8805329203605652
total_lmp_da,0.9622096419334412,0.913907527923584,0.9280372858047485,0.912043035030365,0.8893430233001709,0.8958858251571655,0.8942825198173523,0.8974617123603821,0.8982495665550232
total_losses,0.9412600994110107,0.9025256633758545,0.9290541410446167,0.9145732522010803,0.8820503354072571,0.9045218825340271,0.9008054733276367,0.9144430160522461,0.9082823991775513
