tau,平均选中数,最少,最多,与目标字段数之差
0.3,22.666666666666668,13,33,0.9375
0.2,29.583333333333332,20,39,7.854166666666664
0.12,35.75,28,43,14.020833333333332
0.08,39.0,32,45,17.270833333333332
0.05,42.083333333333336,37,47,20.354166666666668
0.02,45.0,37,48,23.270833333333332
