tau,平均选中数,最少,最多,与目标字段数之差
0.02,20.0,2,48,1.7291666666666679
0.05,10.75,2,40,10.979166666666668
0.08,7.5,2,29,14.229166666666668
0.12,5.25,1,20,16.479166666666668
0.2,3.25,1,13,18.479166666666668
0.3,2.5,1,7,19.229166666666668
