epoch,feature_index,feature,gate_type,path,value
1,20,system_energy_price_da,increment,3,0.4618408679962158
1,21,gen_fuel_multiple_fuels_pct,base,0,0.5664205551147461
1,21,gen_fuel_multiple_fuels_pct,increment,1,0.5040741562843323
1,21,gen_fuel_multiple_fuels_pct,increment,2,0.504074215888977
1,21,gen_fuel_multiple_fuels_pct,increment,3,0.504074215888977
1,22,gen_fuel_multiple_fuels_mw,base,0,0.570369303226471
1,22,gen_fuel_multiple_fuels_mw,increment,1,0.42846861481666565
1,22,gen_fuel_multiple_fuels_mw,increment,2,0.42846861481666565
1,22,gen_fuel_multiple_fuels_mw,increment,3,0.42846861481666565
1,23,marginal_loss_price_rt,base,0,0.5567888021469116
1,23,marginal_loss_price_rt,increment,1,0.42438197135925293
1,23,marginal_loss_price_rt,increment,2,0.42438197135925293
1,23,marginal_loss_price_rt,increment,3,0.42438197135925293
1,24,gen_fuel_gas_pct,base,0,0.5868139266967773
1,24,gen_fuel_gas_pct,increment,1,0.44664472341537476
1,24,gen_fuel_gas_pct,increment,2,0.44664472341537476
1,24,gen_fuel_gas_pct,increment,3,0.44664472341537476
1,25,marginal_loss_price_da,base,0,0.6097862720489502
1,25,marginal_loss_price_da,increment,1,0.4715513586997986
1,25,marginal_loss_price_da,increment,2,0.4715513586997986
1,25,marginal_loss_price_da,increment,3,0.4715513586997986
1,26,total_lmp_rt,base,0,0.5623967051506042
1,26,total_lmp_rt,increment,1,0.40874677896499634
1,26,total_lmp_rt,increment,2,0.40874674916267395
1,26,total_lmp_rt,increment,3,0.40874674916267395
1,27,rmccp,base,0,0.5488079786300659
1,27,rmccp,increment,1,0.40725240111351013
1,27,rmccp,increment,2,0.40725240111351013
1,27,rmccp,increment,3,0.40725240111351013
1,28,system_energy_price_rt,base,0,0.5915182828903198
1,28,system_energy_price_rt,increment,1,0.42767852544784546
1,28,system_energy_price_rt,increment,2,0.42767852544784546
1,28,system_energy_price_rt,increment,3,0.42767852544784546
1,29,rmpcp,base,0,0.580286979675293
1,29,rmpcp,increment,1,0.4228942394256592
1,29,rmpcp,increment,2,0.4228942394256592
1,29,rmpcp,increment,3,0.4228942394256592
1,30,gen_fuel_wind_pct,base,0,0.5813296437263489
1,30,gen_fuel_wind_pct,increment,1,0.4250660240650177
1,30,gen_fuel_wind_pct,increment,2,0.4250660240650177
1,30,gen_fuel_wind_pct,increment,3,0.4250660240650177
1,31,gen_fuel_coal_mw,base,0,0.5902209877967834
1,31,gen_fuel_coal_mw,increment,1,0.47297579050064087
1,31,gen_fuel_coal_mw,increment,2,0.47297579050064087
1,31,gen_fuel_coal_mw,increment,3,0.47297585010528564
1,32,wind_generation_mw,base,0,0.6012781262397766
1,32,wind_generation_mw,increment,1,0.45011278986930847
1,32,wind_generation_mw,increment,2,0.45011278986930847
1,32,wind_generation_mw,increment,3,0.45011278986930847
1,33,gross_inadv_interchange_mw,base,0,0.5890938639640808
1,33,gross_inadv_interchange_mw,increment,1,0.4437369704246521
1,33,gross_inadv_interchange_mw,increment,2,0.4437369704246521
1,33,gross_inadv_interchange_mw,increment,3,0.4437369704246521
1,34,gen_fuel_oil_mw,base,0,0.591376543045044
1,34,gen_fuel_oil_mw,increment,1,0.440752774477005
1,34,gen_fuel_oil_mw,increment,2,0.440752774477005
1,34,gen_fuel_oil_mw,increment,3,0.440752774477005
1,35,da_as_mcp_primary_reserve,base,0,0.5558217167854309
1,35,da_as_mcp_primary_reserve,increment,1,0.4169764220714569
1,35,da_as_mcp_primary_reserve,increment,2,0.4169764220714569
1,35,da_as_mcp_primary_reserve,increment,3,0.4169764220714569
1,36,total_pjm_rt_load_mwh,base,0,0.5795012712478638
1,36,total_pjm_rt_load_mwh,increment,1,0.4343400299549103
1,36,total_pjm_rt_load_mwh,increment,2,0.4343400299549103
1,36,total_pjm_rt_load_mwh,increment,3,0.4343400299549103
1,37,metered_load_mw,base,0,0.5610836148262024
1,37,metered_load_mw,increment,1,0.41152727603912354
1,37,metered_load_mw,increment,2,0.41152727603912354
1,37,metered_load_mw,increment,3,0.41152727603912354
1,38,forecast_load_mw_latest_available,base,0,0.561711847782135
1,38,forecast_load_mw_latest_available,increment,1,0.40578389167785645
1,38,forecast_load_mw_latest_available,increment,2,0.40578389167785645
1,38,forecast_load_mw_latest_available,increment,3,0.40578389167785645
1,39,prelim_load_avg_hourly,base,0,0.5576884746551514
1,39,prelim_load_avg_hourly,increment,1,0.41066789627075195
1,39,prelim_load_avg_hourly,increment,2,0.41066789627075195
1,39,prelim_load_avg_hourly,increment,3,0.41066789627075195
1,40,gross_actual_interchange_mw,base,0,0.5833778977394104
1,40,gross_actual_interchange_mw,increment,1,0.4148160219192505
1,40,gross_actual_interchange_mw,increment,2,0.4148160219192505
1,40,gross_actual_interchange_mw,increment,3,0.4148160219192505
1,41,gen_fuel_hydro_mw,base,0,0.5964800715446472
1,41,gen_fuel_hydro_mw,increment,1,0.41751641035079956
1,41,gen_fuel_hydro_mw,increment,2,0.41751641035079956
1,41,gen_fuel_hydro_mw,increment,3,0.41751641035079956
1,42,total_pjm_loc_credit,base,0,0.5875998139381409
1,42,total_pjm_loc_credit,increment,1,0.40979281067848206
1,42,total_pjm_loc_credit,increment,2,0.40979281067848206
1,42,total_pjm_loc_credit,increment,3,0.40979281067848206
1,43,total_losses,base,0,0.6257580518722534
1,43,total_losses,increment,1,0.5450480580329895
1,43,total_losses,increment,2,0.5450480580329895
1,43,total_losses,increment,3,0.5450480580329895
1,44,net_inadv_interchange_mw,base,0,0.585250198841095
1,44,net_inadv_interchange_mw,increment,1,0.41117653250694275
1,44,net_inadv_interchange_mw,increment,2,0.41117653250694275
1,44,net_inadv_interchange_mw,increment,3,0.41117653250694275
1,45,da_as_nsr_mw_primary_reserve,base,0,0.5698584318161011
1,45,da_as_nsr_mw_primary_reserve,increment,1,0.4142088294029236
1,45,da_as_nsr_mw_primary_reserve,increment,2,0.4142088294029236
1,45,da_as_nsr_mw_primary_reserve,increment,3,0.4142088294029236
1,46,total_pjm_self_sched_reg,base,0,0.5931265950202942
1,46,total_pjm_self_sched_reg,increment,1,0.4120141565799713
1,46,total_pjm_self_sched_reg,increment,2,0.4120141565799713
1,46,total_pjm_self_sched_reg,increment,3,0.4120141565799713
1,47,da_as_ss_mw_synchronized_reserve,base,0,0.5597369074821472
1,47,da_as_ss_mw_synchronized_reserve,increment,1,0.4184568524360657
1,47,da_as_ss_mw_synchronized_reserve,increment,2,0.4184568524360657
1,47,da_as_ss_mw_synchronized_reserve,increment,3,0.4184568524360657
1,48,da_as_ss_mw_thirty_minutes_reserve,base,0,0.558839738368988
1,48,da_as_ss_mw_thirty_minutes_reserve,increment,1,0.42729440331459045
1,48,da_as_ss_mw_thirty_minutes_reserve,increment,2,0.42729440331459045
1,48,da_as_ss_mw_thirty_minutes_reserve,increment,3,0.42729440331459045
1,49,da_as_ss_mw_primary_reserve,base,0,0.5769494771957397
1,49,da_as_ss_mw_primary_reserve,increment,1,0.4085780680179596
1,49,da_as_ss_mw_primary_reserve,increment,2,0.40857812762260437
1,49,da_as_ss_mw_primary_reserve,increment,3,0.40857812762260437
1,50,gen_fuel_solar_mw,base,0,0.5800745487213135
1,50,gen_fuel_solar_mw,increment,1,0.44017624855041504
1,50,gen_fuel_solar_mw,increment,2,0.44017624855041504
1,50,gen_fuel_solar_mw,increment,3,0.44017624855041504
1,51,gen_fuel_coal_pct,base,0,0.5596927404403687
1,51,gen_fuel_coal_pct,increment,1,0.41990894079208374
1,51,gen_fuel_coal_pct,increment,2,0.41990894079208374
1,51,gen_fuel_coal_pct,increment,3,0.41990897059440613
1,52,congestion_price_rt,base,0,0.5705991983413696
1,52,congestion_price_rt,increment,1,0.4222964942455292
1,52,congestion_price_rt,increment,2,0.4222964942455292
1,52,congestion_price_rt,increment,3,0.4222964942455292
1,53,da_as_mcp_synchronized_reserve,base,0,0.56880122423172
1,53,da_as_mcp_synchronized_reserve,increment,1,0.40752431750297546
1,53,da_as_mcp_synchronized_reserve,increment,2,0.40752431750297546
1,53,da_as_mcp_synchronized_reserve,increment,3,0.40752431750297546
1,54,congestion_price_da,base,0,0.5847881436347961
1,54,congestion_price_da,increment,1,0.4179590940475464
1,54,congestion_price_da,increment,2,0.4179590940475464
1,54,congestion_price_da,increment,3,0.4179590940475464
2,0,da_as_as_mw_thirty_minutes_reserve,base,0,0.6117099523544312
2,0,da_as_as_mw_thirty_minutes_reserve,increment,1,0.38579338788986206
2,0,da_as_as_mw_thirty_minutes_reserve,increment,2,0.38579338788986206
2,0,da_as_as_mw_thirty_minutes_reserve,increment,3,0.38579338788986206
2,1,da_as_total_mw_thirty_minutes_reserve,base,0,0.5913088917732239
2,1,da_as_total_mw_thirty_minutes_reserve,increment,1,0.3921473026275635
2,1,da_as_total_mw_thirty_minutes_reserve,increment,2,0.3921473026275635
2,1,da_as_total_mw_thirty_minutes_reserve,increment,3,0.3921473026275635
2,2,gross_sched_interchange_mw,base,0,0.6427404880523682
2,2,gross_sched_interchange_mw,increment,1,0.5736090540885925
2,2,gross_sched_interchange_mw,increment,2,0.5736090540885925
2,2,gross_sched_interchange_mw,increment,3,0.5736090540885925
2,3,gen_fuel_nuclear_mw,base,0,0.5804122090339661
2,3,gen_fuel_nuclear_mw,increment,1,0.4253711700439453
2,3,gen_fuel_nuclear_mw,increment,2,0.4253711402416229
2,3,gen_fuel_nuclear_mw,increment,3,0.4253711402416229
2,4,gen_fuel_gas_mw,base,0,0.6295090913772583
2,4,gen_fuel_gas_mw,increment,1,0.5280753970146179
2,4,gen_fuel_gas_mw,increment,2,0.5280753970146179
2,4,gen_fuel_gas_mw,increment,3,0.5280753970146179
2,5,da_as_as_req_mw_thirty_minutes_reserve,base,0,0.5992466807365417
2,5,da_as_as_req_mw_thirty_minutes_reserve,increment,1,0.3973499834537506
2,5,da_as_as_req_mw_thirty_minutes_reserve,increment,2,0.3973499834537506
2,5,da_as_as_req_mw_thirty_minutes_reserve,increment,3,0.3973499834537506
2,6,da_as_as_req_mw_primary_reserve,base,0,0.6000219583511353
2,6,da_as_as_req_mw_primary_reserve,increment,1,0.38190847635269165
2,6,da_as_as_req_mw_primary_reserve,increment,2,0.38190847635269165
2,6,da_as_as_req_mw_primary_reserve,increment,3,0.38190847635269165
2,7,da_as_as_req_mw_synchronized_reserve,base,0,0.5804523825645447
2,7,da_as_as_req_mw_synchronized_reserve,increment,1,0.3767874240875244
2,7,da_as_as_req_mw_synchronized_reserve,increment,2,0.3767874240875244
2,7,da_as_as_req_mw_synchronized_reserve,increment,3,0.3767874240875244
2,8,total_pjm_assigned_reg,base,0,0.5909759998321533
2,8,total_pjm_assigned_reg,increment,1,0.41136232018470764
2,8,total_pjm_assigned_reg,increment,2,0.41136232018470764
2,8,total_pjm_assigned_reg,increment,3,0.41136232018470764
2,9,da_as_as_mw_primary_reserve,base,0,0.5709027647972107
2,9,da_as_as_mw_primary_reserve,increment,1,0.39470919966697693
2,9,da_as_as_mw_primary_reserve,increment,2,0.39470919966697693
2,9,da_as_as_mw_primary_reserve,increment,3,0.39470919966697693
2,10,da_as_total_mw_primary_reserve,base,0,0.6012842655181885
2,10,da_as_total_mw_primary_reserve,increment,1,0.3551962375640869
2,10,da_as_total_mw_primary_reserve,increment,2,0.3551962673664093
2,10,da_as_total_mw_primary_reserve,increment,3,0.3551962375640869
2,11,da_as_as_mw_synchronized_reserve,base,0,0.6030339002609253
2,11,da_as_as_mw_synchronized_reserve,increment,1,0.3783787190914154
2,11,da_as_as_mw_synchronized_reserve,increment,2,0.3783787190914154
2,11,da_as_as_mw_synchronized_reserve,increment,3,0.3783787190914154
2,12,total_pjm_reg_purchases,base,0,0.5991213917732239
2,12,total_pjm_reg_purchases,increment,1,0.39574921131134033
2,12,total_pjm_reg_purchases,increment,2,0.39574921131134033
2,12,total_pjm_reg_purchases,increment,3,0.39574915170669556
2,13,gen_fuel_other_renewables_mw,base,0,0.6415406465530396
2,13,gen_fuel_other_renewables_mw,increment,1,0.38819634914398193
2,13,gen_fuel_other_renewables_mw,increment,2,0.38819634914398193
2,13,gen_fuel_other_renewables_mw,increment,3,0.38819634914398193
2,14,total_lmp_da,base,0,0.6255521178245544
2,14,total_lmp_da,increment,1,0.39561960101127625
2,14,total_lmp_da,increment,2,0.39561960101127625
2,14,total_lmp_da,increment,3,0.39561960101127625
2,15,total_pjm_rmpcp_cr,base,0,0.5856183171272278
2,15,total_pjm_rmpcp_cr,increment,1,0.38757795095443726
2,15,total_pjm_rmpcp_cr,increment,2,0.38757795095443726
2,15,total_pjm_rmpcp_cr,increment,3,0.38757792115211487
2,16,forecast_load_mw_day_ahead,base,0,0.6184484362602234
2,16,forecast_load_mw_day_ahead,increment,1,0.3658984303474426
2,16,forecast_load_mw_day_ahead,increment,2,0.365898460149765
2,16,forecast_load_mw_day_ahead,increment,3,0.3658984899520874
2,17,total_pjm_rmccp_cr,base,0,0.5875973105430603
2,17,total_pjm_rmccp_cr,increment,1,0.34397393465042114
2,17,total_pjm_rmccp_cr,increment,2,0.34397396445274353
2,17,total_pjm_rmccp_cr,increment,3,0.34397393465042114
2,18,gen_fuel_wind_mw,base,0,0.5738235116004944
2,18,gen_fuel_wind_mw,increment,1,0.34936320781707764
2,18,gen_fuel_wind_mw,increment,2,0.34936317801475525
2,18,gen_fuel_wind_mw,increment,3,0.34936317801475525
2,19,da_as_total_mw_synchronized_reserve,base,0,0.5844674706459045
2,19,da_as_total_mw_synchronized_reserve,increment,1,0.37123820185661316
2,19,da_as_total_mw_synchronized_reserve,increment,2,0.37123820185661316
2,19,da_as_total_mw_synchronized_reserve,increment,3,0.37123820185661316
2,20,system_energy_price_da,base,0,0.6400776505470276
2,20,system_energy_price_da,increment,1,0.4402080774307251
2,20,system_energy_price_da,increment,2,0.4402081370353699
2,20,system_energy_price_da,increment,3,0.4402080774307251
2,21,gen_fuel_multiple_fuels_pct,base,0,0.567866861820221
2,21,gen_fuel_multiple_fuels_pct,increment,1,0.45242592692375183
2,21,gen_fuel_multiple_fuels_pct,increment,2,0.45242592692375183
2,21,gen_fuel_multiple_fuels_pct,increment,3,0.45242592692375183
2,22,gen_fuel_multiple_fuels_mw,base,0,0.565641462802887
2,22,gen_fuel_multiple_fuels_mw,increment,1,0.3633333444595337
2,22,gen_fuel_multiple_fuels_mw,increment,2,0.3633333444595337
2,22,gen_fuel_multiple_fuels_mw,increment,3,0.3633333444595337
2,23,marginal_loss_price_rt,base,0,0.5665467381477356
2,23,marginal_loss_price_rt,increment,1,0.40305933356285095
2,23,marginal_loss_price_rt,increment,2,0.40305933356285095
2,23,marginal_loss_price_rt,increment,3,0.40305933356285095
2,24,gen_fuel_gas_pct,base,0,0.6155438423156738
2,24,gen_fuel_gas_pct,increment,1,0.41651007533073425
2,24,gen_fuel_gas_pct,increment,2,0.41651007533073425
2,24,gen_fuel_gas_pct,increment,3,0.41651007533073425
2,25,marginal_loss_price_da,base,0,0.6455010771751404
2,25,marginal_loss_price_da,increment,1,0.4580707848072052
2,25,marginal_loss_price_da,increment,2,0.4580707848072052
2,25,marginal_loss_price_da,increment,3,0.4580707848072052
2,26,total_lmp_rt,base,0,0.5797553062438965
2,26,total_lmp_rt,increment,1,0.3497060239315033
2,26,total_lmp_rt,increment,2,0.3497060239315033
2,26,total_lmp_rt,increment,3,0.3497060239315033
2,27,rmccp,base,0,0.5721989870071411
2,27,rmccp,increment,1,0.35070154070854187
2,27,rmccp,increment,2,0.35070154070854187
2,27,rmccp,increment,3,0.35070154070854187
2,28,system_energy_price_rt,base,0,0.5985451340675354
2,28,system_energy_price_rt,increment,1,0.4020332098007202
2,28,system_energy_price_rt,increment,2,0.4020332098007202
2,28,system_energy_price_rt,increment,3,0.4020332098007202
2,29,rmpcp,base,0,0.6120849251747131
2,29,rmpcp,increment,1,0.3575650453567505
2,29,rmpcp,increment,2,0.3575650453567505
2,29,rmpcp,increment,3,0.3575650453567505
2,30,gen_fuel_wind_pct,base,0,0.597635805606842
2,30,gen_fuel_wind_pct,increment,1,0.3530607521533966
2,30,gen_fuel_wind_pct,increment,2,0.3530607521533966
2,30,gen_fuel_wind_pct,increment,3,0.353060781955719
2,31,gen_fuel_coal_mw,base,0,0.6501264572143555
2,31,gen_fuel_coal_mw,increment,1,0.4966122806072235
2,31,gen_fuel_coal_mw,increment,2,0.4966122806072235
2,31,gen_fuel_coal_mw,increment,3,0.4966122806072235
2,32,wind_generation_mw,base,0,0.6325129270553589
2,32,wind_generation_mw,increment,1,0.4146920442581177
2,32,wind_generation_mw,increment,2,0.4146920442581177
