epoch,train_base_mse,train_base_r2,train_path1_mse,train_path1_r2,train_path2_mse,train_path2_r2,train_path3_mse,train_path3_r2,test_base_mse,test_base_r2,test_path1_mse,test_path1_r2,test_path2_mse,test_path2_r2,test_path3_mse,test_path3_r2,base_active_0p5,inc1_active_0p5,inc2_active_0p5,inc3_active_0p5
1,0.3580602484120839,0.6419396996498108,0.2959853232895755,0.7040146589279175,0.29598531945346424,0.7040146589279175,0.29598531689605667,0.7040146589279175,0.3512304731894557,0.6292538642883301,0.29745187710334614,0.68602055311203,0.2974518776712258,0.68602055311203,0.2974518805106239,0.68602055311203,55,0,0,0
2,0.23246185374705505,0.7675381302833557,0.20181601462725188,0.7981839776039124,0.20181601526660378,0.7981839776039124,0.20181601505348648,0.7981839776039124,0.22875124052530382,0.7585384845733643,0.20240585144790935,0.7863476872444153,0.20240585371942782,0.7863476872444153,0.20240585158420046,0.7863476872444153,55,0,0,0
3,0.19171564192045834,0.808284342288971,0.15542776815019246,0.8445722460746765,0.1554277670135669,0.8445722460746765,0.15542776729772328,0.8445722460746765,0.19861853513412359,0.7903454303741455,0.16774820135452034,0.8229310512542725,0.16774819781095152,0.8229310512542725,0.16774820093428944,0.8229310512542725,55,0,0,0
4,0.16163525575222085,0.8383647203445435,0.12217153058672206,0.8778284788131714,0.12217153079983935,0.8778284788131714,0.12217153154574988,0.8778284788131714,0.16893369132062283,0.8216797113418579,0.13213779525149885,0.8605201244354248,0.13213779837483677,0.8605201244354248,0.13213779780695714,0.8605201244354248,55,0,0,0
5,0.14230554930234937,0.8576944470405579,0.10563505535574472,0.8943649530410767,0.1056350560661357,0.8943649530410767,0.10563505451180023,0.8943649530410767,0.15293398293916408,0.8385684490203857,0.11777490444435942,0.8756811022758484,0.11777490259307187,0.8756811022758484,0.11777490401277091,0.8756810426712036,55,0,0,0
6,0.11720706153203521,0.8827929496765137,0.08744416720341126,0.9125558137893677,0.08744416809992468,0.9125558137893677,0.08744416706133307,0.9125558137893677,0.13268171197439477,0.8599460124969482,0.10438785291981043,0.8898119926452637,0.10438785717890757,0.8898119330406189,0.1043878538397754,0.8898119926452637,55,0,0,0
7,0.10812687063852537,0.8918731212615967,0.07979241098347599,0.9202076196670532,0.07979241047767761,0.9202076196670532,0.07979241194250382,0.9202076196670532,0.1210682327154933,0.8722047805786133,0.09421504780695569,0.9005500078201294,0.094215052702078,0.9005500078201294,0.0942150525544293,0.9005500078201294,55,0,0,0
8,0.12339483658427232,0.8766051530838013,0.07209728645270194,0.9279026985168457,0.07209728908114857,0.9279026985168457,0.07209727711106056,0.9279026985168457,0.1396687022501194,0.8525707721710205,0.08875380989118684,0.9063146710395813,0.08875381656945115,0.9063146710395813,0.08875380123670144,0.9063147306442261,55,0,0,0
9,0.09441002932733066,0.9055899381637573,0.061812384365216,0.9381875991821289,0.06181238444051745,0.9381875991821289,0.061812389720143204,0.9381875991821289,0.10922563399710669,0.8847053647041321,0.07770343585416856,0.9179790616035461,0.0777034311748405,0.9179790616035461,0.07770343734201317,0.9179790616035461,54,0,0,0
10,0.08265818666288818,0.9173418283462524,0.05503351349329603,0.9449664950370789,0.05503351081228047,0.9449664950370789,0.0550335126763464,0.9449664950370789,0.09703788603088115,0.8975703120231628,0.06990962670320963,0.9262059330940247,0.0699096267372824,0.9262059330940247,0.06990962507339513,0.9262059330940247,54,0,0,0
11,0.08069204944267608,0.9193079471588135,0.05070634857658368,0.9492936730384827,0.05070634836346639,0.9492936730384827,0.05070635313729377,0.9492936730384827,0.09173713952711807,0.9031655788421631,0.06281494462249301,0.9336948394775391,0.06281494643402899,0.9336948394775391,0.0628149504432591,0.9336948394775391,54,0,0,0
12,0.08672227324316922,0.9132777452468872,0.042463084509486826,0.9575369358062744,0.04246308464730268,0.9575369358062744,0.042463084509486826,0.9575369358062744,0.10145295239280819,0.8929099440574646,0.05810143536229322,0.9386702179908752,0.058101437241974765,0.9386702179908752,0.05810143468651648,0.9386702179908752,52,0,0,0
13,0.06869471555932345,0.9313052892684937,0.03979794819882632,0.9602020382881165,0.03979794743515602,0.9602020382881165,0.03979794692012256,0.9602020382881165,0.083544709873045,0.9118131995201111,0.0548379769457913,0.9421150088310242,0.05483797421429034,0.9421150088310242,0.054837975781638085,0.9421150088310242,51,0,0,0
14,0.05623001393291625,0.9437699913978577,0.040226449041956255,0.9597735404968262,0.040226456279419565,0.9597735404968262,0.04022645812643611,0.9597735404968262,0.06874339067854168,0.9274369478225708,0.05285975392964646,0.9442031383514404,0.05285975985547028,0.9442031383514404,0.0528597642906101,0.9442031383514404,48,0,0,0
15,0.07398760428014237,0.926012396812439,0.034648645809879294,0.9653513431549072,0.034648644304560806,0.9653513431549072,0.034648646240376224,0.9653513431549072,0.08697673748247325,0.9081904888153076,0.048739549249592354,0.9485523104667664,0.04873954790371766,0.9485523104667664,0.0487395493234167,0.9485523104667664,45,0,0,0
16,0.05847605505374258,0.9415239691734314,0.03928367296783616,0.9607163071632385,0.03928366642229367,0.9607163071632385,0.039283664698885154,0.9607163071632385,0.06821515963117523,0.9279945492744446,0.05013902648919966,0.9470750689506531,0.05013901966612604,0.9470750689506531,0.05013901849629403,0.9470750689506531,44,0,0,0
17,0.05138270576107284,0.9486172795295715,0.03460780869811364,0.9653921723365784,0.03460780873363319,0.9653921723365784,0.034607800257248016,0.9653921723365784,0.0640472346269412,0.9323940277099609,0.04791296032121087,0.9494248032569885,0.04791296103389979,0.9494248032569885,0.04791295393256516,0.9494248032569885,42,0,0,0
18,0.08186811945968735,0.9181318879127502,0.030512846816646563,0.9694871306419373,0.030512846310137794,0.9694871306419373,0.03051283782522793,0.969487190246582,0.09462878443073572,0.9001132845878601,0.04393602576015926,0.9536226987838745,0.04393602459600604,0.9536226987838745,0.04393601728739535,0.9536226987838745,41,0,0,0
19,0.056637759014259395,0.9433622360229492,0.029589458306204217,0.9704105257987976,0.02958945773824663,0.9704105257987976,0.029589459873681914,0.9704105257987976,0.07068844096984987,0.9253838658332825,0.0432815816105775,0.9543135166168213,0.04328158334828913,0.9543135166168213,0.04328158171563523,0.9543135166168213,41,0,0,0
20,0.06607123473865172,0.9339287877082825,0.030689928444098145,0.9693100452423096,0.0306899302509776,0.9693100452423096,0.030689929269572463,0.9693100452423096,0.0777692076602451,0.9179096221923828,0.04417046245539606,0.9533752799034119,0.044170462560453795,0.9533752799034119,0.044170461779619315,0.9533752799034119,39,0,0,0
21,0.04460139459952382,0.9553986191749573,0.038324234401203354,0.961675763130188,0.038324234196610754,0.961675763130188,0.03832423387196208,0.961675763130188,0.0569835455929179,0.9398502111434937,0.050685546235976424,0.9464981555938721,0.050685543430651105,0.9464981555938721,0.05068554545230255,0.9464981555938721,35,0,0,0
22,0.05611497581482479,0.9438850283622742,0.025500960750356145,0.9744990468025208,0.025500959720289224,0.9744990468025208,0.025500960111004264,0.9744990468025208,0.06851872988613095,0.9276741147041321,0.03833624420732987,0.9595336318016052,0.03833624524371017,0.9595336318016052,0.03833624543394984,0.9595336318016052,35,0,0,0
23,0.04667233166154858,0.9533276557922363,0.027716935102200572,0.9722830653190613,0.027716939156401894,0.9722830653190613,0.027716938601231342,0.9722830653190613,0.0591033375254128,0.9376126527786255,0.03953596961218864,0.9582672715187073,0.0395359739962193,0.9582672715187073,0.03953597247146252,0.9582672715187073,33,0,0,0
24,0.06856234571850318,0.9314376711845398,0.024672222916892157,0.9753277897834778,0.024672225885260864,0.9753277897834778,0.02467222165807934,0.9753277897834778,0.07997903866102783,0.9155770540237427,0.03733639130312041,0.9605890512466431,0.03733639270578307,0.9605890512466431,0.037336389519978405,0.9605890512466431,33,0,0,0
