feature_index,feature,base_gate,base_selected,max_increment_gate,max_final_gate,u1,g1,increment1_selected,u2,g2,increment2_selected,u3,g3,increment3_selected
4,gen_fuel_gas_mw,0.8063869476318359,True,0.39376401901245117,0.8826248049736023,0.3937639892101288,0.8826248049736023,False,0.39376401901245117,0.8826248049736023,False,0.3937623202800751,0.8826244473457336,False
39,prelim_load_avg_hourly,0.7460708022117615,True,0.03361967206001282,0.7546077966690063,0.033619556576013565,0.7546077966690063,False,0.033619485795497894,0.7546077966690063,False,0.03361967206001282,0.7546077966690063,False
36,total_pjm_rt_load_mwh,0.7190989851951599,True,0.05781225860118866,0.7353385090827942,0.05781218409538269,0.7353385090827942,False,0.05781225860118866,0.7353385090827942,False,0.057811908423900604,0.7353383898735046,False
31,gen_fuel_coal_mw,0.6831172108650208,True,0.08423789590597153,0.709810733795166,0.08423782140016556,0.709810733795166,False,0.08423789590597153,0.709810733795166,False,0.08423754572868347,0.7098106145858765,False
37,metered_load_mw,0.6536283493041992,True,0.027587890625,0.6631839871406555,0.027587374672293663,0.6631838083267212,False,0.02758742682635784,0.663183867931366,False,0.027587890625,0.6631839871406555,False
50,gen_fuel_solar_mw,0.5476095080375671,True,0.026438957080245018,0.5595702528953552,0.026438957080245018,0.5595702528953552,False,0.026438957080245018,0.5595702528953552,False,0.026438366621732712,0.5595699548721313,False
41,gen_fuel_hydro_mw,0.5014776587486267,True,0.00493382103741169,0.503937304019928,0.00493382103741169,0.503937304019928,False,0.004933816846460104,0.503937304019928,False,0.004933537915349007,0.5039371252059937,False
3,gen_fuel_nuclear_mw,0.4657726287841797,False,0.019565163180232048,0.4762248694896698,0.01956477016210556,0.4762246608734131,False,0.019564764574170113,0.4762246608734131,False,0.019565163180232048,0.4762248694896698,False
32,wind_generation_mw,0.2579812705516815,False,0.01041332446038723,0.26570814847946167,0.010413315147161484,0.26570814847946167,False,0.01041332446038723,0.26570814847946167,False,0.010413073934614658,0.26570796966552734,False
18,gen_fuel_wind_mw,0.2554655075073242,False,0.010195484384894371,0.2630563974380493,0.010195479728281498,0.2630563974380493,False,0.010195484384894371,0.2630563974380493,False,0.010195345617830753,0.26305630803108215,False
43,total_losses,0.2478659301996231,False,0.009263837710022926,0.2548335790634155,0.009263837710022926,0.2548335790634155,False,0.009263837710022926,0.2548335790634155,False,0.009263421408832073,0.25483325123786926,False
2,gross_sched_interchange_mw,0.23919783532619476,False,0.00882659386843443,0.24591313302516937,0.008826589211821556,0.24591311812400818,False,0.00882659386843443,0.24591313302516937,False,0.008826392702758312,0.24591296911239624,False
34,gen_fuel_oil_mw,0.23227696120738983,False,0.00513220950961113,0.23621708154678345,0.005132138729095459,0.23621702194213867,False,0.0051321364007890224,0.23621702194213867,False,0.00513220950961113,0.23621708154678345,False
