field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,fallback_keep
gen_fuel_solar_mw,0.4177629247814953,0.38538145080468533,0.31966621505285603,0.0,0.3976073169256204,0.15197478824263455,1,1,1,1,1,1,6,1,0
gen_fuel_wind_mw,0.49573271293569104,0.45522744843626173,0.38370414898426836,0.0,0.4906559699041344,0.20322815160646532,1,1,1,1,1,1,6,1,0
gen_fuel_nuclear_mw,0.3519865774597441,0.4277351517096989,0.37468119815956824,0.0,0.36003467341709694,0.1246690314322713,1,1,1,1,1,1,6,1,0
gen_fuel_natural_gas_mw,0.7379520436121948,0.7977254039783265,0.6461304745825193,0.0,0.7914302123444694,0.5704959245837852,1,1,1,1,1,1,6,1,0
gen_fuel_coal_mw,0.5447562921374232,0.5619023127443964,0.443471975764924,0.0,0.5084726295154326,0.21097537474404549,1,1,1,1,1,1,6,1,0
area_2_net_export_mw,0.32051407711271546,0.3283335712396164,0.2521920693705593,0.0,0.35532874301668566,0.12345000630584377,1,1,1,1,1,1,6,1,0
area_1_net_export_mw,0.3047741727944213,0.3018437344897627,0.21066697642263943,0.0,0.27953329742022237,0.06273712544069547,1,1,1,1,0,1,5,1,0
reserve_reg_up_mw,0.22369497142884315,0.2092743998050453,0.1938966253226582,0.0,0.28254535922567525,0.08678762037624548,0,0,0,1,0,1,2,1,0
reserve_reg_down_mw,0.18939952157893253,0.17052701648912832,0.15861610733474385,0.0,0.24181341325668837,0.07408999347095564,0,0,0,1,0,1,2,1,0
gen_fuel_hydro_mw,0.07400635557311232,0.09428027403629455,0.07339083102889118,0.0,0.09876585127377197,0.015149282555258995,0,0,0,1,0,0,1,1,0
reserve_spin_r3_mw,0.04347070870923776,0.010107819379747302,0.0034238092815531557,0.0,0.056788445886718976,0.0031947969769736,0,0,0,1,0,0,1,1,0
reserve_spin_r2_mw,0.21517707689334714,0.2159962559297582,0.1530557476362965,0.0,0.21630758931539878,0.04029730701942453,0,0,0,1,0,0,1,1,0
reserve_spin_r1_mw,0.16555976461513583,0.17504996598384054,0.12621403661279165,0.0,0.152458683851929,0.019990829455758936,0,0,0,1,0,0,1,1,0
area_1_load_actual_mw,0.1655594728864043,0.17504731075936109,0.12620915482988435,0.0,0.15245882535936758,0.019991097736328425,0,0,0,1,0,0,1,1,0
area_2_load_actual_mw,0.2151774133140929,0.21600011330996638,0.15307727485901085,0.0,0.21630887015238828,0.04029776696556913,0,0,0,1,0,0,1,1,0
system_losses_mw,0.059081926816417024,0.08422195732418537,0.08985589565437546,0.0,0.11874800209055666,0.024014060041256398,0,0,0,1,0,0,1,1,0
system_generation_mw,0.15675016384839838,0.14014044391408886,0.09663116906141685,0.0,0.15206097946780694,0.019006333866883374,0,0,0,1,0,0,1,1,0
system_load_day_ahead_mw,0.16184557031931332,0.14981273068823686,0.10453895787289473,0.0,0.155620368148334,0.01973060280645812,0,0,0,1,0,0,1,1,0
area_3_load_day_ahead_mw,0.04347461166047162,0.010123589284549935,0.0034096816681350992,0.0,0.05679041157927808,0.003194503763904935,0,0,0,1,0,0,1,1,0
area_2_load_day_ahead_mw,0.21517930115483114,0.21601565953390447,0.1531206376237504,0.0,0.21630986496858298,0.040287124603669885,0,0,0,1,0,0,1,1,0
area_1_load_day_ahead_mw,0.16555831640743066,0.17503688265401687,0.12621111332076326,0.0,0.15245759855959545,0.019990991134265328,0,0,0,1,0,0,1,1,0
system_load_actual_mw,0.1616663814863521,0.14877482308841786,0.10361171088551234,0.0,0.15557995071077863,0.019633535070942607,0,0,0,1,0,0,1,1,0
area_3_load_actual_mw,0.043470989314160866,0.010107544660947442,0.0034211439517933544,0.0,0.05678764238031587,0.0031947137704775737,0,0,0,1,0,0,1,1,0
area_3_net_export_mw,0.11243176043579334,0.1596657941614524,0.10270145162919651,0.0,0.18137296265073766,0.051359665654746436,0,0,0,1,0,0,1,1,0
