field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,fallback_keep
gen_fuel_solar_mw,0.5304801733426165,0.5177557412104535,0.38174158077181664,0.12219090528525428,0.5163658827008898,0.2033869455059088,1,1,1,1,1,1,6,1,0
area_1_net_export_mw,0.41384155800051636,0.36021739563889354,0.2467873936968484,0.055541510954600165,0.4273761512557738,0.12178219379367555,1,1,1,1,1,1,6,1,0
gen_fuel_wind_mw,0.6660181272150769,0.609103541703528,0.4250863376006891,0.11311156457254734,0.6299102892137078,0.25739688212084333,1,1,1,1,1,1,6,1,0
area_2_net_export_mw,0.5440184059387498,0.48085524007387714,0.33373886943471737,0.08099677398218084,0.5240996496168445,0.16302995740265627,1,1,1,1,1,1,6,1,0
system_losses_mw,0.5196402235142764,0.4926184198307639,0.32631815907953976,0.08935306905560332,0.49512469003337,0.17083017656789418,1,1,1,1,1,1,6,1,0
gen_fuel_nuclear_mw,0.12831779274520094,0.24958474681898754,0.2145626792358703,0.1006081118826544,0.2338769621932733,0.06569955521785671,0,0,1,1,0,1,3,1,0
gen_fuel_natural_gas_mw,0.12653099406017518,0.13659971851387373,0.0934537268634317,0.06094875319233395,0.19940397772129204,0.061621370465767024,0,0,0,1,0,1,2,1,0
gen_fuel_coal_mw,0.0627897424630273,0.05188007922650723,0.04354163737688663,0.053407529439982504,0.1720545151908555,0.051006256738840204,0,0,0,1,0,0,1,1,0
reserve_reg_down_mw,0.18508820843424925,0.17618582624918588,0.0930321914490321,0.04130127674430116,0.1839364261949228,0.03726769804762359,0,0,0,1,0,0,1,1,0
reserve_reg_up_mw,0.2280294058596021,0.2094268699232354,0.11524746746064617,0.05119613845070695,0.2183999675967337,0.043615086295996565,0,0,0,1,0,0,1,1,0
area_3_net_export_mw,0.19095711235755997,0.20444419629457836,0.13626013006503251,0.03504762999400767,0.23911648177199588,0.054017730657762476,0,0,0,1,0,0,1,1,0
system_generation_mw,0.004815600150721452,0.016281797697071148,0.03670135067533767,0.0316065479201165,0.08639658624340112,0.01291499734747553,0,0,0,0,0,0,0,0,0
area_2_load_actual_mw,0.033425262137697455,0.029730828710512688,0.0017409845304887338,0.027938240028629,0.06288769202654766,0.007491653662264971,0,0,0,0,0,0,0,0,0
system_load_day_ahead_mw,0.009711795200427215,0.035465497868383385,0.04961480740370185,0.03198647780444806,0.09086495075413263,0.013980314183500108,0,0,0,0,0,0,0,0,0
area_3_load_day_ahead_mw,0.07962228778701344,0.1131515720379013,0.09299458613194597,0.024405554438424425,0.15454592003925205,0.027878670058286002,0,0,0,0,0,0,0,0,0
reserve_spin_r1_mw,0.001060876514267367,0.014468434880506222,0.036053675809913255,0.03228117711683639,0.07902128582272154,0.010817377196370869,0,0,0,0,0,0,0,0,0
reserve_spin_r2_mw,0.033425429778017934,0.02973060688896686,0.0017459113661558645,0.02796999754577315,0.06288675565379835,0.007491606160970839,0,0,0,0,0,0,0,0,0
reserve_spin_r3_mw,0.0796221798141607,0.11315577374344017,0.0929684830854276,0.024642317771194695,0.15454940326530925,0.027879318230462632,0,0,0,0,0,0,0,0,0
area_2_load_day_ahead_mw,0.033422419136937026,0.029716740835840288,0.0017833072126293486,0.027807421815004976,0.06288783201463227,0.007489843221687082,0,0,0,0,0,0,0,0,0
area_1_load_day_ahead_mw,0.001060616286850352,0.014467678840265483,0.036053904217772235,0.03251752191949278,0.07901952731735824,0.010817129974775425,0,0,0,0,0,0,0,0,0
system_load_actual_mw,0.00989372021167433,0.0362214414793058,0.04985292646323161,0.03171799517629343,0.09107009101479088,0.014051058831667412,0,0,0,0,0,0,0,0,0
gen_fuel_hydro_mw,0.11229145613723156,0.10914529880738665,0.08575622113613901,0.0207788311120156,0.1470308531812051,0.018805062613533777,0,0,0,0,0,0,0,0,0
area_3_load_actual_mw,0.07962219763672652,0.11315305665651915,0.0929729948349697,0.024588544631770806,0.15454991854810574,0.027879616127720636,0,0,0,0,0,0,0,0,0
area_1_load_actual_mw,0.0010611416917473532,0.014469267961219707,0.03604950281133694,0.03228547455296989,0.0790195280752831,0.010817223315102919,0,0,0,0,0,0,0,0,0
