field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,fallback_keep
area_1_load_actual_mw,0.549486168786189,0.6329392604628483,0.4553309949243414,0.23964340188947114,0.5802775265051053,0.2807186674168432,1,1,1,1,1,1,6,1,0
reserve_spin_r1_mw,0.549486285608691,0.632938637310452,0.45532164618911575,0.23969266412038537,0.580277314481464,0.2807202025903288,1,1,1,1,1,1,6,1,0
gen_fuel_nuclear_mw,0.3135145976407038,0.3447291421502487,0.281851092682965,0.10670872920490142,0.31865384479016495,0.08875721360570828,1,1,1,1,1,1,6,1,0
system_load_actual_mw,0.5288704155448056,0.6116712050457006,0.44192493082693207,0.26495546046312946,0.5589828518136972,0.2492732018210191,1,1,1,1,1,1,6,1,0
area_1_load_day_ahead_mw,0.5494851919372564,0.6329309741248863,0.45539732073000033,0.2396137010318672,0.5802762873011881,0.28072372678233515,1,1,1,1,1,1,6,1,0
area_2_load_day_ahead_mw,0.6252582763173286,0.7512704380194403,0.5658208382586254,0.35615726940698145,0.6577703872809917,0.3739825071588734,1,1,1,1,1,1,6,1,0
gen_fuel_natural_gas_mw,0.6174773815831409,0.6887340397551455,0.5199448734616223,0.3434711310924236,0.628394495128295,0.2930683579735183,1,1,1,1,1,1,6,1,0
system_load_day_ahead_mw,0.5297995693286801,0.6133616298671136,0.44282973579081436,0.265806303227285,0.5598816407281673,0.25042352689408237,1,1,1,1,1,1,6,1,0
system_generation_mw,0.5337927664595579,0.6187685175454443,0.4484088016043159,0.26377488883931,0.5622527071212973,0.2507886899533521,1,1,1,1,1,1,6,1,0
system_losses_mw,0.5589984473143219,0.5973479389194642,0.4454424872033734,0.17840215688928046,0.5318210289168043,0.20812362711621837,1,1,1,1,1,1,6,1,0
gen_fuel_coal_mw,0.7313799409105195,0.78450066417016,0.6140462847020711,0.3633033447529619,0.7479094521565823,0.46825136833059633,1,1,1,1,1,1,6,1,0
area_2_load_actual_mw,0.625259137654634,0.7512701073674813,0.5657209119715728,0.356351832795324,0.6577734647344756,0.37394233407102473,1,1,1,1,1,1,6,1,0
reserve_spin_r2_mw,0.6252590128666669,0.751267703464237,0.5656923355147795,0.35588694406461513,0.6577727625603541,0.37394133433684346,1,1,1,1,1,1,6,1,0
area_1_net_export_mw,0.24206110702785733,0.30694685882977624,0.22338685699115943,0.05731418279599153,0.3145150998469879,0.09163103240514688,0,1,1,1,1,1,5,1,0
reserve_spin_r3_mw,0.2427463529027199,0.2895124775416259,0.2025722283937944,0.11411196344515773,0.2860295834534688,0.07573653930536474,0,1,1,1,0,1,4,1,0
gen_fuel_solar_mw,0.2874842907280153,0.23810928602920875,0.1578477469770662,0.09348294329359358,0.38378790284740744,0.16805191907186212,1,0,0,1,1,1,4,1,0
area_2_net_export_mw,0.13206435150558782,0.22123602042699872,0.17814434960862002,0.08433289887201197,0.29612336439511344,0.12034975892130514,0,0,1,1,1,1,4,1,0
area_3_load_day_ahead_mw,0.24274719526633512,0.2895049760204712,0.20260924278834086,0.11401089690496762,0.28603726714236705,0.07574743651027512,0,1,1,1,0,1,4,1,0
area_3_load_actual_mw,0.24274608738697545,0.28951183051367413,0.20259505044350917,0.11408745232545947,0.28603002291932694,0.07573925786658992,0,1,1,1,0,1,4,1,0
gen_fuel_hydro_mw,0.02200913287308637,0.10384747136229004,0.07133020637772892,0.07259338479166613,0.19253764986568608,0.04945991819717716,0,0,0,1,0,0,1,1,0
reserve_reg_down_mw,0.024764943202542664,0.08154508874372834,0.05866928559031822,0.03714353673873793,0.12770449017027122,0.01557826499602413,0,0,0,0,0,0,0,0,0
reserve_reg_up_mw,0.07409731190822645,0.12003136131677798,0.09417214313301117,0.04207985793768652,0.138383998774374,0.01833609339560292,0,0,0,0,0,0,0,0,0
gen_fuel_wind_mw,0.0018191852164186023,0.0941534749446,0.0709063080878801,0.036456710449499045,0.1319170605617504,0.02490633398116394,0,0,0,0,0,0,0,0,0
area_3_net_export_mw,0.1552756966490776,0.17806361746681837,0.11257027600271285,0.01893924308327991,0.16209297435391462,0.01286931242590123,0,0,0,0,0,0,0,0,0
