field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,fallback_keep
gen_fuel_solar_mw,0.5983020097650995,0.5763989505962998,0.4377043407938891,0.1777000352661644,0.5796084390510917,0.24147931175427675,1,1,1,1,1,1,6,1,0
gen_fuel_wind_mw,0.7982032043259073,0.7353637268306681,0.5279055440558561,0.18694860103624378,0.77040651337216,0.4086355535089707,1,1,1,1,1,1,6,1,0
gen_fuel_hydro_mw,0.4322887398152201,0.42217272346072915,0.2954869254127731,0.055209066639681566,0.44671915773725474,0.12689517024407504,1,1,1,1,1,1,6,1,0
area_2_net_export_mw,0.6839261348500694,0.6100372265973654,0.4413636818409204,0.13447332998717226,0.6630008517940679,0.2626681302915643,1,1,1,1,1,1,6,1,0
area_1_net_export_mw,0.5187395476186423,0.465571391698417,0.31893246623311655,0.07790375201145577,0.5174387934629343,0.1544647857644633,1,1,1,1,1,1,6,1,0
system_losses_mw,0.37487273716969705,0.3588974456902319,0.2326063031515758,0.08398511592593237,0.40461632740749753,0.1536225963188482,1,1,0,1,1,1,5,1,0
gen_fuel_nuclear_mw,0.2560599004626087,0.36276177215150457,0.29303374727332904,0.1624790547010616,0.3293378774548338,0.1052063116277118,0,1,1,1,0,1,4,1,0
gen_fuel_natural_gas_mw,0.05980077318354094,0.04158130260004572,0.03452126063031515,0.06471056830376072,0.22379826739044498,0.09153238023901926,0,0,0,1,0,1,2,1,0
gen_fuel_coal_mw,0.2224316972973524,0.19949558979332274,0.1586537171191202,0.0847293357414723,0.31143511386638234,0.10953453371807349,0,0,0,1,0,1,2,1,0
area_3_net_export_mw,0.17027529505648514,0.20670462433519815,0.13224112056028015,0.04956111859041473,0.2513311916868283,0.07381694141925005,0,0,0,1,0,1,2,1,0
reserve_reg_up_mw,0.11674282829809561,0.1137383400274147,0.050829065531437546,0.05948411423231026,0.1652913710491504,0.05094472201818956,0,0,0,1,0,0,1,1,0
reserve_reg_down_mw,0.07474186247636183,0.0775926470718193,0.02880956521961282,0.05105854970584187,0.15735123375776552,0.056734479351624845,0,0,0,1,0,0,1,1,0
system_generation_mw,0.23061719393650548,0.2449715083663622,0.18927463731865932,0.03404493105945404,0.2528852440917003,0.04407846075127257,0,0,0,0,0,0,0,0,0
system_load_day_ahead_mw,0.24613647981618592,0.26627324736524766,0.20381690845422712,0.03619618595635917,0.2663203505537754,0.04829765998979942,0,0,0,0,0,0,0,0,0
area_2_load_actual_mw,0.20601986197173117,0.19847801316933508,0.15748705927003778,0.02968311732054213,0.22366808015860543,0.04189794786954584,0,0,0,0,0,0,0,0,0
reserve_spin_r1_mw,0.2391097138244693,0.2584356373243238,0.1949109639108978,0.041838568081286734,0.2565418041934148,0.0492559741509056,0,0,0,0,0,0,0,0,0
reserve_spin_r2_mw,0.20601980943032994,0.19847529312384307,0.15747019948225743,0.029701373100469317,0.22366765297752447,0.04189763466036555,0,0,0,0,0,0,0,0,0
reserve_spin_r3_mw,0.2531566027939311,0.2618214817017892,0.19168196218760641,0.03594956590197622,0.2877776154132653,0.05142980189812169,0,0,0,0,0,0,0,0,0
area_3_load_day_ahead_mw,0.25315807479671126,0.2618191972044741,0.19173040658624496,0.035903654605567624,0.28777609226509526,0.051433695629424646,0,0,0,0,0,0,0,0,0
area_2_load_day_ahead_mw,0.20602198405141586,0.19848559788473574,0.15753847998526935,0.029638505967024054,0.22367074884305865,0.041909801618987795,0,0,0,0,0,0,0,0,0
area_1_load_day_ahead_mw,0.23911018019901092,0.25843740257013986,0.19494525129307563,0.04180507187683496,0.2565436180867579,0.049258114920599144,0,0,0,0,0,0,0,0,0
system_load_actual_mw,0.24605605962855423,0.2662978213343982,0.2037008504252126,0.03584927717110899,0.26635970173224777,0.04817825202673754,0,0,0,0,0,0,0,0,0
area_3_load_actual_mw,0.2531566406793136,0.26181550852649865,0.19169326563132624,0.03599192939778917,0.287778308251542,0.05143185759408954,0,0,0,0,0,0,0,0,0
area_1_load_actual_mw,0.23911006084746864,0.2584351929482351,0.19491544942205244,0.0417690717709721,0.25654149682172045,0.049255761910168706,0,0,0,0,0,0,0,0,0
