pearson,spearman,kendall,nmi,distance_corr,hsic
0.21920291420040175,0.2044501077816365,0.14295980563365746,0.023734482154593044,0.2298159633276028,0.029630877733398557
0.144503210764574,0.10780643349644126,0.09386385272046309,0.024032556681989233,0.15076808696845143,0.020649100910731927
0.18311480151556944,0.19401157278839998,0.1307959843794054,0.023286905581795646,0.21527410900715696,0.03361663990742654
0.20010092043505234,0.17555008305779574,0.09632716358179089,0.027117826888206478,0.18483043319606338,0.03102558720972016
0.1556761763478395,0.1186112399944229,0.09561834634111453,0.023903551205748698,0.15614481149735981,0.0192264183907873
0.00547869669367318,0.051914645888523264,0.02112553841975274,0.0332914309612655,0.14049701245813145,0.026778189654503334
0.2801234648696118,0.2958241969491651,0.20266448756468888,0.02996523320024451,0.30077454021446587,0.05151667194305329
0.16533578478094524,0.1116394982157688,0.06256628314157078,0.03202941141336398,0.21996176151666233,0.03614349117122807
0.14023357798113456,0.12064881931548091,0.0771175587793897,0.023239833292377596,0.19473282991301544,0.022977705370670523
0.004527472030324192,0.0030507149092741347,0.0034167083541770883,0.0167665383813501,0.11880412387843292,0.016236380122919884
0.021894150505443775,0.012432010513075712,0.017514757378689343,0.007382968710861522,0.06836330748537128,0.0027550483610882135
0.12594457153218483,0.10876958835887489,0.07586193096548274,0.014577661001029809,0.1326778516687751,0.010500220854446329
0.11884290860172894,0.11524807056948917,0.10081740870435217,0.00965270722131502,0.16105295133223582,0.018637269237350998
0.2123311431256124,0.23288456068133023,0.12133743198073416,0.023046556759710846,0.2248813550080529,0.028841192499809654
0.10196123045370303,0.13583860527272454,0.07721765653723424,0.017616064648869514,0.11547644127679721,0.01381787144615756
0.07840397222005217,0.023245729024631873,0.007657426345981627,0.033101697929506166,0.1313746334503644,0.02243463705904173
0.12146712975947895,0.048155746803447266,0.04090743550799371,0.02891164034023183,0.1796153255291217,0.02641103686848023
0.3001947785305171,0.31362900177274294,0.2190996102027101,0.03378371482345082,0.2602176920411594,0.043008840454598796
0.07856679818310973,0.08375640388888739,0.05084621048325615,0.01917934442882599,0.13945198682889862,0.02794319094113106
0.1558503654497126,0.1886662075158113,0.12809904952476237,0.023458271550229216,0.24212657866828732,0.04574543436457102
0.17143727528709382,0.14579928321282914,0.12944703952288114,0.030039203103565226,0.14113051478873587,0.01439815345907299
0.11078315691220803,0.13363931040379207,0.08561967372124758,0.01867338619959836,0.15799110664767516,0.02870836097191314
0.055486366472534326,0.06038676711601604,0.03849848023169056,0.012985242518629677,0.10424009814287917,0.013372455170163642
0.3723605959860393,0.40240005914772525,0.2989671653319368,0.057956405937743004,0.3885836663282903,0.11860411746582317
0.06749663050573994,0.0662295049418419,0.04557623654405361,0.02376300600517704,0.13365094040193762,0.02269760419584003
0.03472747014446826,0.04424104623251043,0.020810716474697386,0.028004786665887647,0.16015251723708418,0.03447664755949837
0.1597564047279082,0.16355990189319408,0.0969478061791444,0.02303208267610158,0.20959492273736913,0.03140977384612492
0.07635369909032545,0.06523353990466031,0.030742371185592792,0.019887703811485545,0.13096979505557127,0.015218190020073014
0.1345105117137623,0.11587415045999022,0.09250624034577992,0.024650692433802093,0.18512514495261378,0.029730246932197325
0.005863011501565522,0.0393882026836739,0.028802703763446905,0.0261058724164584,0.13780243942186107,0.02414896685459852
0.04952447132553959,0.004248755963490628,0.0024277784133541823,0.02757589721096673,0.15661408283776931,0.03251834480801492
0.15773928955941938,0.1183682425803825,0.0798569284642321,0.032397710439047156,0.2682872409538089,0.06688763744541486
0.22446176778424357,0.18664248292271488,0.10800400200100051,0.028909258990044786,0.19912941463547784,0.02146924658303814
0.14240077075458726,0.14995978319340092,0.08908554277138568,0.018571023853790475,0.1847845187581768,0.03206352233264147
0.056281305965271235,0.07182142466344334,0.04933966983491746,0.008833537615535698,0.1135945068043892,0.011687227303038153
0.14350049750443494,0.12514781285137158,0.07469434717358679,0.015497650200111929,0.09994773073662132,0.006020995870607122
0.13535276119023654,0.11982633030618846,0.05669934967483741,0.009370350238182577,0.15638645977511556,0.01187767973471907
0.2960840412951015,0.2984161166514714,0.20903902401776717,0.028480615439648263,0.28560054813751284,0.04621532864928656
0.1878926850710069,0.18660207326021494,0.1125939152465696,0.018820948891806306,0.2856538987238098,0.052285005223598115
0.2756804915634517,0.25551430799700325,0.1817504195548143,0.03295160629161953,0.2746353942835576,0.05362869872113545
0.11574121858520009,0.08393374855315702,0.059995622739847876,0.024730861397850985,0.13802058619881505,0.01943276599252648
0.12589922748997132,0.14314599940693667,0.09544082013121724,0.021078845800645993,0.21599561139522497,0.04300408059319266
0.13364281538707187,0.14076730004411972,0.05740875187750474,0.02111702674752767,0.09607576680477525,0.0106226897834096
0.14261903178574514,0.17129248723603313,0.12074837418709353,0.024090489176291637,0.17241408221377627,0.026885706890191388
0.02814414792267451,0.024435139854554196,0.0421619141206111,0.01594074302230523,0.0818528965226873,0.005714961373613397
0.17487962181412692,0.1669031410301543,0.11834299694216037,0.031266690920348214,0.24071917836587645,0.06559679466964274
0.0785444436694946,0.07235431074257402,0.06267129001350727,0.011313562248757285,0.0910016202996376,0.009255607855285649
0.37080964896883045,0.4013527160864828,0.30330397902485107,0.05841427993072726,0.36411656115974106,0.09070103986156128
0.03224491743154744,0.03636345662862888,0.012278605898843503,0.02448559369658256,0.12086233398616125,0.01380337139750619
0.01127575292408531,0.04383229650396163,0.03419016364933281,0.02513361534789364,0.11568939889568547,0.016913901788857585
0.07085094778079636,0.08698670542958399,0.04540317612863012,0.03390230453649153,0.16667266674482178,0.03484528785280327
0.2588762265996397,0.25997102644049325,0.16688344172086042,0.031220979987258615,0.2732412612409816,0.048861509419142836
0.15905074114882628,0.15921857978674342,0.10527084873567087,0.027380622472277943,0.12034755639892936,0.013008709104976948
0.08047031902574638,0.029456848229600183,0.015706576188087306,0.02535655428306055,0.13201229777322906,0.02472846054535481
0.2912449867018614,0.31661973822811007,0.2193257653424586,0.03230051690230299,0.33867359752254816,0.07234335434235223
0.009806488735699042,0.01489887405887735,0.008420210105052527,0.022372180635453393,0.10117013410243343,0.012611623435348178
0.16687090274824584,0.10887557264134677,0.07650025012506252,0.036100840044567165,0.2525714906171742,0.058698469743997075
0.0930403207580279,0.09686724494780083,0.09193596798399199,0.014230742141631718,0.14227463540243968,0.018851559721579467
0.10147517563231674,0.0951378056916641,0.05603801900950475,0.011022973359061699,0.14737163241244508,0.014054196952447312
0.15868535424476213,0.1368162631491637,0.1046823411705853,0.016201488725346366,0.1134816861224568,0.008653592638193496
0.12686513510095798,0.12127271193701475,0.08654027013506753,0.01044822702218551,0.10680722164988919,0.005322120816772805
0.19566181001556282,0.21528170602348817,0.15915086745245666,0.022451669412263318,0.17205157903728774,0.0174616040980582
0.03812817515129137,0.06965348336504713,0.06425569302706402,0.012457307051328055,0.1292399045450832,0.014688930912961081
0.23655000991941094,0.23099437145319057,0.14982837332627275,0.027755842607951286,0.2551377777629957,0.03744592383491253
0.09685838712316971,0.025935405367160987,0.006234743626650747,0.03314269409708879,0.1695201306818577,0.03891740444538136
0.012202479163263969,0.03642357503036441,0.01282965217685031,0.03271133913251553,0.18537889733584553,0.047001565299650994
0.20583063112575462,0.20667984845650228,0.1457666158924607,0.024939585805534063,0.21584607583428606,0.022808088735652494
0.11673210664310886,0.1383536277647957,0.09982591295647823,0.018672202751877854,0.1705360761224463,0.026999081361683334
0.06530147430564173,0.03444256819324834,0.023247801085939372,0.013076028667460663,0.1133405519318385,0.008179987320670013
0.2895906846621792,0.2943022577476674,0.22160213207559198,0.02932960150541118,0.28906473959805,0.06612466564232883
0.03741960657910862,0.02937638078675608,0.03578319575633542,0.00961943818898452,0.0732297002066969,0.006324679535790676
0.3752585305753213,0.39690367233651097,0.2701874500418101,0.061216357820981636,0.357995634765458,0.08009683640343737
0.2378094806648071,0.24341416712682035,0.17739642726541235,0.03266005977453474,0.2313872217019434,0.035465475183823585
0.036673875558476225,0.11397046320515417,0.07966685259619959,0.031547081108007524,0.17867540737532,0.04360054117191685
0.20695989191255618,0.234124126080166,0.14676165009576195,0.026202822495315244,0.22669507305710015,0.033877265376827184
0.21086164369688704,0.18622963711164894,0.14115057528764383,0.02261704045376239,0.19514799591708515,0.020874275035826634
0.08967800776188048,0.037049770067875375,0.013636742517814422,0.03062999192555979,0.14641950315501415,0.01599389110213141
0.07290531344192407,0.06804741067033536,0.037468690433146046,0.02535454510981484,0.12391657035148711,0.01737915607443758
0.25690727585368905,0.2821931283869476,0.18035119840970523,0.030056205402761948,0.26689716148034853,0.05074218215394494
0.1290516715645575,0.07360166149796304,0.06313856928464232,0.03155760439369884,0.17644777763883487,0.03632454807540292
