target,target_cn,n_pool_after_stripping,n_kept,n_dropped,kept_fields,dropped_fields,threshold_pearson,threshold_spearman,threshold_kendall,threshold_nmi,threshold_distance_corr,threshold_hsic
bus_115_va_deg,母线 115 电压相角,24,24,0,area_1_load_actual_mw|area_1_net_export_mw|gen_fuel_wind_mw|reserve_spin_r3_mw|reserve_spin_r2_mw|reserve_spin_r1_mw|reserve_reg_down_mw|reserve_reg_up_mw|area_2_load_actual_mw|area_2_net_export_mw|area_3_net_export_mw|system_losses_mw|system_generation_mw|system_load_day_ahead_mw|area_3_load_day_ahead_mw|area_2_load_day_ahead_mw|area_1_load_day_ahead_mw|system_load_actual_mw|area_3_load_actual_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_solar_mw,,0.17673179110874743,0.18760583930657296,0.13706922711894692,0.02992262275755524,0.2082394339528441,0.04470886835457858
bus_215_va_deg,母线 215 电压相角,24,23,1,area_1_load_actual_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|reserve_spin_r2_mw|reserve_spin_r1_mw|area_2_load_actual_mw|gen_fuel_solar_mw|system_generation_mw|system_load_day_ahead_mw|area_2_load_day_ahead_mw|area_1_load_day_ahead_mw|system_load_actual_mw|area_2_net_export_mw|reserve_reg_up_mw|area_1_net_export_mw|reserve_reg_down_mw|area_3_load_day_ahead_mw|reserve_spin_r3_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|area_3_load_actual_mw,area_3_net_export_mw,0.27494051961704213,0.2828385398699088,0.20617971751028813,0.03398769195440574,0.30278492994726985,0.05885075551862331
bus_315_va_deg,母线 315 电压相角,24,12,12,gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_hydro_mw|area_2_net_export_mw|area_1_net_export_mw|system_losses_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw,0.35303694305714006,0.3554988605743705,0.23508309989244217,0.04379490397642872,0.34143571030645825,0.06301524302048499
branch_ab1_loading_pct,跨区支路 AB1 负载率,24,23,1,area_1_load_actual_mw|system_losses_mw|gen_fuel_coal_mw|reserve_spin_r3_mw|reserve_spin_r2_mw|reserve_spin_r1_mw|reserve_reg_down_mw|reserve_reg_up_mw|area_2_load_actual_mw|gen_fuel_hydro_mw|system_generation_mw|system_load_day_ahead_mw|area_3_load_day_ahead_mw|area_2_load_day_ahead_mw|area_1_load_day_ahead_mw|system_load_actual_mw|area_3_load_actual_mw|gen_fuel_natural_gas_mw|area_2_net_export_mw|area_1_net_export_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw,area_3_net_export_mw,0.24825640667910998,0.2377743696336669,0.15924531205742756,0.02846932864525835,0.2643366811153457,0.03692671122513817
branch_ab2_loading_pct,跨区支路 AB2 负载率,24,23,1,area_1_load_actual_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|reserve_spin_r2_mw|reserve_spin_r1_mw|area_2_load_actual_mw|gen_fuel_solar_mw|system_generation_mw|system_load_day_ahead_mw|area_2_load_day_ahead_mw|area_1_load_day_ahead_mw|system_load_actual_mw|area_2_net_export_mw|area_1_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|area_3_load_day_ahead_mw|reserve_spin_r3_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|area_3_load_actual_mw,area_3_net_export_mw,0.2962895781568723,0.3137785385955113,0.21943958367911526,0.034012231311895305,0.3026694930798699,0.06716042329026171
branch_ab3_loading_pct,跨区支路 AB3 负载率,24,23,1,area_1_load_actual_mw|reserve_spin_r3_mw|reserve_spin_r1_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|area_2_load_actual_mw|gen_fuel_hydro_mw|system_losses_mw|system_generation_mw|system_load_day_ahead_mw|area_3_load_day_ahead_mw|area_2_load_day_ahead_mw|area_1_load_day_ahead_mw|system_load_actual_mw|area_3_load_actual_mw|reserve_spin_r2_mw|area_1_net_export_mw|gen_fuel_solar_mw|area_2_net_export_mw|gen_fuel_wind_mw|reserve_reg_down_mw|reserve_reg_up_mw|gen_fuel_nuclear_mw,area_3_net_export_mw,0.21079727812211255,0.16593621296660585,0.11745460838628699,0.02934104388795407,0.2215997080941768,0.040957906209324296
branch_ca_1_loading_pct,跨区支路 CA-1 负载率,24,10,14,gen_fuel_solar_mw|gen_fuel_wind_mw|system_losses_mw|area_2_net_export_mw|gen_fuel_natural_gas_mw|reserve_reg_down_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|area_1_net_export_mw|reserve_reg_up_mw,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|area_3_net_export_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_hydro_mw,0.30957203806696393,0.3163101767009868,0.21063362097378446,0.04074625915554081,0.3106683630246533,0.061627227681801136
branch_cb_1_loading_pct,跨区支路 CB-1 负载率,24,11,13,gen_fuel_solar_mw|area_1_net_export_mw|gen_fuel_wind_mw|area_2_net_export_mw|system_losses_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|reserve_reg_down_mw|reserve_reg_up_mw|area_3_net_export_mw,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_hydro_mw,0.31455370669522875,0.31936345372754327,0.20160743660528282,0.03373500932316739,0.3090396299059404,0.05615412683077389
gen_121_nuclear_1_pg_mw,121_NUCLEAR_1 有功出力,21,21,0,area_1_load_actual_mw|area_2_net_export_mw|gen_fuel_wind_mw|gen_fuel_hydro_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|reserve_spin_r2_mw|reserve_spin_r1_mw|area_2_load_actual_mw|area_3_net_export_mw|area_1_net_export_mw|system_load_day_ahead_mw|area_2_load_day_ahead_mw|area_1_load_day_ahead_mw|system_load_actual_mw|area_3_load_day_ahead_mw|reserve_spin_r3_mw|area_3_load_actual_mw|reserve_reg_up_mw|reserve_reg_down_mw|gen_fuel_solar_mw,,0.15708570826076174,0.1589468846059594,0.11256706930735828,0.03910934527869661,0.1673379408124482,0.02242812340626741
gen_218_cc_1_pg_mw,218_CC_1 有功出力,24,20,4,area_1_load_actual_mw|reserve_spin_r1_mw|gen_fuel_nuclear_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|gen_fuel_natural_gas_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|gen_fuel_coal_mw|area_2_load_actual_mw|reserve_spin_r2_mw|area_1_net_export_mw|reserve_spin_r3_mw|gen_fuel_solar_mw|area_2_net_export_mw|area_3_load_day_ahead_mw|area_3_load_actual_mw|gen_fuel_hydro_mw,area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|gen_fuel_wind_mw,0.2832964449789304,0.24134112594824822,0.17359726155222277,0.05427587481640853,0.2949241850009035,0.06988897780110859
gen_317_wind_1_pg_mw,317_WIND_1 有功出力,24,24,0,area_1_load_actual_mw|area_2_load_actual_mw|gen_fuel_wind_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|reserve_spin_r3_mw|reserve_spin_r2_mw|reserve_spin_r1_mw|reserve_reg_down_mw|reserve_reg_up_mw|area_3_net_export_mw|area_2_net_export_mw|area_1_net_export_mw|system_losses_mw|system_generation_mw|system_load_day_ahead_mw|area_3_load_day_ahead_mw|area_2_load_day_ahead_mw|area_1_load_day_ahead_mw|system_load_actual_mw|area_3_load_actual_mw|gen_fuel_solar_mw,,0.17507821805643486,0.15748997742466994,0.10879665810187052,0.01896976673756479,0.1799512303263852,0.025021891816431847
gen_321_cc_1_status,321_CC_1 投入状态,24,24,0,gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|area_2_net_export_mw|area_1_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|gen_fuel_hydro_mw|reserve_spin_r3_mw|reserve_spin_r2_mw|reserve_spin_r1_mw|area_1_load_actual_mw|area_2_load_actual_mw|system_losses_mw|system_generation_mw|system_load_day_ahead_mw|area_3_load_day_ahead_mw|area_2_load_day_ahead_mw|area_1_load_day_ahead_mw|system_load_actual_mw|area_3_load_actual_mw|area_3_net_export_mw,,0.26088612255105875,0.25124634579438676,0.20421466710334601,0.0,0.2938640493324265,0.056238369876351745
