field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,fallback_keep
area_1_load_actual_mw,0.3081230534316148,0.44448542313807204,0.351068165571841,0.1862137169534479,0.3219942764330207,0.09488123892728509,1,1,1,1,1,1,6,1,0
area_2_net_export_mw,0.41094140388051037,0.5112892704183537,0.4067925092577074,0.23140559655399584,0.4794615269691825,0.1873390661122205,1,1,1,1,1,1,6,1,0
gen_fuel_wind_mw,0.47798970399703056,0.5170447791936894,0.40543308701756176,0.25704187249590355,0.522834921019173,0.23493771873722247,1,1,1,1,1,1,6,1,0
gen_fuel_hydro_mw,0.24229512771920952,0.29900802306756075,0.24471597805375267,0.08468779379992487,0.2245022790547724,0.04444274060603672,1,1,1,1,1,1,6,1,0
gen_fuel_natural_gas_mw,0.38941123854269594,0.5380217467624733,0.4160097192344445,0.2793230146797457,0.44528556394809854,0.1835554842255747,1,1,1,1,1,1,6,1,0
gen_fuel_coal_mw,0.450706428203616,0.6238476735296002,0.4958291617206918,0.4087955223525021,0.489653312331254,0.21470192525733148,1,1,1,1,1,1,6,1,0
reserve_spin_r2_mw,0.29236852431981025,0.4146352806988666,0.3175283995369981,0.17541336552197484,0.31657391853939837,0.0964980395645768,1,1,1,1,1,1,6,1,0
reserve_spin_r1_mw,0.3081229714028145,0.4444875389958139,0.3510592490943247,0.1863774830550036,0.3219937593263098,0.0948808188816453,1,1,1,1,1,1,6,1,0
area_2_load_actual_mw,0.29236884369756383,0.4146404199409927,0.31754557054782867,0.1755280586971056,0.3165745759043156,0.09649861046206613,1,1,1,1,1,1,6,1,0
area_3_net_export_mw,0.3810019493036764,0.37476575668640355,0.2864076737374446,0.1618198459264395,0.41952914342206443,0.11908766256914384,1,1,1,1,1,1,6,1,0
area_1_net_export_mw,0.5419344087544891,0.5461935456773531,0.4281882280007276,0.29674807206772597,0.5923777698279533,0.247815190287253,1,1,1,1,1,1,6,1,0
system_load_day_ahead_mw,0.2706049235334703,0.37438502919182787,0.289228277335632,0.15918694185463036,0.2895377005822591,0.07377853818024636,1,1,1,1,1,1,6,1,0
area_2_load_day_ahead_mw,0.2923689030178071,0.414655819333511,0.3176515793990524,0.175508171580429,0.3165746333442052,0.0964935207702251,1,1,1,1,1,1,6,1,0
area_1_load_day_ahead_mw,0.30812220165897647,0.4444693373919967,0.3511009773826369,0.18614682048271156,0.321990449366417,0.09487933646325367,1,1,1,1,1,1,6,1,0
system_load_actual_mw,0.26926713426005827,0.371560628029352,0.2870408020985579,0.15701989266377975,0.2883633885272678,0.07303578886274646,1,1,1,1,1,1,6,1,0
area_3_load_day_ahead_mw,0.12413775553176334,0.15857895834458713,0.11851947854070492,0.07426727205290831,0.14850406557010326,0.02176429339246959,0,0,1,1,0,0,2,1,0
reserve_spin_r3_mw,0.12413583537139992,0.1585691316560717,0.11846119957014753,0.07407444780662295,0.1484993000509159,0.02176146230827153,0,0,1,1,0,0,2,1,0
area_3_load_actual_mw,0.1241356005422448,0.15856630362576613,0.11848286154889698,0.07412295508574342,0.14849944265164272,0.021762346225184068,0,0,1,1,0,0,2,1,0
reserve_reg_up_mw,0.05211218065245791,0.04095616990016897,0.027494798410626485,0.05850646417564862,0.0833136314004535,0.006231375215262775,0,0,0,1,0,0,1,1,0
reserve_reg_down_mw,0.01704447968192214,0.001305366473535362,0.001532941501644394,0.05138268720310048,0.06745946318008497,0.006247246535326954,0,0,0,1,0,0,1,1,0
gen_fuel_solar_mw,0.06005122303763362,0.013531614418579937,0.008434901099608125,0.054715401956026095,0.1271425084142305,0.018285753935746423,0,0,0,1,0,0,1,1,0
