field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,fallback_keep
area_1_load_actual_mw,0.34243848943611976,0.2433593002591952,0.16873628647288144,0.09725429447593519,0.3270926576873844,0.08292826799262588,1,1,1,1,1,1,6,1,0
area_1_net_export_mw,0.33717140449086214,0.308526067295289,0.20807803901950972,0.06370748260955719,0.3839392087601025,0.1342843119554267,1,1,1,1,1,1,6,1,0
gen_fuel_wind_mw,0.5611799448083427,0.5038312957558851,0.35110377295126544,0.0893375498961935,0.5328039894375993,0.1974122825025008,1,1,1,1,1,1,6,1,0
reserve_spin_r3_mw,0.35347980648963245,0.34238979379640966,0.2376239209297143,0.05363523788053394,0.32055992366877756,0.07370359531397261,1,1,1,1,1,1,6,1,0
reserve_spin_r2_mw,0.333006861916708,0.2491775830637502,0.17153554159424547,0.06312510801187204,0.30550625400400677,0.06819276849989782,1,1,1,1,1,1,6,1,0
reserve_spin_r1_mw,0.34243869541427835,0.2433586783463549,0.1687243992661674,0.09736232578793244,0.32709286939501253,0.08292892989408922,1,1,1,1,1,1,6,1,0
reserve_reg_down_mw,0.4157904948566259,0.4157044387750342,0.27951210895709333,0.06680089143871756,0.3893245328870637,0.11199802014371371,1,1,1,1,1,1,6,1,0
reserve_reg_up_mw,0.489312421219214,0.47606729259265257,0.324826101205179,0.07795983344976236,0.44573147728540835,0.11814394959583949,1,1,1,1,1,1,6,1,0
area_2_load_actual_mw,0.3330066942356068,0.2491753422491994,0.171543007939179,0.06311383831133935,0.30550583164327966,0.06819279753505383,1,1,1,1,1,1,6,1,0
area_2_net_export_mw,0.3873473374351866,0.35585324837073146,0.24126063031515754,0.07866058172711751,0.4385824172812239,0.18116069232736962,1,1,1,1,1,1,6,1,0
area_3_net_export_mw,0.21872403783087493,0.255087225709337,0.18071835917958978,0.050431293625422466,0.2890505259247232,0.0846062980682334,1,1,1,1,1,1,6,1,0
system_losses_mw,0.7606787430563694,0.7409761925587564,0.5343661830915457,0.15862631422923812,0.7308759889868903,0.3596637936044784,1,1,1,1,1,1,6,1,0
system_generation_mw,0.37912157606122926,0.3035745186734713,0.2075527763881941,0.07154113589962668,0.34718693089928265,0.08079377379511946,1,1,1,1,1,1,6,1,0
system_load_day_ahead_mw,0.36497326487696485,0.28274223108169666,0.19411505752876437,0.07215158696898383,0.33881842552205577,0.08178827079367697,1,1,1,1,1,1,6,1,0
area_3_load_day_ahead_mw,0.35347832705955856,0.3423831206313691,0.2376662855935043,0.05373009091573464,0.320563395239249,0.0737093251553701,1,1,1,1,1,1,6,1,0
area_2_load_day_ahead_mw,0.33300400900972904,0.2491589370948575,0.17152773448883032,0.06307168974961189,0.30550475143731903,0.06821365935145748,1,1,1,1,1,1,6,1,0
area_1_load_day_ahead_mw,0.3424386156263165,0.24336170210884164,0.16875888938702843,0.09728244247306612,0.32709256648207324,0.08292925349472935,1,1,1,1,1,1,6,1,0
system_load_actual_mw,0.36526213366271065,0.2837702660851459,0.1948354177088544,0.07149331393156089,0.33888995793960475,0.0815907724972533,1,1,1,1,1,1,6,1,0
area_3_load_actual_mw,0.3534795704541678,0.3423914344895432,0.23763545279062956,0.053648945790004,0.3205586570166571,0.07370537232705675,1,1,1,1,1,1,6,1,0
gen_fuel_nuclear_mw,0.14657795084892314,0.3306861586632939,0.2613639296756285,0.1620215521933107,0.2533977677281605,0.07796519492049594,0,1,1,1,1,1,5,1,0
gen_fuel_hydro_mw,0.1872372155690999,0.17776481170959446,0.1328159392344372,0.05124037137548732,0.22460765669913538,0.06208267771903975,1,0,0,1,1,1,4,1,0
gen_fuel_coal_mw,0.018872391834893292,0.07203910710147103,0.054426921476215764,0.09232084055700032,0.24287671919363618,0.09256377834521992,0,0,0,1,1,1,3,1,0
gen_fuel_natural_gas_mw,0.0437201987363712,0.07862167313645617,0.0676568284142071,0.0619754556711372,0.21074200443816246,0.06962995475739975,0,0,0,1,1,1,3,1,0
gen_fuel_solar_mw,0.02959472217046881,0.05618846741105302,0.06552314328801592,0.04925953603563547,0.1703428464999693,0.05637570585005929,0,0,0,1,0,1,2,1,0
