gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9510675,0.79662174,0.9310233,0.9352277,1.2469876,0.9166289,0.8284746,0.80311173,1.0423427,0.8681063,0.8533093,0.94301134,0.88085115,0.99987966,0.88280576,0.75678056,0.7323202,0.78375673,0.732464,0.79773235,0.7122373,0.74621665,0.9567693,0.8159343,1.0008432,0.8864113,0.74915195,1.0645959,0.9970412,0.94102323,1.1332697,0.746661,0.79615784,0.7762086
0.85864246,0.71268296,0.79274803,0.82772386,1.1869972,0.805055,0.7001067,0.6392421,1.0806707,0.8620614,0.73295975,0.84749573,0.7764509,0.88761723,0.75198793,0.59656024,0.61344963,0.6059045,0.59671867,0.69324976,0.495858,0.58816624,0.84688014,0.6784797,0.8678892,0.72535,0.5972835,0.99649864,0.9388889,0.8112413,1.1490586,0.60660976,0.66447663,0.69351494
0.75162214,0.6478773,0.6887641,0.7235327,1.1340103,0.6965062,0.6159896,0.4973299,1.0475596,0.8663264,0.6429932,0.75064826,0.666757,0.80619127,0.6308166,0.46797195,0.5091915,0.45776963,0.48515055,0.6194727,0.3595789,0.4826353,0.7304795,0.5621117,0.75721014,0.60141677,0.46246296,0.9420146,0.8708587,0.6945779,1.138887,0.4824202,0.55226177,0.61658025
0.66488415,0.5902275,0.61021405,0.6474487,1.0959661,0.5936809,0.55679095,0.37742463,0.9863892,0.83358324,0.5693867,0.6634859,0.5797576,0.74836105,0.54205906,0.3754113,0.41241318,0.35229665,0.3997449,0.55334026,0.27391475,0.41056457,0.61559683,0.4618368,0.64892024,0.5018712,0.37620032,0.871274,0.7885276,0.5920959,1.1271561,0.36957008,0.47434285,0.5562661
0.60938853,0.5372109,0.5477777,0.5819426,1.0467575,0.5097688,0.50365317,0.29061714,0.93642545,0.7912526,0.5178985,0.5926749,0.50152767,0.6896756,0.46366188,0.29395884,0.33297482,0.25893417,0.329732,0.48800546,0.20419374,0.3489079,0.5094487,0.37903708,0.5660268,0.43608916,0.30310372,0.82212275,0.7179108,0.51080924,1.12074,0.2877332,0.38175094,0.48483375
0.56417567,0.4973833,0.49980894,0.54353184,1.0085921,0.43294296,0.44682923,0.23042183,0.89116526,0.74789083,0.4700339,0.5372092,0.44180062,0.6313699,0.40741858,0.23690745,0.26169577,0.18943696,0.27028665,0.43696475,0.15492697,0.30715337,0.40705913,0.32149833,0.48603532,0.36906743,0.24698995,0.76271355,0.6666384,0.43109947,1.1005682,0.21918333,0.32351613,0.43060884
0.51793724,0.46300906,0.45773992,0.5093386,0.9688441,0.383118,0.4197731,0.17845738,0.8408099,0.7165018,0.43168926,0.4900417,0.39606035,0.57749826,0.34784535,0.18473946,0.21113133,0.13571744,0.2217588,0.4115824,0.11874593,0.26799455,0.33654225,0.26096624,0.4383184,0.3319638,0.20733097,0.71020824,0.63610643,0.3719188,1.0585071,0.16519317,0.2698319,0.38787803
0.48254713,0.43086994,0.42347053,0.47082663,0.9254209,0.32108137,0.3977059,0.14103192,0.79392296,0.65601796,0.39655328,0.4442008,0.35325778,0.5405773,0.3068923,0.14240131,0.1671628,0.09413826,0.18535206,0.38243312,0.08446092,0.23352125,0.27504295,0.210341,0.393435,0.2892832,0.17000772,0.6739753,0.57827276,0.31545857,1.0394685,0.122510366,0.22105554,0.33370262
0.45368183,0.4085423,0.3854367,0.44525042,0.8952768,0.28038803,0.3674391,0.112977184,0.7552976,0.62291914,0.3590772,0.3995956,0.32277247,0.50227505,0.27648434,0.10964067,0.13279909,0.06362984,0.15464602,0.35210133,0.06295991,0.21121478,0.22916514,0.17336683,0.3666551,0.25639346,0.13999343,0.630761,0.5552596,0.2668995,1.0095532,0.08615831,0.17385557,0.29194826
