方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.4172514394074184,rmccp|gen_fuel_gas_pct|gen_fuel_coal_pct|system_energy_price_da|gen_fuel_multiple_fuels_mw|gen_fuel_oil_pct|da_as_mcp_synchronized_reserve|total_pjm_assigned_reg|gross_inadv_interchange_mw|gen_fuel_storage_mw|gen_fuel_nuclear_mw|da_as_as_req_mw_synchronized_reserve|gen_fuel_other_renewables_pct|solar_generation_mw|gen_fuel_hydro_pct|total_pjm_loc_credit|total_pjm_rt_load_mwh|da_as_mcp_primary_reserve
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.4568421021757245,system_energy_price_da|gen_fuel_multiple_fuels_pct|gen_fuel_gas_pct|rmccp|gen_fuel_storage_mw|gen_fuel_coal_pct|gen_fuel_oil_pct|da_as_as_req_mw_synchronized_reserve|gen_fuel_other_renewables_pct|total_pjm_assigned_reg|gen_fuel_nuclear_mw|total_pjm_rmccp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|gen_fuel_multiple_fuels_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_hydro_mw|gen_fuel_solar_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.4509925640129471,system_energy_price_da|rmccp|gen_fuel_multiple_fuels_mw|gen_fuel_oil_pct|gen_fuel_storage_mw|total_pjm_loc_credit|gen_fuel_other_renewables_pct|da_as_mcp_synchronized_reserve|total_pjm_assigned_reg|total_pjm_rmccp_cr|gen_fuel_multiple_fuels_pct|gen_fuel_gas_pct|gross_inadv_interchange_mw|da_as_as_mw_thirty_minutes_reserve|solar_generation_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|prelim_load_avg_hourly
XGBoost,树模型特征重要性（2016）,0.46026394848474994,system_energy_price_da|rmccp|total_pjm_rmccp_cr|total_pjm_rt_load_mwh|gen_fuel_gas_pct|da_as_as_req_mw_primary_reserve|gen_fuel_storage_mw|gen_fuel_oil_pct|prelim_load_avg_hourly|gen_fuel_coal_pct|gen_fuel_multiple_fuels_mw|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|da_as_mcp_synchronized_reserve|gen_fuel_solar_pct|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_coal_mw|gen_fuel_nuclear_mw
Lasso,线性稀疏（1996）,0.3458582428709247,system_energy_price_da|rmccp|gen_fuel_multiple_fuels_mw|gen_fuel_oil_pct|solar_generation_mw|total_pjm_rt_load_mwh|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_assigned_reg|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|total_pjm_rmccp_cr|prelim_load_avg_hourly
Pearson,相关系数排序（只看两两关系）,0.4146354671886118,system_energy_price_da|gen_fuel_oil_pct|gen_fuel_oil_mw|rmccp|gen_fuel_multiple_fuels_mw|total_pjm_rmccp_cr|prelim_load_avg_hourly|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|gen_fuel_nuclear_pct|gen_fuel_multiple_fuels_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_other_renewables_pct|gen_fuel_gas_mw|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|gen_fuel_storage_mw|gen_fuel_coal_mw
