方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9879242531707654,gen_fuel_hydro_mw|gen_fuel_hydro_pct|gen_fuel_oil_mw|system_energy_price_da|gen_fuel_oil_pct|gen_fuel_nuclear_mw|gen_fuel_solar_pct|gen_fuel_other_renewables_pct|gen_fuel_other_renewables_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9733714837733228,total_losses|gen_fuel_solar_pct|gen_fuel_other_renewables_pct|system_energy_price_da|gen_fuel_coal_pct|net_actual_interchange_mw|gen_fuel_oil_mw|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9744745279656618,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|total_losses|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_mw|gen_fuel_solar_pct
XGBoost,树模型特征重要性（2016）,0.9766646121703165,gen_fuel_oil_mw|gen_fuel_other_renewables_pct|gen_fuel_nuclear_mw|gen_fuel_coal_pct|system_energy_price_da|gen_fuel_other_renewables_mw|gen_fuel_solar_pct|gen_fuel_hydro_mw|da_as_as_mw_thirty_minutes_reserve
Lasso,线性稀疏（1996）,0.9851495612389667,gen_fuel_hydro_mw|gen_fuel_hydro_pct|gen_fuel_other_renewables_pct|gen_fuel_other_renewables_mw|gen_fuel_oil_mw|gen_fuel_coal_pct|gen_fuel_solar_pct|total_losses|gen_fuel_multiple_fuels_mw
Pearson,相关系数排序（只看两两关系）,0.9664395318681653,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|total_losses|gen_fuel_oil_pct|system_energy_price_da|gen_fuel_nuclear_mw|gen_fuel_coal_pct|marginal_loss_price_da|gen_fuel_hydro_mw
