area_3_load_actual_mw,area_1_load_day_ahead_mw,area_3_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r3_mw,area_1_fuel_natural_gas_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_generation_mw,hour_of_day,day_of_week,month_of_year,is_weekend
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.41397485,0.56616896,0.41218036,0.52948004,0.5712008,0.5552097,0.57427126,0.43853393,0.4551002,0.5268098,0.44148448,0.38946363,0.45510012,0.5937033,0.54695666,0.5441791,0.54957104,0.43915328,0.47976705,0.5309163,0.5380145,0.5177515,0.5089465,0.42388332,0.4553456,0.3979305,0.46134755,0.42653754
0.39019454,0.65495306,0.38424793,0.58538824,0.6033146,0.5821617,0.5848935,0.442702,0.46717137,0.6160366,0.40098497,0.34318277,0.41513267,0.6731001,0.5871661,0.5790675,0.589145,0.42686686,0.5219273,0.5287614,0.56969327,0.5598238,0.51960844,0.37849477,0.43385258,0.32895428,0.44142184,0.38061252
0.37117392,0.7046435,0.35732353,0.6176476,0.61870974,0.5902922,0.60692364,0.44088122,0.4833584,0.6553928,0.36736983,0.30280268,0.42038497,0.7275861,0.6359513,0.5984195,0.61303806,0.40057373,0.54191196,0.530762,0.5935908,0.5549131,0.5285005,0.35538206,0.4227199,0.2944209,0.41899183,0.34833625
0.33674628,0.7493341,0.3209436,0.61568093,0.6404344,0.6037042,0.62267137,0.4368817,0.49241492,0.70688033,0.32950196,0.24554066,0.40709165,0.78531545,0.67017263,0.6286401,0.64146125,0.38511458,0.5498502,0.53193,0.6089401,0.56923884,0.5332656,0.3191161,0.41659066,0.26316464,0.40298685,0.31933558
0.3163289,0.7918208,0.27962288,0.6313226,0.6518343,0.61145943,0.6369508,0.44169033,0.50294065,0.73829675,0.28387374,0.18363714,0.39778104,0.8500295,0.7270836,0.65534586,0.66173273,0.36917758,0.55896,0.5271199,0.6066663,0.5863668,0.5232483,0.29500726,0.39173952,0.22013998,0.3884781,0.29739416
0.28481898,0.8304184,0.25134087,0.6594303,0.67277265,0.6267071,0.6556355,0.4417442,0.5152553,0.77319866,0.2517342,0.11873021,0.3837431,0.9121406,0.78008944,0.6678249,0.67370635,0.33121875,0.5637657,0.5146748,0.62065744,0.5998407,0.5099293,0.26262876,0.3651881,0.18700199,0.3866015,0.2632816
0.23833941,0.8652843,0.20983917,0.6841584,0.6912809,0.6327848,0.6581969,0.44305667,0.52660567,0.8111553,0.21605507,0.08411944,0.37932006,0.97067076,0.8283123,0.6858919,0.6993262,0.3061259,0.58579,0.51407754,0.61072075,0.60323733,0.496626,0.23712684,0.34850875,0.14621207,0.3653297,0.22940725
0.20758578,0.9041606,0.1782279,0.7056053,0.70673686,0.63225335,0.66584873,0.44897765,0.5541885,0.84688276,0.17331274,0.040803093,0.37231514,1.0147827,0.8884525,0.69472486,0.7290914,0.27476993,0.5981376,0.50998354,0.6123565,0.61445224,0.46985817,0.20876515,0.33520448,0.1069116,0.3393222,0.20393914
0.1625943,0.9318475,0.13739988,0.7272311,0.71061915,0.6415375,0.6750297,0.44918898,0.5678881,0.89512265,0.12758157,-0.011360063,0.38581574,1.0513972,0.92899626,0.710509,0.7508366,0.24814183,0.60930526,0.50070924,0.627622,0.61353797,0.46938252,0.17537083,0.32272583,0.06696204,0.32178667,0.18730909
0.11596544,0.9626612,0.08251628,0.7401292,0.7210735,0.63401294,0.6933776,0.44919887,0.5829898,0.9201412,0.08343789,-0.036422756,0.39574957,1.0878189,0.97205466,0.71816164,0.7564063,0.21228889,0.6135278,0.49049863,0.62920964,0.6117079,0.45676607,0.14039975,0.3045764,0.023065053,0.29591978,0.15031387
0.06338017,1.0106564,0.043333977,0.73251784,0.72156316,0.6359684,0.69170445,0.44432563,0.5873021,0.9546002,0.025181381,-0.0755557,0.40104732,1.1136795,1.0183326,0.7257392,0.7695907,0.17769445,0.62040794,0.478256,0.6306004,0.6083904,0.4370504,0.09850373,0.28232443,-0.024732113,0.27008373,0.12024405
-0.0010743729,1.040827,0.0016262511,0.744781,0.7318821,0.63402784,0.6980487,0.4431885,0.5874198,0.9728231,-0.031289157,-0.1156251,0.4090072,1.1565179,1.0636313,0.73916227,0.7888954,0.12796779,0.62404835,0.47051576,0.6274544,0.6076635,0.41697055,0.05278554,0.26944733,-0.080923416,0.23176484,0.093910046
-0.051673528,1.0776061,-0.04380221,0.7585446,0.7413711,0.6328644,0.7051653,0.44232446,0.5952227,1.0115527,-0.085510775,-0.1343223,0.4169646,1.202821,1.1158375,0.7482518,0.80084145,0.09133664,0.62033904,0.45408386,0.6354032,0.59393966,0.40074277,0.010467528,0.24457373,-0.13241911,0.19709575,0.060231313
-0.115036845,1.1148401,-0.08703204,0.7630003,0.741452,0.6322103,0.7077219,0.43119434,0.6027811,1.0332272,-0.1374022,-0.18602046,0.43804464,1.2322351,1.1560204,0.7486441,0.8059407,0.053461067,0.6142891,0.4374101,0.6294863,0.5967757,0.37579823,-0.03206132,0.23907028,-0.17398289,0.14833966,0.026638286
-0.16391706,1.1446744,-0.13742691,0.7795861,0.7425884,0.6305018,0.70225865,0.42929885,0.62126005,1.0738837,-0.2015608,-0.21665616,0.46964988,1.2881036,1.2024964,0.7553329,0.80770963,0.009941935,0.61873174,0.422372,0.6288507,0.6062355,0.3578174,-0.07495881,0.22033148,-0.22730155,0.10690553,-0.016423246
-0.21321206,1.1716337,-0.19419591,0.7917473,0.7422839,0.63380975,0.71464777,0.4316277,0.6390366,1.1043632,-0.25212932,-0.26350644,0.4899297,1.3296841,1.2370764,0.7571164,0.81156397,-0.04235626,0.61508894,0.40547326,0.61814904,0.60555506,0.3395189,-0.12226429,0.19872135,-0.2677861,0.06678661,-0.038828027
-0.2687748,1.1957822,-0.24471898,0.7984882,0.7432357,0.63659596,0.71702164,0.4314231,0.6556531,1.1335175,-0.31664407,-0.30347067,0.5202619,1.3594245,1.2822537,0.7611698,0.8246381,-0.09942992,0.6064108,0.38541394,0.62116396,0.60341984,0.3137869,-0.16266677,0.1708321,-0.31977916,0.017456822,-0.07338418
-0.33072945,1.2238218,-0.29058537,0.8009302,0.7472508,0.62855834,0.7206069,0.43028092,0.6590238,1.1578304,-0.35977256,-0.33653405,0.5679158,1.3897253,1.3131107,0.7619715,0.8299483,-0.15806143,0.59520876,0.35952634,0.6180221,0.6013361,0.2905633,-0.21619752,0.12920913,-0.36923042,-0.022801206,-0.11538779
-0.3824576,1.2560688,-0.33786678,0.8125459,0.75613177,0.6228628,0.7257097,0.42648903,0.6660864,1.1826563,-0.42056546,-0.37881184,0.6103242,1.4318054,1.3457158,0.76708156,0.8350748,-0.22114728,0.59545696,0.32851124,0.61453587,0.58616334,0.25690582,-0.26961216,0.09077096,-0.4138863,-0.07406699,-0.15956354
