方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.7076959086269201,gross_inadv_interchange_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|solar_generation_mw|gross_sched_interchange_mw|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_primary_reserve|wind_generation_mw|forecast_load_mw_latest_available|marginal_loss_price_rt|gen_fuel_hydro_mw|da_as_ss_mw_primary_reserve|da_as_mcp_primary_reserve|gen_fuel_oil_mw|total_pjm_loc_credit|gen_fuel_oil_pct|total_lmp_rt|da_as_as_mw_thirty_minutes_reserve|da_as_mcp_synchronized_reserve
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.6929562007804915,gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gross_inadv_interchange_mw|wind_generation_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_solar_mw|da_as_as_req_mw_primary_reserve|gross_sched_interchange_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct|gen_fuel_oil_pct|prelim_load_avg_hourly|da_as_ss_mw_primary_reserve|gen_fuel_solar_pct|da_as_as_mw_synchronized_reserve|marginal_loss_price_rt|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|total_pjm_loc_credit|system_energy_price_rt
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.6728232558815715,gen_fuel_oil_mw|marginal_loss_price_rt|forecast_load_mw_latest_available|gross_inadv_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_mcp_primary_reserve|gen_fuel_nuclear_mw|gen_fuel_solar_mw|da_as_as_mw_synchronized_reserve|wind_generation_mw|gen_fuel_wind_mw|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_mw|system_energy_price_rt|total_pjm_loc_credit|rmccp|gen_fuel_oil_pct|total_pjm_rmpcp_cr|da_as_as_mw_thirty_minutes_reserve
XGBoost,树模型特征重要性（2016）,0.640927478869806,gen_fuel_oil_mw|da_as_as_req_mw_primary_reserve|prelim_load_avg_hourly|da_as_as_req_mw_thirty_minutes_reserve|total_lmp_rt|da_as_as_mw_synchronized_reserve|gen_fuel_oil_pct|gen_fuel_solar_mw|forecast_load_mw_latest_available|total_pjm_rmccp_cr|gen_fuel_solar_pct|marginal_loss_price_rt|gross_inadv_interchange_mw|da_as_mcp_primary_reserve|system_energy_price_rt|gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct
Lasso,线性稀疏（1996）,0.3330694094202623,gen_fuel_oil_mw|wind_generation_mw|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_ss_mw_primary_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_rt|total_lmp_rt
Pearson,相关系数排序（只看两两关系）,0.6303145748553565,gen_fuel_oil_mw|gen_fuel_oil_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|total_lmp_rt|system_energy_price_rt|gross_inadv_interchange_mw|gen_fuel_nuclear_pct|gen_fuel_hydro_mw|gen_fuel_other_renewables_pct|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw
