epoch,active_gt_0.1,active_gt_0.01,active_gt_0.001,active_gt_0.0001
0,55,55,55,55
1,55,55,55,55
2,55,55,55,55
3,55,55,55,55
4,55,55,55,55
5,55,55,55,55
6,50,55,55,55
7,36,55,55,55
8,30,55,55,55
9,23,55,55,55
10,19,54,55,55
11,14,48,55,55
12,12,44,55,55
13,11,39,54,55
14,11,35,54,55
15,10,31,47,55
16,10,29,45,54
17,10,28,43,54
18,10,24,42,49
19,10,22,38,46
20,10,20,33,44
21,10,19,31,44
22,9,18,31,43
23,7,18,30,37
24,7,18,28,33
25,7,17,25,31
26,7,17,24,31
27,7,17,23,31
28,7,17,23,29
29,7,17,21,25
30,7,17,20,25
31,7,17,20,23
32,7,17,18,23
33,5,17,17,22
34,5,17,17,21
35,5,16,17,20
36,5,16,17,20
37,5,16,17,20
38,5,16,17,18
39,5,16,17,18
40,5,16,17,17
41,5,16,17,17
42,5,16,17,17
43,5,16,17,17
44,5,16,17,17
45,5,16,17,17
46,5,16,17,17
47,5,16,17,17
48,5,16,17,17
49,5,16,17,17
50,5,16,17,17
51,5,16,17,17
52,5,16,17,17
53,5,16,16,17
54,4,16,16,17
55,4,16,16,17
56,4,16,16,17
57,4,16,16,17
58,4,16,16,16
59,4,15,16,16
60,3,15,16,16
61,3,15,16,16
62,3,15,16,16
63,3,15,16,16
64,3,15,16,16
65,3,15,16,16
66,3,15,16,16
67,3,15,16,16
68,3,15,16,16
69,3,15,16,16
70,3,14,16,16
71,3,14,16,16
72,3,14,16,16
73,3,14,16,16
74,3,14,16,16
75,3,14,16,16
76,3,14,16,16
77,3,14,16,16
78,3,14,16,16
79,3,14,16,16
80,3,14,16,16
81,3,14,16,16
82,3,14,15,16
83,3,14,15,16
84,3,13,15,16
85,3,12,15,16
86,3,12,15,16
87,3,12,15,16
88,3,12,15,16
89,3,12,15,16
90,3,12,15,16
91,2,12,15,16
92,2,12,15,15
93,2,12,15,15
94,2,12,15,15
95,2,12,15,15
96,2,12,14,15
97,2,12,14,15
98,2,11,14,15
99,2,11,14,15
100,2,11,14,15
101,2,11,14,15
102,2,11,14,15
103,2,11,14,15
104,2,11,14,15
105,2,11,14,15
106,2,11,14,15
107,2,11,14,15
108,2,11,14,15
109,2,10,14,14
110,2,10,14,14
111,2,10,14,14
112,2,11,14,14
113,2,10,14,14
114,2,10,14,14
115,2,10,14,14
116,2,10,14,14
117,2,10,14,14
118,2,10,14,14
119,2,10,14,14
120,2,10,14,14
121,2,10,14,14
122,2,10,14,14
123,2,10,14,14
124,2,10,14,14
125,2,10,14,14
126,2,10,14,14
127,2,10,14,14
128,2,10,14,14
129,2,10,14,14
130,2,10,14,14
131,2,10,14,14
132,2,10,14,14
133,2,10,14,14
134,2,10,14,14
135,2,10,14,14
136,2,10,14,14
137,2,10,14,14
138,2,10,14,14
139,2,10,14,14
140,2,10,14,14
141,2,10,14,14
142,2,10,14,14
143,2,9,14,14
144,2,10,14,14
145,2,9,14,14
146,2,9,14,14
147,2,9,14,14
148,2,8,14,14
149,2,8,14,14
150,2,8,14,14
151,2,8,14,14
152,2,8,14,14
153,2,8,14,14
154,2,8,14,14
155,2,8,14,14
156,2,8,14,14
157,2,8,14,14
158,2,8,14,14
159,2,8,14,14
160,2,8,14,14
161,2,8,14,14
162,2,8,14,14
163,2,8,14,14
164,2,8,14,14
165,2,8,14,14
166,2,8,14,14
167,1,8,14,14
168,1,8,14,14
169,1,8,14,14
170,1,8,14,14
171,1,8,14,14
172,1,8,14,14
173,1,8,14,14
174,1,8,14,14
175,1,8,14,14
176,1,8,14,14
177,1,8,14,14
178,1,8,14,14
179,1,8,14,14
180,1,8,14,14
181,1,8,14,14
182,1,8,13,14
183,1,8,13,14
184,1,8,13,14
185,1,8,13,14
186,1,8,13,14
187,1,8,13,14
188,1,8,13,14
189,1,8,13,14
190,1,8,13,14
191,1,8,13,14
192,1,8,13,14
193,1,8,13,14
194,1,8,13,14
195,1,8,13,14
196,1,8,13,14
197,1,8,13,13
198,1,8,13,13
199,1,8,13,13
200,1,8,13,13
