rank_by_gate_abs,feature_index,feature,final_gate,final_gate_abs,best_epoch_gate,final_effective_group_l2,selected_by_active_threshold,selected_by_largest_log_gap
1,40,prelim_load_avg_hourly,0.2304610162973404,0.2304610162973404,0.24638748168945312,0.10381222516298294,True,True
2,5,gen_fuel_gas_mw,0.22548015415668488,0.22548015415668488,0.2514452338218689,0.08382738381624222,True,True
3,32,gen_fuel_coal_mw,0.1230672299861908,0.1230672299861908,0.1371515393257141,0.0508466474711895,True,True
4,51,gen_fuel_solar_mw,0.07269798219203949,0.07269798219203949,0.07910193502902985,0.030988045036792755,True,True
5,4,gen_fuel_nuclear_mw,0.057181209325790405,0.057181209325790405,0.06104159355163574,0.023782996460795403,True,True
6,42,gen_fuel_hydro_mw,0.054654188454151154,0.054654188454151154,0.05806087329983711,0.022256534546613693,True,True
7,19,gen_fuel_wind_mw,0.04583507403731346,0.04583507403731346,0.04889576882123947,0.017347443848848343,True,True
8,3,gross_sched_interchange_mw,0.033553700894117355,0.033553700894117355,0.03438347950577736,0.012211725115776062,True,True
9,44,total_losses,0.025073161348700523,0.025073161348700523,0.025583837181329727,0.008214104920625687,True,True
10,10,da_as_as_mw_primary_reserve,0.02099241130053997,0.02099241130053997,0.02181681990623474,0.0063789659179747105,True,True
11,35,gen_fuel_oil_mw,0.020120806992053986,0.020120806992053986,0.021001774817705154,0.005787884816527367,True,True
12,22,gen_fuel_multiple_fuels_pct,0.018469778820872307,0.018469778820872307,0.019767267629504204,0.0053672571666538715,True,True
13,12,da_as_as_mw_synchronized_reserve,0.01781439408659935,0.01781439408659935,0.01811419427394867,0.005105986259877682,True,True
14,37,total_pjm_rt_load_mwh,0.0008030285243876278,0.0008030285243876278,0.011722824536263943,3.920746530639008e-05,False,True
15,47,total_pjm_self_sched_reg,-0.0,0.0,0.0,0.0,False,False
16,49,da_as_ss_mw_thirty_minutes_reserve,-0.0,0.0,0.0,0.0,False,False
17,50,da_as_ss_mw_primary_reserve,0.0,0.0,-0.0,0.0,False,False
18,52,gen_fuel_coal_pct,-0.0,0.0,0.0,0.0,False,False
19,53,congestion_price_rt,-0.0,0.0,-0.0,0.0,False,False
20,55,congestion_price_da,-0.0,0.0,0.0,0.0,False,False
21,45,net_inadv_interchange_mw,0.0,0.0,-0.0,0.0,False,False
22,48,da_as_ss_mw_synchronized_reserve,0.0,0.0,0.0,0.0,False,False
23,54,da_as_mcp_synchronized_reserve,-0.0,0.0,0.0,0.0,False,False
24,33,wind_generation_mw,0.0,0.0,0.0,0.0,False,False
25,34,gross_inadv_interchange_mw,0.0,0.0,0.0,0.0,False,False
26,36,da_as_mcp_primary_reserve,0.0,0.0,-0.0,0.0,False,False
27,38,metered_load_mw,0.0,0.0,0.0,0.0,False,False
28,39,forecast_load_mw_latest_available,0.0,0.0,-0.0,0.0,False,False
29,46,da_as_nsr_mw_primary_reserve,-0.0,0.0,-0.0,0.0,False,False
30,43,total_pjm_loc_credit,0.0,0.0,-0.0,0.0,False,False
31,41,gross_actual_interchange_mw,0.0,0.0,0.0,0.0,False,False
32,25,gen_fuel_gas_pct,0.0,0.0,0.0,0.0,False,False
33,26,marginal_loss_price_da,-0.0,0.0,0.0,0.0,False,False
34,23,gen_fuel_multiple_fuels_mw,-0.0,0.0,0.0,0.0,False,False
35,31,gen_fuel_wind_pct,-0.0,0.0,0.0,0.0,False,False
36,28,rmccp,0.0,0.0,-0.0,0.0,False,False
37,27,total_lmp_rt,0.0,0.0,0.0,0.0,False,False
38,30,rmpcp,0.0,0.0,0.0,0.0,False,False
39,29,system_energy_price_rt,0.0,0.0,-0.0,0.0,False,False
40,17,forecast_load_mw_day_ahead,0.0,0.0,-0.0,0.0,False,False
41,18,total_pjm_rmccp_cr,-0.0,0.0,-0.0,0.0,False,False
42,20,da_as_total_mw_synchronized_reserve,0.0,0.0,-0.0,0.0,False,False
43,21,system_energy_price_da,-0.0,0.0,-0.0,0.0,False,False
44,24,marginal_loss_price_rt,-0.0,0.0,0.0,0.0,False,False
45,13,total_pjm_reg_purchases,0.0,0.0,0.0,0.0,False,False
46,16,total_pjm_rmpcp_cr,0.0,0.0,-0.0,0.0,False,False
47,15,total_lmp_da,0.0,0.0,-0.0,0.0,False,False
48,9,total_pjm_assigned_reg,0.0,0.0,-0.0,0.0,False,False
49,11,da_as_total_mw_primary_reserve,-0.0,0.0,0.0,0.0,False,False
50,14,gen_fuel_other_renewables_mw,-0.0,0.0,-0.0,0.0,False,False
51,8,da_as_as_req_mw_synchronized_reserve,0.0,0.0,-0.0,0.0,False,False
52,6,da_as_as_req_mw_thirty_minutes_reserve,0.0,0.0,0.0,0.0,False,False
53,7,da_as_as_req_mw_primary_reserve,-0.0,0.0,0.0,0.0,False,False
54,2,da_as_total_mw_thirty_minutes_reserve,-0.0,0.0,-0.0,0.0,False,False
55,1,da_as_as_mw_thirty_minutes_reserve,0.0,0.0,-0.0,0.0,False,False
