source_row_index,train_position,xi,y_true,y_pred_C_oof,residual,residual_std
1476,0,prelim_load_avg_hourly,-3125.317,-3512.4663,387.1494,0.31404126
6571,1,prelim_load_avg_hourly,-2933.829,-2486.4624,-447.3667,-0.33926743
2732,2,prelim_load_avg_hourly,-264.923,-912.2512,647.32825,0.51772463
4003,3,prelim_load_avg_hourly,-3839.132,-4367.4883,528.3562,0.4245863
4752,4,prelim_load_avg_hourly,-3127.143,-5729.7314,2602.5884,2.0484183
4779,5,prelim_load_avg_hourly,-5970.133,-5173.0166,-797.1162,-0.6130721
6954,6,prelim_load_avg_hourly,-2873.364,-1173.3799,-1699.9841,-1.3198906
831,7,prelim_load_avg_hourly,-5116.203,-3389.9124,-1726.2908,-1.340485
5979,8,prelim_load_avg_hourly,-6811.342,-5694.077,-1117.2646,-0.86370325
1082,9,prelim_load_avg_hourly,-3442.301,-2935.213,-507.08813,-0.38602093
6543,10,prelim_load_avg_hourly,-1344.041,-924.39844,-419.64258,-0.31756335
7540,11,prelim_load_avg_hourly,-1975.062,-3266.7925,1291.7305,1.022201
1608,12,prelim_load_avg_hourly,-2943.927,-1707.555,-1236.372,-0.9569475
7202,13,prelim_load_avg_hourly,278.228,-1743.4758,2021.7039,1.5936674
8350,14,prelim_load_avg_hourly,-1144.13,-1973.2528,829.1228,0.6600442
8208,15,prelim_load_avg_hourly,-1576.407,-3133.6597,1557.2527,1.2300675
1967,16,prelim_load_avg_hourly,-2834.543,-3521.675,687.1321,0.54888546
1216,17,prelim_load_avg_hourly,-7774.717,-5739.244,-2035.4727,-1.582531
2306,18,prelim_load_avg_hourly,-3528.222,-1973.5381,-1554.6838,-1.2061409
6686,19,prelim_load_avg_hourly,-4315.135,244.92603,-4560.0605,-3.558928
87,20,prelim_load_avg_hourly,-4703.463,-5670.706,967.24316,0.76817304
8614,21,prelim_load_avg_hourly,-2967.257,-3283.015,315.7578,0.25815168
280,22,prelim_load_avg_hourly,-3721.811,-3460.108,-261.70312,-0.193919
7431,23,prelim_load_avg_hourly,495.285,-104.85083,600.13586,0.48077968
1717,24,prelim_load_avg_hourly,-3032.548,-4268.299,1235.7507,0.9783767
1556,25,prelim_load_avg_hourly,-1844.37,-3054.8389,1210.4689,0.95858455
3594,26,prelim_load_avg_hourly,-2748.181,-2686.0347,-62.14624,-0.037694037
1025,27,prelim_load_avg_hourly,-3042.831,-3206.386,163.55493,0.13899823
7776,28,prelim_load_avg_hourly,1031.221,208.52417,822.6968,0.65501356
7031,29,prelim_load_avg_hourly,979.201,-718.3696,1697.5706,1.3399166
3357,30,prelim_load_avg_hourly,-4247.242,-2341.3374,-1905.9048,-1.4810975
451,31,prelim_load_avg_hourly,-6243.505,-6074.6855,-168.81934,-0.121204056
6194,32,prelim_load_avg_hourly,-6128.497,-4339.585,-1788.9121,-1.3895087
470,33,prelim_load_avg_hourly,-7516.694,-7242.3647,-274.3291,-0.20380335
8201,34,prelim_load_avg_hourly,-2445.973,-2979.387,533.41406,0.4285459
8496,35,prelim_load_avg_hourly,-2497.222,-3414.3972,917.1753,0.7289769
