epoch,train_loss,train_r2,test_loss,test_r2,train_total_loss,train_mse_loss,train_reg_loss,active_features
1,0.664149251423384,0.33585065603256226,0.6025189412076298,0.3702896237373352,0.9328178751568682,0.8148083658753962,39.33650269351962,40
2,0.5303175263959292,0.46968239545822144,0.48009183521314364,0.4982418417930603,0.7211414572166905,0.6061219716036848,38.33982840391809,40
3,0.46314523174142586,0.5368546843528748,0.4159284486866942,0.5653009414672852,0.6209062003821112,0.5076744111835911,37.74392887292974,40
4,0.4262221984076509,0.5737777948379517,0.4168161271457992,0.5643731355667114,0.5700389403341201,0.4581272480291869,37.30389721606362,40
5,0.38926582254361414,0.6107341051101685,0.3724221784348895,0.610770583152771,0.5226486598963413,0.41189363777842075,36.91834075863719,40
6,0.35983260366056913,0.6401673555374146,0.36956703331230617,0.6137546300888062,0.49745525953926084,0.38744301356881017,36.67074932095479,40
7,0.34131256022371925,0.6586874127388,0.35284107230694556,0.6312353610992432,0.4781480735945029,0.3690657252055102,36.360782444340686,40
8,0.3220394367933228,0.6779605746269226,0.3457708647701798,0.6386246681213379,0.46299488048554377,0.35465476434595433,36.1133716839311,40
9,0.30903684854518815,0.690963089466095,0.34276323698506483,0.6417679786682129,0.44292506389746134,0.33530270004777124,35.87412072100956,40
10,0.3034040968805483,0.6965958476066589,0.33862369941411224,0.6460943818092346,0.43239142197311425,0.32559704978919773,35.59812443207276,40
11,0.28979936427089387,0.7102006077766418,0.3340987341205885,0.6508235931396484,0.4179188480116228,0.3117475202925145,35.390441842155546,40
12,0.2835605645553698,0.7164393663406372,0.334214591557478,0.6507024765014648,0.40434105651102203,0.29887069118707166,35.15678850664245,40
13,0.2694202209250969,0.7305797338485718,0.3303658485912332,0.6547248959541321,0.39892044943607463,0.2941008128913462,34.93987873144317,40
14,0.25899619044924993,0.7410037517547607,0.32636954487733,0.658901572227478,0.3828646145266581,0.2786470207063912,34.739197631358735,40
15,0.27067087994764816,0.7293291091918945,0.3437854727366712,0.6406996250152588,0.3818387275975138,0.27827740073044915,34.52044255527988,40
16,0.24500306494801122,0.7549968957901001,0.3237811681337473,0.6616067290306091,0.3689932456562575,0.26607764579645554,34.305199127721025,40
17,0.23497525874516784,0.765024721622467,0.3245787391802523,0.6607731580734253,0.3587168819241902,0.25635426665118505,34.1208717191974,40
18,0.23802025282569372,0.7619796991348267,0.32623388168470163,0.6590433120727539,0.35183510226343173,0.25008296229451055,33.91737966879373,40
19,0.23250811128194418,0.76749187707901,0.3304413639508733,0.6546459794044495,0.3478678270924373,0.2466401613419016,33.74255502760456,40
20,0.24034159951633757,0.7596583366394043,0.35031698198943606,0.6338733434677124,0.33738609087389904,0.23672463573532465,33.55381787123342,40
21,0.23318023340880278,0.7668197154998779,0.3439217530100084,0.6405572295188904,0.33442748295360625,0.234331459560006,33.365341025031675,40
22,0.2138148403686026,0.7861851453781128,0.3159199674136755,0.6698227524757385,0.3318752101150112,0.23234333206482466,33.17729240405841,40
23,0.21461844507357622,0.785381555557251,0.34143560845404863,0.643155574798584,0.31601197347556426,0.21702795052896648,32.994674372727594,40
24,0.2036223900138559,0.7963775396347046,0.3299528661570171,0.6551564931869507,0.31668758053051255,0.218241026671923,32.81551825190936,40
25,0.21282586955176247,0.7871741056442261,0.3398178231607123,0.6448463797569275,0.30759646047921146,0.2096479964264243,32.64948805773376,40
26,0.2046266596460279,0.7953733205795288,0.3403148910076153,0.6443268060684204,0.3038329124382486,0.20640609899861134,32.475604296639894,40
