area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_solar_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5039432,0.5742798,0.40839908,0.5245835,0.51365846,0.55145365,0.48683596,0.5199495,0.58710915,0.4437059,0.47406653,0.4306671,0.49700898,0.52621967,0.5616613,0.4122472,0.5766339,0.5179475,0.5649518,0.60803586
0.48259398,0.6108546,0.3845398,0.5405088,0.48952642,0.58920896,0.486299,0.5174609,0.62899745,0.4216533,0.47368363,0.39056912,0.4930334,0.5274398,0.60541385,0.40077627,0.62661475,0.54603106,0.6353174,0.66697824
0.4850918,0.63122725,0.35435486,0.5439174,0.46741182,0.62491417,0.47655973,0.52348363,0.663035,0.40509862,0.48891538,0.34488553,0.48797047,0.53223777,0.6375351,0.3820847,0.67126137,0.5676709,0.68751925,0.7305919
0.4636604,0.65957916,0.32345706,0.5466152,0.43737766,0.6618294,0.47066763,0.5260728,0.6886735,0.37806576,0.48365915,0.28876102,0.47112888,0.5231046,0.6738778,0.3557412,0.70008314,0.5860352,0.7481371,0.7868784
0.44672787,0.6877102,0.27355915,0.54544175,0.4242572,0.7036359,0.4608142,0.5484697,0.73267,0.3638064,0.49878523,0.23411873,0.44761166,0.52093697,0.6952811,0.3188482,0.73330694,0.6033308,0.8040518,0.8452465
0.42503205,0.7069395,0.22196946,0.5480315,0.3965886,0.73166066,0.4407078,0.5421521,0.75457406,0.31609413,0.5041532,0.17020239,0.43502608,0.5045377,0.72615147,0.2935723,0.7576759,0.6215736,0.84782255,0.88948756
0.39548653,0.7272053,0.1561731,0.54904383,0.37708414,0.7562455,0.42387733,0.5504338,0.7824798,0.2817971,0.49638095,0.105073474,0.40752733,0.49499047,0.7602438,0.25324917,0.7717354,0.62648666,0.9072764,0.93844646
0.36355874,0.7545362,0.08999879,0.5494156,0.35467598,0.7818305,0.41117552,0.5576852,0.80226487,0.26459748,0.4861497,0.054867584,0.38917294,0.47362778,0.79364145,0.2191447,0.7960109,0.6305712,0.94804806,0.9811238
0.32310042,0.78483003,0.026846647,0.5433958,0.33046043,0.8080486,0.38860083,0.5610008,0.8168955,0.22751759,0.4698303,0.0068483045,0.36937237,0.4572257,0.82924587,0.17130026,0.8198782,0.6551664,0.99359536,1.022981
