gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,total_pjm_reg_purchases,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5622722,0.45145985,0.49267825,0.56642926,0.5077515,0.58313835,0.4419636,0.5090273,0.61473495,0.44949335,0.49053776,0.49156424,0.4541109,0.51488125,0.543024,0.45262763,0.5203936,0.5334952,0.4504038,0.45654154,0.47363955,0.49520734
0.5923459,0.43124706,0.5099312,0.6328872,0.49169257,0.5804998,0.456036,0.48488206,0.6970636,0.413038,0.46805012,0.46111855,0.4178162,0.49379355,0.5436971,0.4133927,0.54746026,0.5207807,0.41176173,0.41558424,0.47991222,0.47823104
0.60391533,0.40279865,0.5073167,0.68654096,0.49338302,0.5926561,0.4780855,0.4507426,0.7765969,0.35544154,0.4458574,0.43485346,0.37669685,0.49194843,0.5460757,0.36239365,0.595099,0.5113008,0.38980097,0.35709253,0.4747026,0.4597845
0.62984854,0.3704431,0.51136965,0.7084436,0.4859952,0.6078816,0.49648777,0.42509004,0.8386194,0.2874957,0.40875074,0.3855255,0.32020617,0.4694446,0.5277509,0.30122554,0.6349321,0.49931303,0.34018406,0.3349369,0.4782281,0.4506836
0.65008205,0.33620897,0.50410736,0.75607663,0.47706917,0.6184657,0.51780754,0.3886023,0.8954221,0.2066343,0.3772892,0.34549913,0.26961452,0.4356506,0.5133144,0.23350279,0.6850693,0.4890532,0.29576614,0.27366167,0.4756213,0.43501693
0.6640289,0.31224567,0.50409424,0.7984003,0.4715565,0.6345554,0.5234378,0.3463556,0.9424166,0.11757435,0.3334479,0.30413747,0.21723212,0.3965069,0.49680924,0.14656128,0.72552276,0.47299615,0.24941474,0.22852677,0.46047774,0.41753575
0.6921637,0.284615,0.49526688,0.82973737,0.47045407,0.6391775,0.5591376,0.29601207,1.0005685,0.024150226,0.28736526,0.23551422,0.15179347,0.3612179,0.47739255,0.04996029,0.77133733,0.44891962,0.21521902,0.15987007,0.45614827,0.38499644
0.7122768,0.2520059,0.48401445,0.86062,0.45453107,0.64720815,0.5610712,0.24679357,1.0559142,-0.07162736,0.23948422,0.18154922,0.085451104,0.3240275,0.44344723,-0.0389053,0.816249,0.43245873,0.16808157,0.09533003,0.44964212,0.34729734
0.7306024,0.20949362,0.4703315,0.88874054,0.436977,0.6489875,0.566612,0.19330075,1.1012207,-0.17422357,0.18627982,0.12733984,0.015916359,0.28216204,0.41545016,-0.14059316,0.8459235,0.41602895,0.115195066,0.044503134,0.4319144,0.30991712
