solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6725893,0.6758816,0.71739,0.6681144,0.80257326,0.7028037,0.81883514,0.67729783,0.72762007,0.68169814,0.6744679,0.68152755,0.8111078,0.7052602,0.8715425,0.6732936,0.6790907,0.70739365,0.76746696,0.97855,0.7347559,0.8002594,0.6788401,0.6689141,0.8447617,0.7266425,0.773876,0.6869474,0.74400085,0.68256027,0.7460915,0.64819694,0.8762427,0.67302114
0.4965681,0.48273045,0.57562435,0.44950426,0.7076999,0.53429556,0.70627767,0.4640833,0.57229954,0.50147605,0.52141935,0.4522358,0.6890573,0.50951713,0.79142594,0.49795556,0.4837273,0.52416074,0.6147641,0.9593349,0.61103773,0.69181806,0.45065808,0.46887162,0.7843277,0.55933005,0.66100967,0.4784373,0.5547657,0.4853035,0.5980631,0.42746413,0.8675802,0.47289556
0.37121582,0.36628658,0.49255276,0.29734734,0.642408,0.41472927,0.6228547,0.30073333,0.4796197,0.40351206,0.44297436,0.30158454,0.5784597,0.36186337,0.74098533,0.38156587,0.33406594,0.40390563,0.5050396,0.9240887,0.5247358,0.58712345,0.29438704,0.35873467,0.729908,0.42723596,0.62395436,0.33368075,0.42018828,0.35692728,0.5077017,0.301544,0.8576943,0.35301462
0.2840307,0.29798827,0.43576872,0.2009607,0.55985856,0.3212745,0.53274536,0.19491126,0.41624597,0.357364,0.41033626,0.22072375,0.48442578,0.2503467,0.6789629,0.29285347,0.22676623,0.31494558,0.40615827,0.8771061,0.44920698,0.49784976,0.20048599,0.31291646,0.67223287,0.3182547,0.5799744,0.22923183,0.31986332,0.26740098,0.3959966,0.22328024,0.8359776,0.2764524
0.2246808,0.2483373,0.38222036,0.13737641,0.51741534,0.25876796,0.45513645,0.12210302,0.38123685,0.3315299,0.37582323,0.16052844,0.41592237,0.17301236,0.6335375,0.23814699,0.15247126,0.24284387,0.3374723,0.8529995,0.40095484,0.42017302,0.13879219,0.27918282,0.6306036,0.243934,0.56709313,0.15788032,0.24793293,0.20180267,0.33143884,0.1716288,0.7990669,0.23996249
0.19224559,0.20860016,0.33865783,0.10042066,0.46259034,0.22203144,0.3875727,0.075227365,0.34913883,0.31312913,0.3491147,0.13352714,0.34844276,0.11406691,0.6048186,0.19466546,0.10425323,0.1855945,0.28180748,0.82899785,0.35877812,0.37037885,0.092262775,0.25229898,0.599911,0.18247199,0.51849353,0.10507541,0.19856758,0.15233861,0.27447996,0.13898821,0.78362787,0.20903827
0.16055103,0.17523092,0.303191,0.074103355,0.42339835,0.17894094,0.33010235,0.04432882,0.314551,0.29611033,0.33850852,0.11820645,0.29022434,0.07560677,0.55837333,0.1646727,0.06956361,0.14617491,0.24744363,0.7927415,0.33079413,0.3127086,0.061978135,0.24022242,0.5752078,0.14502524,0.5008782,0.07246157,0.17693534,0.12364822,0.22394441,0.11907639,0.7688361,0.18572211
0.14831692,0.15698339,0.2755635,0.052311916,0.3909508,0.16482839,0.27483484,0.025339002,0.29249263,0.3041894,0.32678923,0.096724726,0.2408648,0.047022883,0.54293764,0.15102024,0.04797104,0.10667736,0.21141346,0.78783643,0.30212766,0.26423854,0.040061966,0.22413887,0.5127784,0.117946245,0.47825265,0.046579603,0.1579764,0.09773038,0.19727708,0.10481396,0.74260944,0.18464324
0.13900422,0.13287687,0.24945451,0.039674807,0.36584285,0.1441202,0.23591538,0.0135047445,0.2833292,0.28062072,0.31883746,0.09078192,0.20000781,0.030126765,0.5071277,0.1331261,0.03042743,0.08475723,0.19405448,0.77013654,0.28824693,0.23809527,0.025534738,0.2125274,0.49413148,0.1078292,0.4595976,0.02899207,0.14240819,0.07936246,0.156427,0.08739483,0.73246664,0.16527447
