center,method,feature_count,best_test_r2,best_train_r2,best_epoch,final_test_r2,final_train_r2,generalization_gap_final
congestion_price_da,DNN_AllFeatures,69,0.9407544732093811,0.9928767085075378,141,0.9247636795043945,0.9868335127830505,0.062069833278656006
congestion_price_da,L1GateDNN,69,0.9999684691429138,0.9999682307243348,194,0.9996671676635742,0.9995805025100708,-8.666515350341797e-05
congestion_price_da,DNN_SelectedByL1,2,0.9953500628471375,0.9966986179351807,139,0.9867492914199829,0.9892977476119995,0.0025484561920166016
da_as_total_mw_primary_reserve,DNN_AllFeatures,67,0.8494500517845154,0.986961305141449,74,0.8390399217605591,0.9829182028770447,0.1438782811164856
da_as_total_mw_primary_reserve,L1GateDNN,67,0.8639489412307739,0.9766282439231871,87,0.8582673668861389,0.9752506613731384,0.11698329448699951
da_as_total_mw_primary_reserve,DNN_SelectedByL1,35,0.8580056428909302,0.9784020781517029,112,0.8514227271080017,0.9761175513267517,0.12469482421875
