solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.82206863,0.90323573,0.84085083,0.78204966,0.8201748,0.8553318,0.9881753,0.77028704,0.8035437,0.736635,0.78298604,0.8133955,0.87006354,0.9697879,0.98125756,0.7464902,0.78195125,0.94295084,0.82700694,0.9260779,0.79512525,0.88430214,0.7130226,0.72516686,0.9056782,0.8239946,0.8128788,0.7811371,0.80938095,0.8709163,0.7357241,0.75849265,0.8306502,1.0689768,1.1464013,0.75490886
0.69067115,0.86783916,0.82388425,0.64473957,0.7897532,0.7974526,0.9562619,0.5966666,0.7081934,0.62470645,0.7514853,0.6929648,0.8305573,0.88798803,0.9641832,0.56262654,0.68896985,0.88331485,0.74925095,0.9118027,0.6801137,0.833086,0.56142867,0.61274207,0.8711704,0.7649423,0.77747685,0.69267106,0.7417131,0.80573624,0.63526976,0.63274693,0.7418147,1.0819585,1.1397766,0.66608095
0.6158146,0.8490012,0.780527,0.5606568,0.7574139,0.81481296,0.91809624,0.51627123,0.64144295,0.5597404,0.75286126,0.6139978,0.82507634,0.8259539,0.9448642,0.48480135,0.5977998,0.8327101,0.6744291,0.87070143,0.5911046,0.7941375,0.47381735,0.5511136,0.83348113,0.74757206,0.7520537,0.687629,0.7257582,0.74268275,0.5632334,0.53667885,0.6608122,1.0679395,1.1092856,0.61524814
0.5494592,0.8216998,0.7433151,0.5044258,0.6983076,0.79728496,0.87608457,0.46829656,0.6060871,0.5200065,0.7511022,0.5846826,0.7873355,0.7642359,0.9129987,0.4399434,0.5444587,0.7415448,0.6103148,0.8523162,0.5039885,0.78054607,0.4239285,0.5169952,0.8067978,0.71271235,0.7386127,0.65276784,0.6971386,0.66949564,0.5007074,0.46625382,0.5958745,1.0570042,1.0863131,0.5931834
0.50999,0.8076149,0.71584976,0.45531294,0.65008044,0.8012935,0.8709874,0.42727178,0.573525,0.49509832,0.74627036,0.5497446,0.76501733,0.73741585,0.92955935,0.41986302,0.4993217,0.6950969,0.56060743,0.8724139,0.44295534,0.744263,0.37482807,0.48648095,0.7782241,0.7114174,0.7196032,0.622305,0.6560328,0.6033829,0.4444265,0.4174066,0.5694142,1.0433228,1.0593672,0.5648332
0.46433085,0.77529556,0.6696039,0.40889123,0.605013,0.76228565,0.8367204,0.39190167,0.5422563,0.46531618,0.7408597,0.5146727,0.7355599,0.69128174,0.8948403,0.41816688,0.4605536,0.62155694,0.5204535,0.85177475,0.3818496,0.71114546,0.34452426,0.455497,0.7813096,0.708122,0.70769644,0.5893767,0.6160137,0.546454,0.40176854,0.37268436,0.5351989,1.0402544,1.0378777,0.5595358
0.44597515,0.75968236,0.62271124,0.38083526,0.5521275,0.7177596,0.8105843,0.36533645,0.5222389,0.45835936,0.72699183,0.49891979,0.6986368,0.6508488,0.88147795,0.40074462,0.4343706,0.5598178,0.489767,0.8243185,0.3269211,0.69622606,0.33346516,0.43792355,0.79247284,0.70089763,0.7075714,0.5395176,0.56853664,0.49899012,0.3716723,0.3451139,0.4979072,1.0225571,1.0242234,0.5613479
0.42308888,0.72470856,0.5897417,0.36952204,0.5022645,0.68146366,0.79755676,0.35181013,0.5080148,0.44504204,0.72073126,0.4827663,0.6673272,0.6232258,0.8749816,0.38698593,0.40975848,0.48749468,0.4398888,0.85456663,0.28681502,0.6770791,0.30794325,0.43659735,0.7636315,0.70073706,0.7022644,0.5116911,0.5620503,0.4582792,0.33007744,0.30748203,0.48652512,1.0094582,0.99842924,0.5507775
0.39846185,0.69957054,0.5634074,0.34676817,0.4612518,0.6572972,0.7593816,0.322668,0.48622063,0.4172107,0.722274,0.46388495,0.62526894,0.5953842,0.84863275,0.38220498,0.38415438,0.44077566,0.41600907,0.83722657,0.25424552,0.640691,0.27831015,0.4207615,0.7548431,0.69045895,0.6843913,0.4872667,0.5226091,0.4127751,0.2975749,0.2700419,0.47167403,1.0045854,0.99620485,0.5330827
