head_id,anchor,group_size,candidate_group,residual_val_mse,residual_val_r2,reconstructed_y_val_mse,reconstructed_y_val_r2,anchor_sensitivity,anchor_status,threshold_ratio
10,rmccp,17,rmccp;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.523016631603241,0.48662298917770386,853390.9375,0.8729677796363831,0.025038540363311768,active_anchor,0.25
11,congestion_price_rt,17,congestion_price_rt;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_lmp_da;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.5026690363883972,0.5065954923629761,820190.0625,0.8779098987579346,-0.000873565673828125,inactive_or_dummy_anchor,0.25
12,marginal_loss_price_rt,15,marginal_loss_price_rt;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.5104907751083374,0.49891823530197144,832953.3125,0.8760101795196533,0.028951525688171387,active_anchor,0.25
13,da_as_total_mw_thirty_minutes_reserve,16,da_as_total_mw_thirty_minutes_reserve;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.5205680131912231,0.4890263080596924,849395.9375,0.8735624551773071,0.038826167583465576,active_anchor,0.25
14,total_pjm_rmccp_cr,16,total_pjm_rmccp_cr;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.5151049494743347,0.4943884015083313,840482.0,0.8748893141746521,0.02546900510787964,active_anchor,0.25
15,marginal_loss_price_da,15,marginal_loss_price_da;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;total_pjm_self_sched_reg;total_lmp_da;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.505011260509491,0.5042962431907654,824012.375,0.8773409128189087,0.0008574128150939941,active_anchor,0.25
16,net_inadv_interchange_mw,16,net_inadv_interchange_mw;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.5145345330238342,0.4949483275413513,839551.375,0.8750278353691101,0.0010778307914733887,active_anchor,0.25
17,gross_actual_interchange_mw,17,gross_actual_interchange_mw;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,0.517583429813385,0.49195578694343567,844525.75,0.8742873668670654,0.01023799180984497,active_anchor,0.25
18,da_as_mcp_primary_reserve,17,da_as_mcp_primary_reserve;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_lmp_da;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_pct;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;metered_load_mw,0.5296581983566284,0.4801035523414612,864228.0625,0.8713545799255371,0.004943251609802246,active_anchor,0.25
19,metered_load_mw,20,metered_load_mw;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_lmp_da;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_mw;gen_fuel_multiple_fuels_pct;rmccp;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;total_pjm_rmccp_cr;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve,0.5151183605194092,0.4943755865097046,840503.3125,0.8748860955238342,17.280452728271484,active_anchor,0.25
0,gen_fuel_other_renewables_mw,2,gen_fuel_other_renewables_mw;metered_load_mw,0.5003331899642944,0.5088882446289062,816378.75,0.8784772157669067,0.03154629468917847,active_anchor,0.35
1,congestion_price_da,6,congestion_price_da;gen_fuel_other_renewables_mw;total_pjm_loc_credit;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;metered_load_mw,0.5155397057533264,0.4939619302749634,841190.875,0.8747837543487549,0.01032036542892456,active_anchor,0.35
2,total_losses,4,total_losses;gen_fuel_other_renewables_mw;marginal_loss_price_rt;metered_load_mw,0.49383118748664856,0.5152705907821655,805769.3125,0.8800565004348755,0.055580586194992065,active_anchor,0.35
3,system_energy_price_da,3,system_energy_price_da;congestion_price_da;metered_load_mw,0.5120008587837219,0.49743518233299255,835417.0,0.8756431937217712,0.020273208618164062,active_anchor,0.35
4,total_pjm_self_sched_reg,6,total_pjm_self_sched_reg;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;da_as_total_mw_thirty_minutes_reserve;metered_load_mw,0.5185562372207642,0.4910009503364563,846112.75,0.8740510940551758,0.015653908252716064,active_anchor,0.35
5,total_lmp_da,2,total_lmp_da;metered_load_mw,0.511247992515564,0.4981745183467865,834188.8125,0.8758261203765869,0.017046630382537842,active_anchor,0.35
6,total_pjm_loc_credit,3,total_pjm_loc_credit;marginal_loss_price_da;metered_load_mw,0.514418363571167,0.4950625002384186,839361.875,0.8750560879707336,0.0005328655242919922,active_anchor,0.35
7,gross_inadv_interchange_mw,2,gross_inadv_interchange_mw;metered_load_mw,0.5218735337257385,0.4877449870109558,851526.3125,0.8732454180717468,0.06267654895782471,active_anchor,0.35
8,gen_fuel_multiple_fuels_mw,3,gen_fuel_multiple_fuels_mw;gen_fuel_other_renewables_mw;metered_load_mw,0.506908655166626,0.5024340748786926,827107.75,0.8768801093101501,0.015163898468017578,active_anchor,0.35
9,gen_fuel_multiple_fuels_pct,3,gen_fuel_multiple_fuels_pct;gen_fuel_other_renewables_mw;metered_load_mw,0.5228329300880432,0.486802875995636,853092.4375,0.8730123043060303,0.06751406192779541,active_anchor,0.35
10,rmccp,3,rmccp;da_as_total_mw_thirty_minutes_reserve;metered_load_mw,0.523016631603241,0.48662298917770386,853390.9375,0.8729677796363831,0.025038540363311768,active_anchor,0.35
11,congestion_price_rt,5,congestion_price_rt;gen_fuel_other_renewables_mw;congestion_price_da;marginal_loss_price_rt;metered_load_mw,0.5026690363883972,0.5065954923629761,820190.0625,0.8779098987579346,-0.000873565673828125,inactive_or_dummy_anchor,0.35
12,marginal_loss_price_rt,4,marginal_loss_price_rt;gen_fuel_other_renewables_mw;congestion_price_da;metered_load_mw,0.5104907751083374,0.49891823530197144,832953.3125,0.8760101795196533,0.028951525688171387,active_anchor,0.35
13,da_as_total_mw_thirty_minutes_reserve,3,da_as_total_mw_thirty_minutes_reserve;gen_fuel_other_renewables_mw;metered_load_mw,0.5205680131912231,0.4890263080596924,849395.9375,0.8735624551773071,0.038826167583465576,active_anchor,0.35
14,total_pjm_rmccp_cr,2,total_pjm_rmccp_cr;metered_load_mw,0.5151049494743347,0.4943884015083313,840482.0,0.8748893141746521,0.02546900510787964,active_anchor,0.35
15,marginal_loss_price_da,2,marginal_loss_price_da;metered_load_mw,0.505011260509491,0.5042962431907654,824012.375,0.8773409128189087,0.0008574128150939941,active_anchor,0.35
16,net_inadv_interchange_mw,3,net_inadv_interchange_mw;da_as_total_mw_thirty_minutes_reserve;metered_load_mw,0.5145345330238342,0.4949483275413513,839551.375,0.8750278353691101,0.0010778307914733887,active_anchor,0.35
17,gross_actual_interchange_mw,4,gross_actual_interchange_mw;gen_fuel_other_renewables_mw;gross_inadv_interchange_mw;metered_load_mw,0.517583429813385,0.49195578694343567,844525.75,0.8742873668670654,0.01023799180984497,active_anchor,0.35
18,da_as_mcp_primary_reserve,4,da_as_mcp_primary_reserve;gen_fuel_other_renewables_mw;gross_inadv_interchange_mw;metered_load_mw,0.5296581983566284,0.4801035523414612,864228.0625,0.8713545799255371,0.004943251609802246,active_anchor,0.35
19,metered_load_mw,20,metered_load_mw;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_lmp_da;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_mw;gen_fuel_multiple_fuels_pct;rmccp;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;total_pjm_rmccp_cr;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve,0.5151183605194092,0.4943755865097046,840503.3125,0.8748860955238342,17.280452728271484,active_anchor,0.35
0,gen_fuel_other_renewables_mw,2,gen_fuel_other_renewables_mw;metered_load_mw,0.5003331899642944,0.5088882446289062,816378.75,0.8784772157669067,0.03154629468917847,active_anchor,0.5
1,congestion_price_da,2,congestion_price_da;metered_load_mw,0.5155397057533264,0.4939619302749634,841190.875,0.8747837543487549,0.01032036542892456,active_anchor,0.5
2,total_losses,2,total_losses;metered_load_mw,0.49383118748664856,0.5152705907821655,805769.3125,0.8800565004348755,0.055580586194992065,active_anchor,0.5
3,system_energy_price_da,2,system_energy_price_da;metered_load_mw,0.5120008587837219,0.49743518233299255,835417.0,0.8756431937217712,0.020273208618164062,active_anchor,0.5
4,total_pjm_self_sched_reg,2,total_pjm_self_sched_reg;metered_load_mw,0.5185562372207642,0.4910009503364563,846112.75,0.8740510940551758,0.015653908252716064,active_anchor,0.5
5,total_lmp_da,2,total_lmp_da;metered_load_mw,0.511247992515564,0.4981745183467865,834188.8125,0.8758261203765869,0.017046630382537842,active_anchor,0.5
6,total_pjm_loc_credit,2,total_pjm_loc_credit;metered_load_mw,0.514418363571167,0.4950625002384186,839361.875,0.8750560879707336,0.0005328655242919922,active_anchor,0.5
7,gross_inadv_interchange_mw,2,gross_inadv_interchange_mw;metered_load_mw,0.5218735337257385,0.4877449870109558,851526.3125,0.8732454180717468,0.06267654895782471,active_anchor,0.5
8,gen_fuel_multiple_fuels_mw,2,gen_fuel_multiple_fuels_mw;metered_load_mw,0.506908655166626,0.5024340748786926,827107.75,0.8768801093101501,0.015163898468017578,active_anchor,0.5
9,gen_fuel_multiple_fuels_pct,2,gen_fuel_multiple_fuels_pct;metered_load_mw,0.5228329300880432,0.486802875995636,853092.4375,0.8730123043060303,0.06751406192779541,active_anchor,0.5
10,rmccp,2,rmccp;metered_load_mw,0.523016631603241,0.48662298917770386,853390.9375,0.8729677796363831,0.025038540363311768,active_anchor,0.5
11,congestion_price_rt,2,congestion_price_rt;metered_load_mw,0.5026690363883972,0.5065954923629761,820190.0625,0.8779098987579346,-0.000873565673828125,inactive_or_dummy_anchor,0.5
12,marginal_loss_price_rt,2,marginal_loss_price_rt;metered_load_mw,0.5104907751083374,0.49891823530197144,832953.3125,0.8760101795196533,0.028951525688171387,active_anchor,0.5
13,da_as_total_mw_thirty_minutes_reserve,2,da_as_total_mw_thirty_minutes_reserve;metered_load_mw,0.5205680131912231,0.4890263080596924,849395.9375,0.8735624551773071,0.038826167583465576,active_anchor,0.5
14,total_pjm_rmccp_cr,2,total_pjm_rmccp_cr;metered_load_mw,0.5151049494743347,0.4943884015083313,840482.0,0.8748893141746521,0.02546900510787964,active_anchor,0.5
15,marginal_loss_price_da,2,marginal_loss_price_da;metered_load_mw,0.505011260509491,0.5042962431907654,824012.375,0.8773409128189087,0.0008574128150939941,active_anchor,0.5
16,net_inadv_interchange_mw,2,net_inadv_interchange_mw;metered_load_mw,0.5145345330238342,0.4949483275413513,839551.375,0.8750278353691101,0.0010778307914733887,active_anchor,0.5
17,gross_actual_interchange_mw,2,gross_actual_interchange_mw;metered_load_mw,0.517583429813385,0.49195578694343567,844525.75,0.8742873668670654,0.01023799180984497,active_anchor,0.5
18,da_as_mcp_primary_reserve,2,da_as_mcp_primary_reserve;metered_load_mw,0.5296581983566284,0.4801035523414612,864228.0625,0.8713545799255371,0.004943251609802246,active_anchor,0.5
19,metered_load_mw,19,metered_load_mw;gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_lmp_da;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_mw;gen_fuel_multiple_fuels_pct;rmccp;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve,0.5151183605194092,0.4943755865097046,840503.3125,0.8748860955238342,17.280452728271484,active_anchor,0.5
