方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9369460890962445,da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|marginal_loss_price_rt|gen_fuel_gas_mw|gen_fuel_oil_pct|total_lmp_rt|da_as_as_mw_thirty_minutes_reserve|gross_inadv_interchange_mw|total_pjm_assigned_reg|da_as_mcp_primary_reserve
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9472067594369827,forecast_load_mw_latest_available|gen_fuel_gas_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|gross_inadv_interchange_mw|total_pjm_reg_purchases|gen_fuel_oil_pct|gen_fuel_oil_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9398551344356457,gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|forecast_load_mw_latest_available|gen_fuel_coal_mw|gross_inadv_interchange_mw|da_as_as_mw_thirty_minutes_reserve|total_pjm_reg_purchases|total_pjm_assigned_reg|gen_fuel_coal_pct
XGBoost,树模型特征重要性（2016）,0.9277840317042735,gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|total_lmp_rt|system_energy_price_rt|marginal_loss_price_rt|da_as_mcp_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|forecast_load_mw_latest_available|gen_fuel_coal_mw|prelim_load_avg_hourly
Lasso,线性稀疏（1996）,0.9344030361322173,gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|forecast_load_mw_latest_available|gen_fuel_coal_mw|gross_inadv_interchange_mw|da_as_as_mw_thirty_minutes_reserve|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr
Pearson,相关系数排序（只看两两关系）,0.9072165395288279,gen_fuel_oil_mw|gen_fuel_oil_pct|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|total_lmp_rt|system_energy_price_rt|forecast_load_mw_latest_available|prelim_load_avg_hourly|marginal_loss_price_rt|total_pjm_rt_load_mwh
